Old West Norse	Afrikaans	probability
θ	d	1.0
ˈɛː	-	1.0
ˈɔː	ˈɔ	1.0
ˈɒu̯	ˈʊə̯	1.0
ˈɑu̯_ð	ˈoː	1.0
ˈɑu̯	ˈʊə̯	1.0
ˈɑ_l	ˈœu̯	1.0
ˈøː	ˈu	1.0
ˈøy̯	ˈʊə̯	1.0
ˈuː	ˈœɪ̯	1.0
ˈa	-	1.0
ʦ	t	1.0
ʝː	ˈɛː	1.0
ɾ	ə	1.0
ɡː	χ	1.0
ɟː	χ	1.0
ɟ	-	1.0
ɑː	i	1.0
ŋ	ŋ	1.0
ç	ɦ	1.0
x_w	v	1.0
x	v	1.0
w_ˈɑ	ˈa	1.0
v_r̥	v̥	1.0
sː	s	1.0
s	s	1.0
r̥ː	r	1.0
r_ð	r_d̥	1.0
r	r	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
n̥	n	1.0
m	m	1.0
l̥	-	1.0
lː	ɫ	1.0
l	ɫ	1.0
kː	ŋ	1.0
kʰ	k	1.0
k	k	1.0
j_ˈɔ	ˈɪə̯	1.0
j_ˈɑ	ˈæː	1.0
j_ˈuː	ˈi	1.0
j_ˈoː	ˈi	1.0
i_r̥	ə_r	1.0
h	ɦ	1.0
f	v̥	1.0
e	-	1.0
cː	k	1.0
cʰ	k	1.0
c	k	1.0
b	b	1.0
a	-	1.0
ɑ	-	0.962
t	t	0.926
n	n	0.896
ˈi	ˈə	0.84
ɣ	χ	0.779
i	-	0.755
nː	n	0.697
ɡ	χ	0.682
ˈɛi̯	ˈɪə̯	0.679
ˈɔ	-	0.678
ˈiː	ˈəɪ̯	0.676
d	d	0.657
j	-	0.646
v	v	0.643
ˈɑ	ˈa	0.639
ɡ_r̥	k	0.602
ˈeː	ˈi	0.579
u	ə	0.574
ˈu	ˈɔ	0.571
tː	χ	0.564
ˈɑː	ˈɑː	0.562
ˈɛ	ˈa	0.548
ˈoː	-	0.508
r̥	ə_r	0.5
r̥	d̥	0.5
ˈoː	ˈu	0.492
ˈo	ˈʊə̯	0.48
ð	d̥	0.471
ˈɛ	-	0.452
tː	t	0.436
ˈu	-	0.429
u	-	0.426
ˈe	-	0.422
ˈeː	-	0.421
ˈy	ˈə	0.404
ˈyː	ˈyː	0.399
ˈyː	ˈi	0.399
ɡ_r̥	ə_r	0.398
j	ˈɪə̯	0.354
ˈy	ˈœ	0.353
d	d̥	0.343
ˈɔ	ˈa	0.322
ˈɛi̯	ˈəɪ̯	0.321
ɡ	-	0.318
ˈɑ	ˈɑː	0.301
ˈo	ˈɔ	0.289
ˈe	ˈæ	0.253
ð	r	0.252
i	ə	0.245
ˈy	ˈʊə̯	0.243
ˈɑː	ˈʊə̯	0.227
ɣ	-	0.221
ˈɑː	ˈa	0.211
ˈyː	-	0.203
v	-	0.196
ˈe	ˈɪə̯	0.195
ˈiː	ˈi	0.191
nː	n_d̥	0.168
ð	-	0.164
v	v̥	0.161
ˈi	ˈɪə̯	0.16
nː	-	0.135
ˈiː	-	0.133
ˈe	ˈɛ	0.13
ˈo	-	0.116
ˈo	ˈɪø̯	0.115
n	ə_ŋ	0.104
t	-	0.074
ð	d	0.072
ˈɑ	-	0.059
