Spanish	Spanish	probability
θ_a	a	1.0
θ_#>	s_#>	1.0
ˈo_n	ˈũ	1.0
ˈi_ɾ	ˈi	1.0
ˈi_n	ˈĩ	1.0
ˈe_ɣ	k	1.0
ˈe_j	ˈɛ	1.0
ˈe_#>	ˈe_#>	1.0
ˈa_ɾ	ˈa	1.0
ˈa_ŋ	ˈã	1.0
ˈa_n	ˈã	1.0
ɾ_β	r_b	1.0
ɾ_t	r_t	1.0
ɾ_o	r	1.0
ɾ_n	r_n	1.0
ɾ_e	e_r	1.0
ɾ_a	a	1.0
ɾ_#>	#>	1.0
ɡ	k	1.0
ŋ	-	1.0
ð_o	t	1.0
ð_a	d_a	1.0
t_a	t_a	1.0
t	t	1.0
r	r	1.0
p	p	1.0
o_l	o	1.0
o_#>	#>	1.0
k_o_#>	k_#>	1.0
k	k	1.0
j	-	1.0
f	f	1.0
e_s	s	1.0
e_n	ẽ	1.0
e_k	ʃ	1.0
e_#>	#>	1.0
d_o	t	1.0
d	d	1.0
b_w	b	1.0
a_ð	d	1.0
a_#>	#>	1.0
<#_θ	<#_ʧ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_u	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
<#	<#_f	1.0
#>	ʧ_#>	1.0
a	a	0.937
m	m	0.929
n	n	0.857
ɣ	ɡ	0.818
e	e	0.786
l	l	0.767
ʝ	l	0.75
s	s	0.744
ɾ	r	0.738
w_ˈe	ˈɔ	0.688
ʧ	t	0.667
ɲ	ɲ	0.667
ɟ͡ʝ	p_j	0.667
x_o	ʧ	0.667
j_ˈe	ˈɛ	0.667
θ	s	0.636
ˈu	ˈyː	0.625
ˈa	ˈɑː	0.619
u	-	0.6
ˈe_n	ˈẽ	0.556
b	v	0.538
ˈe_ɾ_#>	ˈɛ_#>	0.5
ˈe_ɾ_#>	#>	0.5
i	ĩ	0.5
i	-	0.5
ð	d	0.462
β	v	0.455
ˈe_n	ˈũ	0.444
ˈi	ˈiː	0.429
x	j	0.417
u	y	0.4
ð	t	0.385
w	w	0.385
θ	-	0.364
b	b	0.346
ʧ	ʧ	0.333
ɲ	n	0.333
ɟ͡ʝ	ʧ	0.333
x_o	s	0.333
j_ˈe	ˈeː	0.333
ˈe	-	0.326
w_ˈe	ˈøː	0.312
ˈa	ˈa	0.31
w	-	0.308
ˈo	ˈu	0.286
β	f	0.273
o	u	0.273
ˈe	ˈeː	0.256
ˈu	-	0.25
ʝ	-	0.25
x	ʒ	0.25
ˈe	ˈɛ	0.233
w	ˈøː	0.231
o	r	0.227
o	-	0.227
e	-	0.214
s	-	0.209
ˈo	ˈɔ	0.2
ˈo	ˈuː	0.2
ˈi	ˈɛ	0.19
ˈi	ˈi	0.19
β	b	0.182
ɣ	-	0.182
x	ˈøː	0.167
x	ʤ	0.167
ð	-	0.154
ɾ	e	0.143
n	-	0.143
l	-	0.133
ˈu	ˈi	0.125
ɾ	-	0.119
b	-	0.115
ˈo	ˈoː	0.114
l	j	0.1
ˈi	f_j	0.095
ˈi	-	0.095
ˈe	ˈe	0.093
ˈe	e	0.093
β	-	0.091
o	y	0.091
o	l	0.091
o	a	0.091
ˈo	ˈyː	0.086
w	ˈo	0.077
ˈa	-	0.071
m	-	0.071
a	-	0.063
ˈo	ˈœ	0.057
ˈo	ˈøː	0.057
