Insular North Frisian	Gothic	probability
ˈɛː	ˈɛ	1.0
ˈɛ_s	ˈi_s	1.0
ˈɔ	-	1.0
ˈøː	-	1.0
ˈeː_d	ˈa_t	1.0
ˈaː	ˈɛ	1.0
ˈaɪ̯	ˈa	1.0
ˈa	ˈa	1.0
ʃ	s	1.0
ɪ	-	1.0
ə_m	m_s	1.0
ç	-	1.0
z	ˈuː	1.0
v_ˈʏ	w	1.0
tʰ	θ	1.0
r	r	1.0
p	p	1.0
nʲ	n_d	1.0
m	m	1.0
lʲ	l_θ	1.0
kʰ	kʷ	1.0
k	k	1.0
h	h	1.0
f	f	1.0
e	b_s	1.0
d	d	1.0
b	b	1.0
l	l	0.907
ˈɔː	ˈa	0.816
v	w	0.816
s	s	0.785
ŋ	ŋ_ɡ	0.739
ˈyː	-	0.711
ˈɪ	ˈi	0.71
ˈœ	-	0.69
ɐ	r	0.558
ˈoː	-	0.523
ˈɔa̯	ˈɔː	0.501
n	n	0.491
ˈoː	ˈa	0.477
ə	u	0.471
t	t	0.439
x	h	0.418
ˈʏ	ˈu	0.407
ˈiː	-	0.388
ˈuː	ˈeː	0.364
ɾ	θ	0.361
ˈeː	-	0.359
ˈeː	ˈa	0.336
ˈuː	ˈɔ	0.333
ˈʊ	ˈu	0.314
ˈɔa̯	ˈɔ	0.314
ˈiː	ˈiu̯	0.311
ˈœ	ˈoː	0.31
ˈeː	ˈi	0.305
ˈuː	w	0.303
ɐ	a_r	0.301
ˈɪ	ˈiː	0.29
ˈyː	ɡʷː	0.289
ə	-	0.27
ɾ	θ_s	0.269
ˈɛ	ˈɛː	0.264
ˈɛ	ˈi	0.264
ŋ	ŋ	0.261
ˈʊ	ˈi	0.258
ˈʊ	ˈa	0.258
ˈɛ	ˈa	0.255
x	r	0.232
ˈʏ	ˈuː	0.23
ˈʏ	ˈa	0.224
ˈɛ	ˈu	0.217
s	i_s	0.215
ɾ	n_θ	0.208
x	-	0.204
n	nː	0.198
t	t_a	0.187
ˈɔa̯	ˈa	0.186
ˈɔː	ˈɔː	0.184
v	ʍ	0.184
t	t_s	0.184
n	n_d	0.184
ə	i	0.18
ˈʊ	ˈoː	0.17
ˈiː	ˈiː	0.17
ɾ	ð	0.162
x	h_s	0.146
ɐ	a	0.141
ˈʏ	ˈiu̯	0.139
t	-	0.138
ˈiː	ˈiː_s	0.131
n	n_s	0.126
l	lː	0.093
ə	e	0.08
t	s	0.052
