Corsican	Friulian	probability
b	b	1.0
c	-	1.0
d	d	1.0
f	f	1.0
kː	c	1.0
l	l	1.0
lː	l	1.0
m	m	1.0
s	s	1.0
tː	t	1.0
z	s	1.0
ŋ	ŋ	1.0
ɟ	ʤ	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʃ	s	1.0
ʧ	ʧ	1.0
ˈi	ˈi	1.0
i	e	0.211
t	d	0.311
ˈa	ˈa	0.71
ˈe	ˈɛ	0.171
ˈo	ˈɔ	0.171
ˈɔ	ˈoː	0.131
ˈɔ	w_ˈa	0.201
ˈɔ	ˈo	0.241
ˈɛ	ˈɛ	0.151
a	-	0.072
i	-	0.122
k	-	0.222
ˈe	ˈiː	0.252
ˈɛ	ˈe	0.352
e	-	0.113
j	-	0.243
u	l_i	0.233
v	f	0.063
k	k	0.264
p	v	0.074
ʎ	-	0.284
a	a	0.175
a	e	0.735
e	e	0.145
e	i	0.715
r	r	0.885
u	i	0.545
w	w	0.315
w	-	0.685
ˈo	ˈoː	0.095
ˈu	ˈo	0.175
ˈɛ	ˈeː	0.095
u	ˈo	0.056
ʎ	j	0.716
i	i	0.667
k	ɡ	0.087
n	n	0.937
v	v	0.937
ˈe	ˈe	0.097
ˈo	w	0.117
ˈu	ˈu	0.597
ˈɔ	ˈɔ	0.127
ˈɛ	ˈi	0.157
ˈɛ	j_ˈɛ	0.197
j	j	0.088
k	c	0.428
p	p	0.868
r	s_#>	0.088
u	o	0.118
ˈe	j_ˈɛ	0.48
ˈo	ˈo	0.618
ˈu	ˈuː	0.228
ˈɔ	w	0.108
j	l	0.649
p	f	0.059
t	t	0.689
ˈa	ˈaː	0.29
ˈɔ	w_ˈɛ	0.069
ˈɔ	ˈuː	0.079
