Scots	Alsatian	probability
b	b̥	0.938
b	-	0.062
d	t	0.62
d	d̥	0.328
e	-	0.799
e	i	0.201
f	f	0.966
h	h	0.938
h	-	0.062
i	i	1.0
j	j	0.42
j	ɡ̊	0.388
j	ˈei̯	0.192
k	ʃ	0.501
k	k	0.27
k	i_ʃ	0.105
k	ɡ̊	0.083
kʰ	kʰ	0.879
kʰ	f	0.121
l	l	1.0
m	m	0.979
n	n	0.922
p	f	0.761
p	p͡f	0.239
r	ʁ	0.968
s	s	0.588
s	ʃ	0.356
s	n_s	0.056
t	s	0.578
t	t	0.271
t	ʦ	0.111
tʰ	ʦ	0.935
tʰ	b̥	0.065
v	v	0.508
v	-	0.335
v	f	0.127
w	ʋ	0.748
w	-	0.193
w	w	0.059
x	x	0.595
x	ʃ	0.405
z	s	1.0
ð	t	0.629
ð	d̥	0.371
ŋ	ŋ	0.882
ŋ	i	0.118
ə	ə	0.841
ə	-	0.095
əi̯	i	1.0
ɡ	ɡ̊	0.744
ɡ	k	0.234
ɪ	ə	0.909
ɪ	-	0.091
ɫ	l	1.0
ʃ	ʃ	1.0
ʍ	ʋ	1.0
ʧ	kʰ	1.0
ˈaːɪ̯	ˈyː	0.799
ˈaːɪ̯	ˈi	0.201
ˈe	ˈɒ	0.37
ˈe	ˈəi̯	0.317
ˈe	ˈoː	0.134
ˈe	ˈæː	0.079
ˈe	ˈiː	0.067
ˈei̯	ˈoː	0.214
ˈei̯	ˈæː	0.113
ˈei̯	ˈiː	0.112
ˈei̯	ˈʊː	0.105
ˈei̯	ˈɒː	0.103
ˈei̯	ˈɔi̯	0.094
ˈei̯	ˈeː	0.073
ˈei̯	-	0.062
ˈeː	ˈɒː	0.465
ˈeː	ˈaː	0.268
ˈeː	ˈɒ	0.268
ˈi	ˈʊː	0.745
ˈi	ˈi	0.187
ˈi	ˈeː	0.068
ˈiː	ˈiː	0.26
ˈiː	ˈeː	0.171
ˈiː	ˈei̯	0.164
ˈiː	ˈæː	0.115
ˈiː	ˈi	0.094
ˈiː	ˈoː	0.068
ˈiː	ˈʊː	0.062
ˈiː	ˈu	0.054
ˈø	ˈʊː	0.544
ˈø	ˈoː	0.166
ˈø	ˈøː	0.151
ˈø	ˈɒ	0.105
ˈɑ	ˈɒ	0.768
ˈɑ	ˈe	0.086
ˈɑ	ˈəi̯	0.086
ˈɑ	ˈɒː	0.059
ˈɑː	ˈɒ	0.627
ˈɑː	ˈɒ_l	0.147
ˈɑː	ˈeː	0.126
ˈɑː	ˈɒː	0.053
ˈɔ	ˈo	0.773
ˈɔ	ˈoː	0.112
ˈɔ	ˈu	0.09
ˈəi̯	ˈiː	0.663
ˈəi̯	ˈi	0.235
ˈəi̯	j	0.068
ˈɛ	ˈe	0.323
ˈɛ	ˈoː	0.242
ˈɛ	ˈɒː	0.095
ˈɛ	ˈeː	0.089
ˈɛ	ˈæː	0.066
ˈɛ	ˈəi̯	0.054
ˈɛ	ˈɒ	0.053
ˈɪ	ˈi	0.602
ˈɪ	ˈiː	0.099
ˈɪ	ˈu	0.066
ˈɪ	ˈʊː	0.063
ˈʉ	ˈyː	0.377
ˈʉ	-	0.183
ˈʉ	ˈu	0.11
ˈʉ	ˈø	0.1
ˈʉ	ˈʊː	0.082
ˈʉ	ˈøi̯	0.051
ˈʌ	ˈu	0.812
ˈʌ	ˈo	0.131
ˈʌ	ˈæ	0.057
ˈʌʉ̯	ˈiː	1.0
θ	d̥	0.773
θ	t	0.142
θ	l	0.059
