Gascon	Galician	probability
b	b	1.0
nː	m	1.0
p	p	1.0
ɣ	ɣ	1.0
β	β	1.0
e	ˈe_ɾ	0.061
e	ɾ_ɪ	0.1
i	ɪ	0.461
k	ɣ_ʊ	0.061
k	k	0.801
l	-	0.201
n	ɲ	0.051
ð	ð	0.951
ŋ	ŋ	0.721
ˈe	ˈi	0.131
j	j	0.672
k	-	0.052
l	l	0.622
s	θ	0.152
ɲ	ɲ	0.832
ʃ	-	0.242
ʦ	θ_ʊ	0.42
ˈa	ˈa	0.52
ˈu	o	0.102
ˈy	ˈu_ɾ	0.112
ˈɛ	-	0.162
ˈɛ	ˈe	0.182
e	ʊ	0.053
h	-	0.203
r	ɾ	0.423
s	s	0.803
u	-	0.103
ɡ	ɡ	0.903
ɾ	ɾ	0.773
ˈa	ˈɑ	0.203
ˈe	ˈe	0.713
r	ɾ_ʊ	0.064
r	-	0.284
t	t_ʊ	0.134
w	l	0.094
z	s	0.284
ʎ	ʎ_ʊ	0.414
ʒ	-	0.074
ˈu	ˈu	0.054
ˈu	ˈɔ	0.094
ˈy	ˈo	0.074
ˈɔ	ˈo	0.154
l	ɾ	0.075
n	-	0.095
t	-	0.185
t	t	0.455
w	β	0.075
ŋ	ɲ_ʊ	0.095
ˈi	ˈe	0.15
a	ɐ	0.116
j	-	0.296
k	k_ʊ	0.076
n	n_t	0.196
r	ɾ_n	0.16
t	ð_ɪ	0.066
w	ˈɔ	0.136
z	θ	0.716
ʒ	ʃ	0.926
ˈɔ	ˈɔ	0.846
ˈɛ	ˈɛ	0.656
d	d	0.947
e	-	0.087
e	ɾ	0.157
e	e	0.417
h	f	0.797
l	ʧ	0.097
m	m	0.967
n	n	0.657
u	o	0.897
w	ʊ	0.237
ɔ	ɐ	0.97
ɡ	-	0.097
ˈe	ˈɛ	0.107
r	r	0.068
w	-	0.18
ɲ	ɲ_ʊ	0.168
ɾ	-	0.128
ʃ	ʃ	0.758
ʎ	l	0.108
ʎ	ʎ	0.478
ʦ	θ	0.58
ˈa	ˈa_ɾ	0.18
ˈi	ˈi	0.838
ˈy	ˈu	0.768
a	a	0.829
i	i	0.539
t	ð_ʊ	0.059
t	t_ɪ	0.079
w	β_ɪ	0.069
w	w	0.209
ŋ	n_ʊ	0.139
ɾ	l	0.099
ˈu	ˈo	0.739
