Čakavian	Russian	probability
ʧ	ʨ	1.0
ʦ	ʦ	1.0
ʒ̊	ʐ̊	1.0
ʒ	ʐ	1.0
ʋ_eː	vʲ_ɪ	1.0
ʃ	ʂ	1.0
ɲ	nʲ	1.0
ɡ	ɡ	1.0
z_a	z̥	1.0
t_o	t_ə	1.0
oː	o	1.0
o_̂	ɐ	1.0
k	k	1.0
d̥	d̥	1.0
c	-	1.0
b	b	1.0
aː_ʋ	ɐ_v	1.0
a_k	kʲ_ɪ	1.0
̂	ˈ	0.928
̌	ˈ	0.857
ɡ̊	ɡ̊	0.821
x	x	0.811
b̥	b̥	0.743
o	o	0.731
n	n	0.708
t	tʲ	0.696
u	u	0.664
z	z	0.623
p	pʲ	0.607
a	a	0.579
s	s	0.56
eː	ɵ	0.55
r̩	ɵ	0.529
m	mʲ	0.511
d	d	0.51
l	ɫ	0.509
m	m	0.489
i	e	0.489
ʋ	vʲ	0.478
iː	ɨ	0.475
aː	o	0.475
e	ɪ	0.474
r̩	e	0.471
r	rʲ	0.443
s	sʲ	0.44
l	lʲ	0.428
ʋ	v	0.423
r	r	0.408
p	p	0.393
z	zʲ	0.377
aː	-	0.36
uː	o	0.356
d	dʲ	0.338
u	-	0.336
uː	u	0.32
t	t	0.304
eː	-	0.3
n	nʲ	0.292
e	e	0.28
o	ɐ	0.269
uː	ʊ	0.263
b̥	b̥ʲ	0.257
i	ɨ	0.225
i	i	0.223
iː	e	0.217
x	j	0.189
e	-	0.181
ɡ̊	ɡʲ	0.179
aː	a	0.165
iː	ɪ	0.161
a	-	0.16
d	-	0.152
eː	æ	0.15
r	ɐ_r	0.149
̌	ˈ_ɫ	0.143
a	o	0.124
ʋ	j	0.1
a	ɪ	0.094
iː	i	0.08
̂	o_ˈ	0.072
iː	-	0.066
e	ɨ	0.064
l	ə_ɫ	0.063
i	i_ˈ	0.063
uː	ʉ	0.061
