Romanian	Friulian	probability
a	e	1.0
e̯ˈa	ˈe	1.0
f	f	1.0
i	i	1.0
kʲ	-	1.0
l	l	1.0
v	v	1.0
z	d	1.0
ʦ	ʧ	1.0
ˈɨ	ˈa	1.0
d	d	0.941
e	i	0.291
j	j	0.671
o̯ˈa	ˈo	0.081
t	-	0.081
ɡ	-	0.1
ʤ	-	0.511
ˈa	ˈaː	0.291
ˈo	ˈɔ	0.121
ˈu	ˈu	0.31
m	-	0.282
n	ŋ	0.192
ˈo	w	0.192
b	-	0.153
e	e	0.313
k	-	0.243
ˈa	ˈɛ	0.23
ˈi	-	0.103
ˈi	ˈi	0.653
r	-	0.334
ə	e	0.824
ʧ	s	0.134
ʧ	-	0.14
ˈo	ˈo	0.304
k	c	0.365
n	n	0.575
s	s	0.885
u	i	0.065
u	o	0.935
ˈo	ˈuː	0.345
e	-	0.316
k	k	0.366
n	-	0.096
p	f	0.056
p	-	0.066
r	r	0.56
ə	-	0.176
ʧ	ʧ	0.726
ˈe	ˈiː	0.06
ˈe	-	0.096
ˈu	ˈo	0.536
b	b	0.847
n	ɲ	0.137
s	ˈɛ_s	0.057
s	-	0.057
ˈe	ˈeː	0.157
ˈi	ˈiː	0.087
ˈi	ˈe	0.157
ˈu	w_ˈi	0.097
e	a	0.08
m	m	0.718
t	t	0.68
ˈe	ˈɛ	0.448
ˈu	ˈɔ	0.058
d	t	0.059
j	-	0.329
o̯ˈa	w	0.919
p	p	0.879
r	l	0.079
t	d	0.239
ɡ	ɡ	0.9
ʤ	ʤ	0.489
ˈa	ˈa	0.479
ˈe	ˈe	0.239
