Northern Low Saxon	Swabian	probability
aɪ̯	eə̯	1.0
b	b	0.665
b	f	0.306
d	d	0.637
d	s	0.247
f	f	0.795
f	b	0.09
f	m	0.06
f	l_b	0.055
h	h	1.0
i	-	1.0
j	ˈɔe̯	1.0
k	ɡ	1.0
kʰ	kʰ	0.989
l	l	0.953
m	m	0.659
m	b_a	0.117
m	a	0.098
m	n	0.057
m	-	0.055
n	n	0.487
n	a	0.311
n	-	0.183
p	b̥	0.528
p	f	0.472
r	ʁ	1.0
s	s	0.71
s	ʃ	0.192
s	ʃ_d	0.075
t	d	0.636
t	s	0.176
t	t	0.097
t	ʦ	0.091
tʰ	ʦ	0.959
v	ʋ	0.923
v	m	0.068
x	x	0.613
x	ɡ	0.387
z	s	1.0
ç	ɡ	0.596
ç	ç_d	0.236
ç	-	0.092
ç	x	0.076
ŋ	ŋ	0.747
ŋ	ɡ_a	0.253
ɐ	ʌ	0.587
ɐ	-	0.231
ɐ	ˈiː	0.131
ə	ʌ	1.0
ɡ	ɡ	0.664
ɡ	ç	0.14
ɡ	x	0.134
ɡ	-	0.063
ɪ	i	0.539
ɪ	ɪ	0.461
ʃ	ʃ	1.0
ʒ	-	0.552
ʒ	j	0.448
ˈa	ˈa	0.681
ˈa	ˈaː	0.124
ˈa	ˈɔː	0.093
ˈa	ˈɛ	0.067
ˈaɪ̯	ˈiə̯	0.22
ˈaɪ̯	ˈeː	0.2
ˈaɪ̯	-	0.18
ˈaɪ̯	ˈeə̯	0.167
ˈaɪ̯	ˈɔe̯	0.121
ˈaɪ̯	ˈae̯	0.06
ˈaɪ̯	ˈɛ	0.053
ˈaʊ̯	ˈoː	0.233
ˈaʊ̯	ˈuə̯	0.211
ˈaʊ̯	ˈao̯	0.132
ˈaʊ̯	ˈɔə̯	0.11
ˈaʊ̯	ˈo	0.075
ˈaʊ̯	ˈae̯	0.07
ˈaʊ̯	ˈa	0.059
ˈaː	ˈa_ʕ	0.525
ˈaː	ˈʌ	0.312
ˈaː	ˈa	0.163
ˈeɪ̯	ˈeː	0.65
ˈeɪ̯	ˈɔe̯	0.35
ˈeː	ˈɛ	0.271
ˈeː	ˈae̯	0.203
ˈeː	ˈɛː	0.178
ˈeː	ˈaː	0.119
ˈeː	ˈeə̯	0.071
ˈeː	ˈeː	0.053
ˈeː	ˈi	0.053
ˈeː	ˈo	0.05
ˈiː	ˈəi̯	0.632
ˈiː	ˈi	0.306
ˈiː	ˈɛ	0.062
ˈoː	ˈɔː	0.19
ˈoː	ˈa	0.179
ˈoː	ˈaː	0.175
ˈoː	ˈoː	0.146
ˈoː	ˈɛː	0.127
ˈoː	ˈɔ	0.108
ˈoː	ˈo	0.074
ˈuː	ˈao̯	0.807
ˈuː	ˈuə̯	0.104
ˈyː	ˈəi̯	0.525
ˈyː	ˈae̯	0.475
ˈø	ˈe	1.0
ˈøː	ˈi	0.26
ˈøː	ˈoː	0.219
ˈøː	ˈiː	0.211
ˈøː	ˈao̯	0.159
ˈøː	ˈɔː	0.151
ˈœ	ˈe	0.667
ˈœ	ˈae̯	0.213
ˈœ	ˈɛ	0.12
ˈœː	ˈɛ	1.0
ˈɔ	ˈɔ	0.399
ˈɔ	ˈu	0.338
ˈɔ	ˈo	0.135
ˈɔ	ˈa	0.085
ˈɔʏ̯	ˈeː	0.358
ˈɔʏ̯	ˈeə̯	0.176
ˈɔʏ̯	ˈuə̯	0.131
ˈɔʏ̯	ˈae̯	0.12
ˈɔʏ̯	ˈiə̯	0.097
ˈɔʏ̯	ˈiː	0.075
ˈɛ	ˈa	0.287
ˈɛ	ˈɛ	0.268
ˈɛ	ˈɛː	0.195
ˈɛ	ˈaː	0.165
ˈɛ	ˈi	0.085
ˈɛɪ̯	ˈɛ	0.383
ˈɛɪ̯	ˈɛː	0.383
ˈɛɪ̯	ˈɔe̯	0.234
ˈɛː	ˈiː	1.0
ˈɪ	ˈe	0.213
ˈɪ	ˈɪ	0.21
ˈɪ	ˈi	0.169
ˈɪ	ˈa	0.099
ˈɪ	ˈɛ	0.076
ˈɪ	ˈeː	0.073
ˈɪ	ˈəi̯	0.059
ˈʊ	ˈo	0.896
ˈʊ	ˈao̯	0.104
ˈʏ	ˈae̯	0.225
ˈʏ	ˈu	0.21
ˈʏ	ˈoː	0.149
ˈʏ	ˈɪ	0.148
ˈʏ	ˈiː	0.146
ˈʏ	ˈɛ	0.076
