Old French	Old French	probability
θ	-	1.0
ˈɛ_s	ˈe	1.0
ˈɛ_r	ˈe_ʀ	1.0
ˈỹ	ˈỹ	1.0
ˈũ_j	w_ˈẽ	1.0
ˈu_r_#>	ˈu_#>	1.0
ˈõ	w	1.0
ˈi_r_#>	ˈi_#>	1.0
ˈã_j	ˈa	1.0
ʧ	ʧ	1.0
ʎ	ʎ	1.0
ɲ	ɲ	1.0
ɡ_l	ʎ	1.0
ɛ	ɒ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z	-	1.0
y	-	1.0
w_ˈɛ	ˈœ	1.0
w_#>	ˈɔ_k_#>	1.0
ũ	ũ	1.0
u	u	1.0
t_ə	t_ɔ	1.0
t_#>	#>	1.0
s_ə	s_ɔ	1.0
r_t	ʀ	1.0
p	p	1.0
o_j	i	1.0
n_t	ŋ	1.0
n_#>	m_#>	1.0
l_#>	l_#>	1.0
k_w	k	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ə	ʤ_ɔ	1.0
j_t	j	1.0
j_s	s	1.0
j_n	n	1.0
j_#>	j_#>	1.0
ĩ	ĩ	1.0
i	i	1.0
f_#>	w_#>	1.0
e_s	ɪ	1.0
b_ə	b_ɔ	1.0
b	b	1.0
a	ɒ	1.0
<#_ˈã	<#_ˈã	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_ɒ	1.0
m	m	0.903
ˈa	ˈa	0.889
ɡ	ɡ	0.889
ʤ	ʤ	0.875
r	ʀ	0.869
ˈã	ˈã	0.857
ʦ	s	0.857
f	f	0.85
d	d	0.846
ˈu	ˈu	0.833
s	s	0.8
l	l	0.722
w	w	0.706
ˈĩ	ˈĩ	0.667
#>	ɔ_#>	0.667
ˈe_r_#>	ˈa_#>	0.643
t_r	t_ʀ	0.6
e	ə	0.6
ã	ã	0.6
n	ŋ	0.587
ˈẽ	ˈẽ	0.571
j_ˈɛ	ˈa	0.571
ə	ɔ	0.57
s_#>	#>	0.562
t	t	0.538
v	v	0.519
ˈɔ_j	ˈɪ	0.5
ˈɔ_j	ˈu	0.5
ˈy	ˈy	0.5
ˈũ	ˈũ	0.5
ˈi	ˈi	0.5
ɔ	œ	0.5
ɔ	-	0.5
t	ʧ	0.462
s_#>	s_#>	0.438
j_ˈɛ	ˈe	0.429
t_r	t	0.4
e	-	0.4
ã	-	0.4
n	n	0.37
ə	ə	0.366
ˈũ	w_ˈɔ̃	0.357
ˈe_r_#>	#>	0.357
j	-	0.351
ˈɛ	ˈe	0.333
ˈĩ	ˈi	0.333
#>	k_#>	0.333
ˈy	ˈœ	0.312
ˈe	ˈe	0.308
ˈe	ˈa	0.308
ˈɔ	w_ˈɔ	0.29
ˈɛ	ˈɔ	0.259
ˈe	ˈɪ	0.231
ˈɔ	ˈɪ	0.226
v	vʲ	0.222
ˈẽ	ˈɪ̃	0.214
ˈẽ	ˈɪ	0.214
s	-	0.2
j	ˈa	0.189
ˈy	ˈu	0.188
v	b	0.185
w	j	0.176
ˈu	-	0.167
l	ʎ	0.167
ˈe	-	0.154
d	dʲ	0.154
ˈi	ˈe_j	0.15
ˈi	-	0.15
f	fʲ	0.15
ˈɛ	ˈɪ	0.148
ˈũ	w	0.143
ˈã	ˈa	0.143
ʦ	ʃ	0.143
j	w	0.135
j	j	0.135
ˈɔ	ˈe	0.129
ˈɔ	ˈa	0.129
ʤ	-	0.125
w	-	0.118
ˈɛ	ˈa	0.111
ˈa	ˈe	0.111
ɡ	ɡʲ	0.111
j	ə	0.108
ˈi	ˈɪ	0.1
ˈi	ˈe	0.1
ˈɔ	w	0.097
m	mʲ	0.097
l	w	0.083
j	d	0.081
ˈɛ	ˈɛ	0.074
ˈɛ	w	0.074
v	w	0.074
ˈɔ	ˈu	0.065
ˈɔ	-	0.065
