English	Pennsylvania German	probability
b	b	0.944
b	-	0.056
d	d	0.452
d	d̥	0.442
d	-	0.062
f	f	0.782
f	b̥	0.135
h	h	1.0
j	j	0.375
j	ɡ	0.286
j	ˈiː	0.208
j	ˈaɪ̯	0.131
k	k	0.514
k	x	0.348
k	ç	0.138
kʰ	kʰ	0.953
l	l	1.0
m	m	0.914
n	n	0.915
n	-	0.085
p	f	0.742
p	p	0.249
pʰ	pʰ	0.609
pʰ	p͡f	0.297
pʰ	b	0.094
s	s	0.654
s	ʃ	0.346
t	s	0.509
t	t	0.219
t	ʦ	0.143
t	ç_t	0.105
tʰ	ʦ	0.955
v	v	0.55
v	f	0.428
w	ʋ	0.859
w	-	0.094
z	ɾ	0.516
z	s	0.484
ð	d	0.882
ð	n	0.118
ŋ	ŋ	0.845
ŋ	ɪ	0.155
ə	ɑ	0.773
ə	ə	0.14
ə	-	0.087
əʊ̯	ɪ	0.567
əʊ̯	j	0.277
əʊ̯	-	0.156
ɜː	ˈaɪ̯	1.0
ɡ	ɡ	0.816
ɡ	-	0.184
ɪ	ɪ	0.819
ɪ	ɑ	0.11
ɪ	ˈɛ	0.072
ɫ	l	0.81
ɫ	ɣ_l	0.118
ɫ	-	0.072
ɹ	ɾ	0.945
ɹ	-	0.055
ʃ	ʃ	1.0
ʤ	k	1.0
ʧ	kʰ	0.531
ʧ	x	0.243
ʧ	ç	0.155
ʧ	k	0.072
ˈaɪ̯	ˈaɪ̯	0.504
ˈaɪ̯	ˈɪ	0.266
ˈaʊ̯	ˈaʊ̯	0.598
ˈaʊ̯	ˈuː	0.195
ˈaʊ̯	ˈʊ	0.137
ˈe	ˈɛ	0.341
ˈe	ˈeː	0.187
ˈe	ˈoː	0.106
ˈe	ˈa	0.083
ˈe	ˈɪ	0.071
ˈe	ˈaɪ̯	0.063
ˈeɪ̯	ˈɔː	0.35
ˈeɪ̯	ˈa	0.348
ˈeɪ̯	j	0.164
ˈeɪ̯	ˈeː	0.071
ˈeɪ̯	ˈoː	0.066
ˈiː	ˈiː	0.26
ˈiː	ˈɔː	0.244
ˈiː	ˈoː	0.121
ˈiː	ˈeː	0.096
ˈiː	eː	0.063
ˈuː	ɑ	0.237
ˈuː	ˈʊ	0.177
ˈuː	ˈuː	0.121
ˈuː	ˈoː	0.102
ˈuː	ˈiː	0.077
ˈuː	ˈɔː	0.077
ˈuː	-	0.066
ˈuː	ˈaʊ̯	0.066
ˈuː	ˈa	0.053
ˈæ	ˈa	0.881
ˈæ	ˈɛː	0.104
ˈɐ	ˈʊ	0.676
ˈɐ	ˈoː	0.105
ˈɐ	ˈaʊ̯	0.065
ˈɐ	ˈeː	0.056
ˈɑː	ˈa	0.407
ˈɑː	ˈɔː	0.331
ˈɑː	ˈɛː	0.159
ˈɑː	ˈaː	0.103
ˈɒ	ˈa	0.523
ˈɒ	ˈeː	0.203
ˈɒ	ˈɔ	0.187
ˈɒ	ˈʊ	0.086
ˈɔː	ˈaː	0.466
ˈɔː	ˈa	0.231
ˈɔː	ɑ	0.216
ˈɔː	ˈɛː	0.06
ˈəʊ̯	ˈeː	0.724
ˈəʊ̯	ˈɔ	0.082
ˈəʊ̯	ˈa	0.081
ˈɛ	ˈɛ	0.319
ˈɛ	ˈiː	0.309
ˈɛ	ˈɔː	0.256
ˈɛ	ˈɛː	0.115
ˈɜː	ˈaː	0.749
ˈɜː	ˈɛː	0.223
ˈɪ	ˈɪ	0.672
ˈɪ	ˈeː	0.107
ˈɪ	ˈɛ	0.068
ˈʊ	ˈɔ	0.608
ˈʊ	ˈuː	0.392
θ	d	0.64
θ	d̥	0.307
θ	-	0.053
