Belarusian	Polish	probability
b	b	1.0
bʲ	b_j	1.0
d	d	1.0
e	ɛ	1.0
i	i	1.0
j	j	1.0
k	k	1.0
kʲ	k	1.0
lʲ	l	1.0
m	m	1.0
mʲ	m_j	1.0
n	n	1.0
nʲ	ɲ	1.0
s	s	1.0
sʲ	ɕ	1.0
t	t	1.0
v	v	1.0
xʲ	x	1.0
zʲ	ʑ	1.0
ɣ	ɡ	1.0
ɨ	ɨ	1.0
ɫ	w	1.0
ʂ	ʂ	1.0
ʐ	ʐ	1.0
ʦ	ʦ	1.0
ˈi	ˈi	1.0
ˈu	ˈɔ	1.0
ˈɛ	ˈɛ	1.0
a	ˈu	0.071
w	-	0.611
ʣʲ	ʥ	0.91
ʧ	ʈ͡ʂ	0.891
ˈo	j_ɛ	0.062
a	ˈɛ	0.063
p	p	0.943
pʲ	p	0.353
vʲ	f	0.283
z	z	0.63
æ	j_ˈa	0.113
æ	ˈɛ	0.633
ʦʲ	t	0.053
ˈe	ˈɛ	0.663
ˈo	ˈɔ	0.693
ˈɨ	ˈɨ	0.843
r	ʐ	0.134
x	x	0.4
æ	ɛ	0.254
ˈa	a	0.734
ˈɵ	ˈa	0.924
ˈæ	ˈɛ_w̃	0.215
a	-	0.06
a	a	0.116
x	k	0.6
ˈa	ˈa	0.266
ˈæ	a	0.576
ˈɵ	ˈɛ	0.076
p	m_p	0.057
pʲ	p_j	0.647
z	w̃_z	0.37
ʦʲ	ʨ	0.667
ˈe	ˈa	0.337
ˈo	ˈɛ	0.077
ˈɨ	ɨ	0.157
a	ɛ	0.138
a	ˈɔ	0.198
a	ɔ	0.308
r	r	0.818
vʲ	v_j	0.408
ʦʲ	ɲ_ʨ	0.28
ˈo	ˈu	0.168
vʲ	v	0.309
w	w	0.389
ʣʲ	d	0.09
ʧ	ʦ	0.109
ˈæ	ɛ_w̃	0.209
