Old Norse	Swiss German	probability
a	ə	0.763
a	ˈau̯	0.161
a	-	0.077
b	b̥	1.0
c	-	0.75
c	χ	0.175
c	k	0.074
cʰ	χ	1.0
cː	kː	1.0
d	t	0.587
d	d̥	0.232
d	-	0.148
f	f	0.979
h	h	1.0
i	ə	0.523
i	-	0.468
j	-	0.332
j	ˈæ	0.295
j	ˈyː	0.17
j	ˈiə̯	0.148
j	b̥	0.055
k	χ	0.624
k	-	0.202
k	ɡ̊	0.07
k	ʃ	0.061
kʰ	χ	0.865
kʰ	f	0.135
kː	k	1.0
l	l	0.911
l	-	0.065
lː	l	1.0
l̥	l	1.0
m	m	1.0
mː	f	0.5
mː	mː	0.5
n	n	0.806
n	-	0.131
nː	n	0.477
nː	-	0.206
nː	nː	0.151
nː	s	0.093
nː	t	0.058
p	f	0.381
p	fː	0.317
p	p͡f	0.302
pː	f	1.0
r	r	0.735
r	-	0.212
rː	r	0.848
rː	χ	0.152
r̥	r	1.0
s	s	0.525
s	ʃ	0.443
sː	s	0.787
sː	sː	0.213
t	sː	0.465
t	s	0.226
t	t	0.203
t	ʦ	0.107
tʰ	ʦ	0.942
tʰ	b̥	0.058
tː	χ	0.949
tː	ʦ	0.051
u	i	0.596
u	n	0.169
u	ˈæː	0.169
u	-	0.065
v	ʋ	0.479
v	b̥	0.292
v	-	0.089
v	f	0.084
w	ʋ	1.0
x	-	1.0
ç	h	1.0
ð	t	0.597
ð	d̥	0.15
ð	tː	0.134
ð	-	0.119
ŋ	ŋ	0.685
ŋ	-	0.315
ɑ	ə	0.974
ɑː	æ	1.0
ɟ	ɡ̊	0.89
ɟ	-	0.11
ɟː	ɡ̊ː	1.0
ɡ	ɡ̊	0.655
ɡ	-	0.277
ɡ	χ	0.068
ɡː	ɡ̊ː	0.504
ɡː	-	0.496
ɣ	ɡ̊	1.0
ʝː	ɡ̊	1.0
ʦ	t	1.0
ˈa	ˈɒ	0.72
ˈa	ˈɒː	0.28
ˈe	ˈe	0.3
ˈe	ˈæ	0.26
ˈe	ˈi	0.117
ˈe	-	0.109
ˈe	ˈæː	0.101
ˈe	ˈɒː	0.072
ˈeː	ˈiə̯	0.512
ˈeː	ˈyː	0.228
ˈeː	ˈi	0.144
ˈeː	ˈæ	0.088
ˈi	ˈi	0.673
ˈi	ˈy	0.138
ˈi	ˈyː	0.115
ˈiː	ˈiː	0.652
ˈiː	ˈyː	0.215
ˈiː	-	0.089
ˈo	ˈo	0.413
ˈo	ˈoː	0.22
ˈo	ˈu	0.182
ˈo	ˈøː	0.115
ˈoː	-	0.41
ˈoː	ˈuə̯	0.292
ˈoː	r	0.196
ˈu	ˈu	0.486
ˈu	ˈo	0.19
ˈu	ˈuː	0.096
ˈu	ˈø	0.068
ˈu	ʋ_ˈu	0.051
ˈuː	ˈuː	0.517
ˈuː	-	0.244
ˈuː	ˈy	0.138
ˈuː	ˈu	0.072
ˈy	ˈy	0.297
ˈy	ˈi	0.255
ˈy	ˈo	0.249
ˈy	ˈu	0.078
ˈy	ˈyː	0.078
ˈyː	ˈyː	0.435
ˈyː	ˈiə̯	0.19
ˈyː	ˈuː	0.124
ˈyː	ˈuə̯	0.123
ˈyː	ˈøi̯	0.117
ˈøy̯	ˈøi̯	0.522
ˈøy̯	ˈoː	0.357
ˈøy̯	ˈøː	0.07
ˈøy̯	ˈou̯	0.051
ˈøː	ˈyə̯	0.644
ˈøː	ˈæ	0.226
ˈøː	ˈuə̯	0.109
ˈɑ	ˈɒ	0.468
ˈɑ	ˈɒː	0.202
ˈɑ	-	0.201
ˈɑ	ˈæ	0.072
ˈɑu̯	ˈau̯	0.526
ˈɑu̯	ˈoː	0.253
ˈɑu̯	ˈou̯	0.144
ˈɑu̯	ə	0.076
ˈɑː	ˈɒː	0.381
ˈɑː	ˈeː	0.217
ˈɑː	ˈoː	0.182
ˈɑː	ˈɒ	0.128
ˈɑː	ˈo	0.092
ˈɒu̯	ˈu	0.73
ˈɒu̯	ˈøː	0.172
ˈɒu̯	ˈoː	0.097
ˈɔ	ˈɒ	0.311
ˈɔ	-	0.303
ˈɔ	rː	0.254
ˈɔ	ˈi	0.097
ˈɔː	ˈuə̯	1.0
ˈɛ	ˈæ	0.197
ˈɛ	ˈɒ	0.191
ˈɛ	ˈei̯	0.18
ˈɛ	ˈø	0.18
ˈɛ	ˈe	0.129
ˈɛ	ˈy	0.082
ˈɛi̯	ˈæi̯	0.347
ˈɛi̯	ˈɛi̯	0.327
ˈɛi̯	ˈei̯	0.229
ˈɛi̯	ˈøi̯	0.098
ˈɛː	-	0.459
ˈɛː	ˈeː	0.457
ˈɛː	ˈɒ	0.084
θ	d̥	0.955
