Čakavian	Ukrainian	probability
ʃ	ʃʲ	1.0
ɲ	nʲ	1.0
ɡ_l	ɦʲ	1.0
x	x	1.0
s_iː	s_ɪ	1.0
r̩	ɛ	1.0
o_̂	ɔ	1.0
k_oː	kʲ_i	1.0
k	k	1.0
d	d	1.0
c	ʧ	1.0
b̥	b	1.0
a_t	ɔ_tʲ	1.0
a_r	r_e	1.0
a_k	k	1.0
z	z	0.922
p	p	0.904
̂	ˈ	0.893
̌	ˈ	0.875
o	ɔ	0.805
m	m	0.797
t	t	0.778
b	b	0.773
ʒ	ʒ	0.772
ɡ	ɦ	0.755
l	ɫ	0.73
oː	i	0.698
n	n	0.69
ʋ	ʋ	0.625
s	s	0.599
aː	ɔ	0.58
r	r	0.564
i	i	0.549
ʦ	ʦʲ	0.535
u	w_u	0.522
iː	i	0.505
u	u	0.478
ʦ	ʦ	0.465
a	ɑ	0.464
aː	-	0.42
e	ɛ	0.419
iː	ɪ	0.413
ʧ	ʧʲ	0.408
s	sʲ	0.401
uː	u	0.383
ʧ	-	0.366
uː	ɔ	0.355
eː	i	0.318
n	nʲ	0.31
i	ɪ	0.305
oː	ɔ	0.302
eː	ɛ	0.302
e	i	0.294
ʋ	ʋʲ	0.284
l	lʲ	0.27
uː	ʊ	0.262
ɡ	ɦ_ɔ	0.245
ʒ	ʒʲ	0.228
ʧ	ʤ	0.227
r	ɔ_r	0.227
b	bʲ	0.227
t	tʲ	0.222
eː	j_ɑ	0.212
r	rʲ	0.208
m	mʲ	0.203
o	i	0.195
eː	ɐ	0.168
a	ɔ	0.167
e	ɐ	0.136
̌	-	0.125
a	a	0.123
a	-	0.112
̂	-	0.107
p	pʲ	0.096
ʋ	w	0.092
i	-	0.088
a	ɛ	0.086
iː	-	0.083
z	zʲ	0.078
e	ɔ	0.075
e	e	0.075
i	ɪ_ˈ	0.058
