Pennsylvania German	East Low German	probability
b	b	1.0
d	d	0.695
d	ɾ	0.215
d	t	0.047
d	tʰ	0.039
f	f	0.728
f	p	0.17
f	-	0.064
f	b	0.035
h	h	0.944
h	-	0.058
j	j	0.699
j	ɡ	0.146
j_ə	ŋ	1.0
k	k	0.388
k	ç	0.383
k	x	0.201
k_s	s	1.0
kʰ	kʰ	0.868
kʰ	-	0.13
l	l	1.0
m	m	1.0
n	n	0.925
n	-	0.054
p	f	0.598
p	p	0.396
s	t	0.38
s	z	0.362
s	s	0.237
s	ɾ	0.029
t	t	0.543
t	d	0.303
t	-	0.153
v	v	0.351
v	m	0.306
v	b	0.306
x	x	0.658
x	k	0.341
ç	ç	0.561
ç	k	0.257
ç	-	0.088
ç	t	0.088
ŋ	ŋ	1.0
ɑ	æ	0.873
ɑ	-	0.122
ə	-	0.509
ə	n	0.489
ɡ	ɡ	0.568
ɡ	j	0.361
ɡ	kʰ	0.068
ɣ	ɡ	0.477
ɣ	-	0.192
ɣ	ŋ	0.192
ɪ	ɪ	0.474
ɪ	-	0.408
ɪ	æ	0.098
ɾ	r	0.801
ɾ	-	0.112
ɾ	æ	0.074
ɾ_ə	æ	1.0
ʃ	ʃ	0.804
ʃ	s	0.191
ʋ	v	0.827
ʋ	w	0.12
ʋ	ˈʏ	0.051
ʦ	tʰ	0.714
ʦ	t	0.283
ˈa	ˈa	0.589
ˈa	ˈɒː	0.133
ˈa	ˈɔ	0.075
ˈa	ˈɪ	0.065
ˈa	ˈuː_æ	0.057
ˈaɪ̯	ˈiː	0.507
ˈaɪ̯	ˈɪ	0.178
ˈaɪ̯	ˈyː	0.094
ˈaɪ̯	ˈʏ	0.064
ˈaɪ̯	ˈuː	0.055
ˈaʊ̯	ˈuː	0.741
ˈaʊ̯	ˈœː	0.144
ˈaʊ̯	ˈaʊ̯	0.101
ˈaː	ˈaː	0.381
ˈaː	ˈuː_æ	0.26
ˈaː	ˈoː	0.108
ˈaː	ˈuː	0.105
ˈaː	ˈa	0.101
ˈeː	ˈae̯	0.44
ˈeː	ˈae̯_n	0.103
ˈeː	ˈeː	0.089
ˈeː	ˈɛ	0.085
ˈeː	ˈyː	0.068
ˈiː	ˈae̯	0.378
ˈiː	ˈɔʏ̯	0.301
ˈiː	ˈiː	0.147
ˈiː	ˈaɪ̯	0.097
ˈiː	ˈɪ	0.057
ˈoː	ˈɒː	0.449
ˈoː	ˈaʊ̯	0.426
ˈoː	ˈuː	0.066
ˈoː	ˈœː	0.055
ˈuː	ˈaʊ̯	0.907
ˈuː	ˈuː	0.077
ˈɔ	ˈɔ	0.431
ˈɔ	ˈʊ	0.253
ˈɔ	ˈɒː	0.173
ˈɔ	ˈœ	0.114
ˈɔɪ̯	ˈae̯	0.49
ˈɔː	ˈɒː	0.152
ˈɔː	ˈa	0.14
ˈɔː	ˈaʊ̯	0.14
ˈɔː	ˈoː	0.104
ˈɔː	ˈɛː	0.104
ˈɛ	ˈɛ	0.323
ˈɛ	ˈɛː	0.257
ˈɛ	ˈœ	0.119
ˈɛ	ˈiː	0.064
ˈɛ	-	0.063
ˈɛː	ˈaː	0.325
ˈɛː	ˈiː	0.187
ˈɛː	ˈɒː	0.163
ˈɛː	ˈøː	0.11
ˈɛː	ˈɛɪ̯	0.11
ˈɪ	ˈɪ	0.55
ˈɪ	ˈʏ	0.161
ˈɪ	ˈiː	0.096
ˈɪ	ˈœː	0.072
ˈɪ	ˈɛ	0.072
ˈʊ	ˈʊ	0.539
ˈʊ	ˈɔ	0.141
ˈʊ	ˈaʊ̯	0.127
ˈʊ	ˈøː	0.06
ˈʊ	ˈuː	0.06
