Occitan	Aromanian	probability
<#	<#_a	1.0
<#_a_w	<#_u	1.0
<#_b	<#_b	1.0
<#_e	<#_s	1.0
<#_l	<#_l	1.0
<#_n	<#_n	1.0
<#_t	<#_t	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈy	<#_ˈu	1.0
<#_ˈɔ	<#_ˈo	1.0
a_ð	ə_t	1.0
d_ɾ	i_r	1.0
e_n	i_n	1.0
e_z	i	1.0
i	-	1.0
i_#>	#>	1.0
j_s	ʃ_t_i	1.0
j_ɾ	t	1.0
j_ˈɛ	ˈe	1.0
k	k	1.0
k_#>	k_#>	1.0
l_#>	r_#>	1.0
l_ˈa	l	1.0
p_#>	p_#>	1.0
r	r	1.0
s_t	s_t	1.0
s_ˈi	ʦ_ˈi	1.0
t_#>	t	1.0
u	u	1.0
v	z_b	1.0
ð	t	1.0
ɔ	-	1.0
ɔ_#>	ə_#>	1.0
ɡ	ɡ	1.0
ɥ_ˈɔ	ˈo	1.0
ɥ_ˈɛ	o̯ˈa	1.0
ɾ_e	r_u	1.0
ɾ_ˈi	r_ˈi	1.0
ʤ	ʤ	1.0
ʦ	-	1.0
ʦ_#>	ʦ_i_#>	1.0
ˈi_#>	ˈi_r_i_#>	1.0
ˈu_n	ˈu_n	1.0
ˈu_s	ˈo_j	1.0
ˈy	ˈu	1.0
<#_a	<#_a	0.571
<#_p	<#	0.261
#>	ə_#>	0.12
<#_f	<#_ç	0.312
<#_m	<#_m	0.692
e_#>	#>	0.32
e_#>	i_#>	0.52
m	i_m	0.182
t	d	0.182
ˈe	ˈi	0.32
<#_v	<#_j	0.583
j	i_d_e̯ˈa	0.333
s	<#_ʧ	0.133
s_#>	i_#>	0.333
w	i	0.333
w	l	0.333
w	v	0.333
w_#>	w_ə_#>	0.333
ˈa	ˈɨ_n	0.143
ˈi	ˈu	0.143
ˈi	ʦ_ˈi	0.143
ˈu	ˈo	0.083
ˈu	ˈu	0.583
β	-	0.333
β	p	0.333
β	b	0.333
#>	i_#>	0.44
ɲ	m	0.4
ʧ	p_t_i	0.4
ˈa_#>	r_i	0.214
ˈe	ˈe	0.24
ˈe	e̯ˈa	0.44
ˈi	ˈi	0.714
ˈɛ	k	0.074
ˈɛ	i	0.074
<#_d	<#_ʣ	0.385
<#_d	<#_d	0.615
<#_k	<#	0.115
<#_k	<#_k	0.885
<#_s	<#_ʦ	0.25
<#_s	<#_ʃ	0.25
<#_s	<#_s	0.5
<#_ʤ	<#_ʤ	0.375
<#_ʤ	<#_ʣ	0.625
a	ə	0.5
a	-	0.5
e	-	0.375
e	i	0.625
n	t	0.125
n	n	0.875
ŋ	n	0.5
ŋ	ŋ	0.5
ɣ	k	0.5
ɣ	ɡ	0.5
ɾ	i_r	0.115
ˈɔ	o̯ˈa	0.385
ˈɔ	ˈo	0.615
ˈɛ	e̯ˈa	0.185
ˈɛ	ˈi	0.185
ˈɛ	ˈa	0.185
e_#>	r_i_#>	0.16
l	l_#>	0.156
s	s	0.6
ɲ	ɲ	0.6
ʧ	t	0.6
ˈa_#>	ˈa_r_i_#>	0.786
ˈɛ	ˈe	0.296
#>	n_#>	0.067
#>	e_#>	0.067
#>	u_#>	0.307
<#_v	<#_v	0.417
j	-	0.667
s	-	0.267
s_#>	#>	0.667
w_#>	w_#>	0.667
ɾ	ʃ	0.077
ˈu	ˈu_k	0.167
ˈu	o̯ˈa	0.167
<#_f	<#_f	0.688
<#_m	<#_ɲ	0.308
l	r	0.188
l	l	0.188
m	m	0.818
t	t	0.818
ɾ	r	0.808
<#_a	<#	0.429
<#_p	<#_p	0.739
l	ʎ	0.469
ˈa	ˈɨ	0.229
ˈa	ˈa	0.629
