Alsatian	Luxembourgish	probability
b̥	b	0.903
b̥	ə_f	0.071
d̥	d	0.512
d̥	t	0.311
d̥	-	0.177
e	ə	1.0
eː	e	1.0
f	f	0.965
h	h	1.0
i	ə	0.502
i	ə_ɕ	0.298
i	e	0.199
j	j	0.434
j	ˈeː	0.404
j	-	0.162
k	k	0.792
k	-	0.208
kʰ	kʰ	1.0
l	l	0.979
m	m	0.974
n	n	0.841
n	ŋ	0.098
n	-	0.062
p	p	1.0
p͡f	p	1.0
s	s	0.601
s	z	0.376
t	t	0.673
t	d	0.26
v	-	0.569
v	v	0.431
w	w	0.829
w	-	0.171
x	ɕ	0.539
x	χ	0.42
ŋ	ŋ	1.0
ə	ə_n	0.842
ə	-	0.113
ɡ̊	ɡ	0.835
ɡ̊	kʰ	0.123
ʁ	-	0.526
ʁ	ʀ	0.474
ʃ	ʃ	0.646
ʃ	ɕ	0.26
ʃ	t	0.058
ʋ	v	0.909
ʋ	w	0.064
ʦ	ʦ	1.0
ˈai̯	ˈeː	1.0
ˈaː	ˈoː	1.0
ˈe	ˈə	0.352
ˈe	ˈiː	0.261
ˈe	ˈɛ	0.222
ˈe	ˈiə̯	0.111
ˈe	ˈɛː	0.054
ˈei̯	ˈɑɪ̯	0.423
ˈei̯	ˈɜɪ̯	0.423
ˈei̯	ˈæːɪ̯	0.154
ˈeː	ˈɜɪ̯	0.565
ˈeː	ˈe	0.164
ˈeː	ˈoː	0.164
ˈeː	ˈiː	0.076
ˈi	ˈɑ	0.442
ˈi	ˈə	0.273
ˈi	ˈe	0.131
ˈi	ˈi	0.066
ˈiː	ˈɜɪ̯	0.347
ˈiː	ˈiː	0.213
ˈiː	ˈe	0.164
ˈiː	ˈæːɪ̯	0.116
ˈiː	ˈɑɪ̯	0.069
ˈo	ˈo	0.391
ˈo	ˈaː	0.288
ˈo	ˈuː	0.216
ˈo	ˈɑ	0.06
ˈoː	ˈəʊ̯	0.705
ˈoː	ˈoː	0.189
ˈoː	ˈɜɪ̯	0.08
ˈu	ˈo	0.394
ˈu	ˈuː	0.124
ˈu	ˈʊ	0.106
ˈu	ˈe	0.098
ˈu	ˈə	0.081
ˈu	ˈu	0.078
ˈyː	ˈæːʊ̯	0.931
ˈyː	ˈɔ	0.069
ˈæ	-	0.405
ˈæ	ˈiə̯	0.272
ˈæ	ˈə	0.162
ˈæ	ˈi	0.125
ˈæː	ˈiː	0.29
ˈæː	ˈɜɪ̯	0.28
ˈæː	ˈi	0.192
ˈæː	-	0.158
ˈæː	ˈiə̯	0.081
ˈø	ˈu	1.0
ˈøi̯	ˈæːʊ̯	1.0
ˈøː	ˈu	1.0
ˈœ	ˈaː	1.0
ˈɒ	ˈaː	0.461
ˈɒ	ˈɑ	0.354
ˈɒ	ˈu	0.111
ˈɒ	ˈæ	0.074
ˈɒː	ˈuə̯	0.386
ˈɒː	ˈɑ	0.255
ˈɒː	ˈaː	0.253
ˈɒː	ˈɜɪ̯	0.106
ˈɔi̯	ˈaː	1.0
ˈəi̯	ˈeː	0.941
ˈəi̯	ˈɛ	0.059
ˈɛ	ˈæ	0.847
ˈɛ	ˈiə̯	0.153
ˈʊː	ˈaː	0.396
ˈʊː	ˈu	0.272
ˈʊː	ˈʊ	0.197
ˈʊː	ˈəʊ̯	0.134
