Old Norse	Gothic	probability
a	oː	0.443
a	a	0.386
a	ɔː	0.171
b	b	0.981
c	k	1.0
d	d	0.879
f	f	0.973
h	h	1.0
i	a	0.598
i	-	0.238
i	iː	0.086
i	oː	0.058
j	-	0.261
j	ˈiu̯	0.217
j	ˈɛ	0.164
j	ˈi	0.146
j	j	0.125
j	ˈɛː	0.087
k	k	0.888
k	h	0.098
kʰ	k	0.861
kʰ	kʷ	0.139
kː	k	1.0
l	l	0.947
l	-	0.053
lː	l	0.546
lː	lː	0.454
l̥	h_l	1.0
m	m	0.976
mː	m	1.0
n	n	0.939
nː	n	0.842
nː	-	0.12
p	p	1.0
pː	p	1.0
r	s	0.445
r	r	0.426
r	-	0.063
rː	r	0.937
rː	w	0.063
r̥	r	1.0
s	s	0.957
sː	k	1.0
t	t	0.965
tʰ	t	0.95
tː	h	0.955
u	u	0.749
u	ˈi	0.102
u	-	0.09
u	i	0.06
v	w	0.51
v	f	0.218
v	β	0.153
v	-	0.079
w	-	1.0
x	ʍ	1.0
ç	h	1.0
ð	θ	0.594
ð	ð	0.168
ð	nː	0.122
ð	-	0.08
ŋ	ŋ	0.841
ŋ	h	0.159
ɑ	a	0.723
ɑ	oː	0.213
ɟ	ɡ	0.863
ɟ	ɡʷ	0.137
ɡ	ɡ	0.866
ɡ	-	0.105
ɡː	d	1.0
ɣ	ɡ	0.609
ɣ	x	0.266
ɣ	ɣ	0.125
ɾ	-	1.0
ʦ	ð	1.0
ˈa	ˈa	1.0
ˈe	ˈi	0.671
ˈe	ˈɛ	0.178
ˈe	ˈɛː	0.151
ˈeː	ˈiː	0.281
ˈeː	ˈuː	0.222
ˈeː	ˈiu̯	0.176
ˈeː	ˈeː	0.155
ˈeː	ˈɛ	0.141
ˈi	ˈi	0.895
ˈi	ˈiː	0.105
ˈiː	ˈiː	0.838
ˈiː	ˈɛ	0.074
ˈo	ˈɔ	0.41
ˈo	ˈu	0.274
ˈo	w_ˈɔ	0.206
ˈoː	ˈoː	0.383
ˈoː	w	0.356
ˈoː	-	0.109
ˈoː	ˈi	0.1
ˈoː	ˈɔː	0.052
ˈu	ˈu	0.805
ˈu	w_ˈu	0.069
ˈu	ˈuː	0.059
ˈuː	-	0.694
ˈuː	ˈuː	0.306
ˈy	ˈi	0.6
ˈy	ˈɔː	0.263
ˈy	ˈu	0.137
ˈyː	ˈiu̯	0.883
ˈyː	ˈoː	0.117
ˈøy̯	ˈɔː	1.0
ˈøː	ˈoː	1.0
ˈɑ	ˈa	0.723
ˈɑ	-	0.182
ˈɑu̯	ˈɔː	0.56
ˈɑu̯	ˈɔ	0.385
ˈɑu̯	u	0.055
ˈɑː	ˈeː	0.361
ˈɑː	ˈɔː	0.341
ˈɑː	ˈa	0.18
ˈɑː	ʍ	0.118
ˈɒu̯	ˈu	0.664
ˈɒu̯	ˈɔː	0.336
ˈɔ	ˈɛ	0.427
ˈɔ	ˈi	0.336
ˈɔ	ˈa	0.119
ˈɔ	ˈu	0.076
ˈɔː	ˈoː	1.0
ˈɛ	ˈa	0.535
ˈɛ	j	0.306
ˈɛ	ˈoː	0.112
ˈɛi̯	ˈɛː	1.0
ˈɛː	ˈa	0.919
ˈɛː	ˈɛː	0.081
θ	θ	1.0
