French	Occitan	probability
#>	#>	0.329
#>	ɔ_#>	0.253
#>	e_#>	0.118
#>	l_#>	0.057
<#	<#	0.995
a	ˈa	0.321
a	a	0.266
a	-	0.186
a	j	0.129
a_#>	#>	1.0
b	b	0.76
b	β	0.238
d	d	0.875
d	-	0.065
d	ɲ	0.065
e	ˈa	0.59
e	e_s	0.225
e	e	0.075
e_#>	#>	1.0
f	f	0.935
f	-	0.06
i	ˈi	0.522
i	ˈɛ	0.145
i	i	0.079
i	j_ˈɛ	0.079
i	ˈe	0.054
i_#>	#>	0.503
i_ʁ	ˈi	1.0
j	ˈɛ	0.341
j	ʎ	0.288
j	-	0.152
j	j	0.094
k	k	0.919
k	ŋ_k	0.076
l	l	0.995
m	m	0.946
m	n	0.051
n	n	0.936
n	-	0.061
o	ˈɛ	0.431
o	ˈɔ_s	0.24
o	ˈa_l	0.134
o	ˈa_w	0.117
o	w	0.064
p	p	0.992
s	s	0.901
s	-	0.083
t	t	0.772
t	s_t	0.148
t	j	0.076
u	ˈu	0.369
u	u	0.241
u	ˈu_s	0.135
u	ˈɔ	0.115
u	ˈu_t	0.1
v	v	0.633
v	β	0.275
v	-	0.054
w	ˈe	0.632
w	ʦ	0.092
w	ˈy	0.064
w	ˈi	0.052
w_a	e	1.0
y	ˈy	0.776
y	ˈi	0.136
y	ɥ	0.079
z	z	0.603
z	ɾ	0.242
z	s	0.105
ø	ˈɔ	0.395
ø	w	0.235
ø	ˈu	0.235
ø	ˈɛ	0.075
œ	ˈɔ	0.448
œ	ɥ	0.306
œ	u	0.093
œ	ˈu	0.07
œ_f	ɥ	1.0
œ_ʁ	ˈu	1.0
ɑ̃	ˈɛ	0.331
ɑ̃	ˈa	0.172
ɑ̃	ˈa_ŋ	0.111
ɑ̃	e	0.084
ɑ̃	a	0.078
ɑ̃	ˈa_n	0.078
ɑ̃	ŋ	0.068
ɑ̃	ˈɛ_n	0.055
ɔ	ˈɔ	0.514
ɔ	u	0.216
ɔ	w	0.16
ɔ	ˈu	0.097
ɔ̃	ˈu	0.356
ɔ̃	ˈɔ_n	0.261
ɔ̃	ˈu_ŋ	0.178
ɔ̃	u_n	0.082
ɔ̃	u	0.08
ɔ̃_#>	#>	0.503
ə	e	0.662
ə	a	0.155
ə	ˈe	0.08
ə	-	0.073
ɛ	ˈa	0.3
ɛ	ˈe	0.215
ɛ	ˈɛ	0.186
ɛ	-	0.112
ɛ	ˈa_j	0.085
ɛ̃	ˈa	0.371
ɛ̃	ˈi	0.261
ɛ̃	ɲ	0.112
ɛ̃	n	0.079
ɛ̃	i	0.072
ɛ̃	ˈe	0.072
ɡ	ɡ	0.741
ɡ	ɣ	0.127
ɡ	k	0.068
ɡ	ʒ	0.062
ɥ	ɥ	0.609
ɥ	ˈy	0.196
ɥ	ʦ	0.099
ɥ	ˈi	0.071
ɲ	ɲ	1.0
ʁ	ɾ	0.547
ʁ	r	0.375
ʁ_#>	#>	1.0
ʃ	k	0.874
ʃ	p	0.072
ʃ	ɡ	0.054
ʒ	ʒ	0.52
ʒ	ʤ	0.235
ʒ	β	0.061
ʒ	ɡ	0.056
ʒ	b	0.054
