Alsatian	Old Frisian	probability
ˈɛ	ˈe	1.0
ˈɒ_t	ˈe_d	1.0
ˈɒ_n	ˈoː	1.0
ˈœ	ˈaː_ɣ	1.0
ˈøi̯	ˈuː	1.0
ˈø	ˈu_ɣ	1.0
ˈæː	ˈe	1.0
ˈæ	ˈe	1.0
ˈyː	ˈuː	1.0
ˈeː_n	n	1.0
ˈei̯	ˈiː	1.0
ˈaː	-	1.0
ˈai̯	ˈeː	1.0
ʃ_t	s_t	1.0
ʁ_t	r_d	1.0
ʁ	r	1.0
w	w	1.0
p͡f	pː	1.0
p	p	1.0
n_ə	nː_ə	1.0
k_s	k_s	1.0
h	h	1.0
eː	iː	1.0
e	ˈiː	1.0
b̥	b	1.0
m	m	0.949
l	l	0.948
ʦ	t	0.872
n	n	0.87
ə	ə	0.828
ˈəi̯	ˈɛː	0.817
f	f	0.811
t	d	0.776
ʋ	w	0.768
kʰ	k	0.757
ˈe	ˈe	0.71
ˈeː	ˈɛː	0.691
ˈo	ˈo	0.688
k	ɡː	0.673
j	j	0.673
x	x	0.667
ˈi	ˈi	0.619
ɡ̊	ɡ	0.591
i	ə	0.571
ˈu	ˈu	0.563
ˈʊː	ˈoː	0.558
d̥	d	0.531
ŋ	ŋ_ɡ	0.522
ˈɒ	ˈa	0.52
s	s	0.515
ŋ	ŋ	0.478
d̥	θ	0.394
ˈɒː	ˈa	0.386
ˈoː	ˈeː	0.375
ʃ	s_k	0.375
ˈoː	ˈaː	0.348
s	t	0.343
ˈɒ	ˈɔː	0.34
x	k	0.333
k	-	0.327
j	ɣ	0.327
ˈo	ˈu	0.312
ˈeː	ˈeː	0.309
ˈɒː	ˈe	0.307
ˈɒː	-	0.307
ˈe	-	0.29
i	ə_x	0.286
ˈʊː	ˈaː	0.273
ˈiː	ˈi̯uː	0.267
ˈiː	ˈiː	0.25
kʰ	ʦ	0.243
ʃ	s	0.23
ɡ̊	-	0.219
ˈiː	ˈi̯aː	0.214
ˈi	-	0.211
ʃ	x	0.192
ɡ̊	j	0.19
f	p	0.189
ˈəi̯	ˈaː	0.183
ˈu	ˈo	0.181
t	t	0.178
ˈi	ˈe	0.17
ˈʊː	-	0.169
ˈoː	ˈɔː	0.158
i	i	0.143
ˈɒ	ˈe	0.139
ˈiː	ˈeː	0.138
ˈu	ˈe	0.136
ʃ	k	0.136
ˈiː	ˈi	0.131
ʦ	tː	0.128
ʋ	-	0.128
ˈoː	-	0.12
ʋ	h_w	0.104
s	z	0.101
n	-	0.077
d̥	ð	0.075
ˈu	ˈuː	0.074
ə	ɡ_ə	0.07
ʃ	ˈɛː_k	0.068
ə	e	0.052
m	mː	0.051
