Upper Sorbian	Slovenian	probability
β	ʋ	1.0
ˈɪ	ìː	1.0
ˈɛ	ɛ̀ː	1.0
ˈɔ_w	ɔ́ː_w	1.0
ˈe_ʀ	ə́_r	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʀʲ	r	1.0
ʀ	r	1.0
ɲ_#>	n_#>	1.0
ɲ	n	1.0
ɪ_#>	r_#>	1.0
ɪ	-	1.0
ɦ	ɡ	1.0
ɥ_ˈɛ	ʋ	1.0
ɥ	ʋ	1.0
z	z	1.0
xʲ_i_#>	x_#>	1.0
x_#>	k_#>	1.0
x	x	1.0
w_ɪ_#>	w_#>	1.0
w_#>	w_#>	1.0
w	l	1.0
t_#>	t_#>	1.0
s_#>	s_#>	1.0
p_#>	p_#>	1.0
p	ə	1.0
n_ɪ_#>	n_#>	1.0
n	n	1.0
mʲ	m	1.0
m_#>	m_#>	1.0
l_ˈɛ	l_èː	1.0
l_#>	w_#>	1.0
l	l	1.0
kʲ	ə	1.0
k_#>	k_#>	1.0
k	k	1.0
j_#>	#>	1.0
i_#>	k_#>	1.0
e	e	1.0
d_w	l_ɔ	1.0
d_a	d_a	1.0
bʲ	b	1.0
b	b	1.0
a_#>	a_#>	1.0
<#_ʧ	<#_t	1.0
<#_ʤ	<#_d	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʀ	<#_r	1.0
<#_ɦ	<#_ɡ	1.0
<#_ɥ	<#_ʋ	1.0
<#_z	<#_z	1.0
<#_x	<#_x	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_pʲ	<#_p	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_mʲ	<#_m	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
s	s	0.846
t	t	0.778
ˈa	àː	0.714
ˈo	óː	0.7
ʧ_#>	t_#>	0.692
ˈe	éː	0.625
ɛ	ɛ	0.6
<#_β	<#	0.556
ˈu	úː	0.5
ˈu	óː	0.5
ʃ	ʃ	0.5
ʃ	r	0.5
<#_β	<#_ʋ	0.444
ɛ	éː	0.4
ˈi	íː	0.375
ˈi	ìː	0.375
ˈe	èː	0.375
ˈɔ	ɔ̀ː	0.316
ɔ_#>	óː_#>	0.312
ʧ_#>	t_i_#>	0.308
ˈo	áː	0.3
ˈa	á	0.286
ˈi	-	0.25
ɔ_#>	ɔ_#>	0.25
ɔ_#>	#>	0.25
t	t_ə	0.222
ɔ_#>	ɛ_#>	0.188
ˈɔ	òː	0.158
s	s_ə	0.154
ˈɔ	ə́	0.105
ˈɔ	ə̀	0.105
ˈɔ	ə	0.105
ˈɔ	óː	0.105
ˈɔ	o	0.105
