Slovenian	Polish	probability
á	ˈa	1.0
áː	ˈɔ	1.0
e	ˈɛ	1.0
i	ɨ	1.0
ìː	ˈi	1.0
íː	ˈɨ	1.0
k	k	1.0
o	ˈɔ	1.0
òː	ˈɔ	1.0
úː	ˈu	1.0
ə́	j_ˈɛ	1.0
ɛ̀ː	ˈɛ	1.0
ɛ́	ˈɛ	1.0
ʃ	ʂ	1.0
ʒ	ʐ	1.0
àː	ˈa	0.671
w	l	0.191
w	w	0.621
ɔ	ɔ	0.841
ɡ	i_#>	0.051
ʧ	ʈ͡ʂ	0.31
d	ʥ	0.412
n	n_ɨ	0.242
óː	ɔ	0.412
óː	ˈɔ	0.482
r	r	0.662
x	x_ɨ	0.112
ʋ	v_j	0.382
ʦ	ʦ	0.612
a	a	0.933
b	b	0.933
éː	ˈa	0.203
j	-	0.273
p	m_p	0.13
p	p	0.813
r	ʐ	0.263
s	s	0.613
z	w̃_z	0.23
z	ʑ	0.53
ɔ̀ː	ˈɛ	0.053
ə	-	0.393
ə̀	ˈa	0.803
àː	a	0.14
l	w	0.394
m	m_j	0.224
t	ʨ	0.234
t	t	0.554
z	z	0.24
ɛ	ɛ	0.914
ʋ	v	0.454
n	ɲ	0.5
r	-	0.075
ɡ	ɡ	0.925
ʋ	-	0.165
èː	-	0.206
éː	ɛ	0.46
l	l	0.606
m	m	0.776
t	ɲ_ʨ	0.196
ɛ	ˈɔ	0.086
a	ˈa	0.067
b	b_j	0.067
èː	ˈɛ	0.367
éː	ˈɛ	0.337
j	j	0.727
óː	ˈu	0.107
p	p_j	0.057
s	ɕ	0.387
ɔ̀ː	ˈɔ	0.947
ə	ɛ	0.527
ə̀	-	0.197
d	d	0.588
èː	ˈɔ	0.068
w	w_ɨ	0.188
x	x	0.888
ə	ˈɛ	0.08
ʦ	-	0.388
àː	ˈɔ	0.19
èː	ˈa	0.359
n	n	0.259
ɔ	ˈɔ	0.159
ʧ	ʦ	0.69
