East Frisian Low Saxon	Saterland Frisian	probability
χ	x	1.0
ˈʏə̯	ˈɛː	1.0
ˈʊə̯	ˈʊ	1.0
ˈɔː	ˈiː	1.0
ˈɒːɒ̯	ˈɔː	1.0
ˈɑːʊ̯	j_ˈoːu̯	1.0
ˈɑːɑ̯_j	ˈɔːɪ̯	1.0
ˈɑɪ̯	j_ˈoː	1.0
ˈɑ_n	ˈoːu̯_n	1.0
ˈɑ_l	ˈoː_l	1.0
ˈœːy̯	ˈoːu̯	1.0
ˈœy̯	ˈɛɪ̯	1.0
ˈøy̯	ˈɛɪ̯	1.0
ˈæːɪ̯	-	1.0
ˈæː	-	1.0
ˈyːʏ̯	ˈʊ_t	1.0
ˈyː	j_ˈu	1.0
ˈuːu̯	ˈuː	1.0
ˈoːo̯	ˈoː	1.0
ˈoː_ɐ	ˈoːu̯	1.0
ˈiːi̯	ˈi	1.0
ˈeːe̯	-	1.0
ʊ	ˈuː	1.0
ɫ	l_ə	1.0
ɡ̊	ɪ_x	1.0
ə	ə	1.0
ɑɪ̯	i	1.0
ɐ_t	t	1.0
ŋ	ŋ	1.0
z̥	z	1.0
z_n	z_ə	1.0
z	s	1.0
w	v	1.0
t	t	1.0
s_l	s_l	1.0
r	r	1.0
p	p	1.0
o	ˈoː	1.0
l	l	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
d_ɐ	r	1.0
d	d	1.0
b	b	1.0
s	s	0.945
ˈuː	ˈuː	0.903
v	v	0.83
ˈɑʊ̯	ˈoːu̯	0.8
k	k	0.761
ˈiː	ˈi	0.721
m	m	0.715
ɡ	ɣ	0.702
ˈʊ	ˈʊ	0.68
ˈoː	ˈoː	0.667
n	n	0.638
ˈœ	ˈuː	0.622
ˈɪ	ˈɪ	0.605
ˈɒː	-	0.605
ˈøːø̯	ˈoː	0.593
ɣ̊	x	0.59
ɐ	r	0.573
ˈɑːɑ̯	ˈɔː	0.533
v̥	ˈoː_f	0.512
ˈæɪ̯	ˈeː	0.478
ˈʏ	-	0.472
ˈɑːɑ̯	-	0.467
ˈɛ	-	0.455
ˈøːø̯	ˈuː	0.407
ˈœ	-	0.378
ˈɑː	-	0.333
ˈøː	ˈoː	0.33
ˈeː	ˈi	0.304
ˈeː	-	0.304
ˈɔ	ˈɔ	0.3
ˈɔ	ˈoːu̯	0.3
ˈʏ	ˈʊ	0.292
ɐ	ə_r	0.291
ɣ̊	ɣ_ə	0.29
ˈɛ	ˈɛ	0.283
ˈiː	ˈiː	0.279
ˈɑ	ˈɔ	0.267
ˈɛ	ˈa	0.262
n	ə	0.262
v̥	v	0.247
v̥	-	0.24
ˈʏ	ˈyː	0.236
ˈɪ	ˈiː	0.231
ˈɑː	ˈɛː	0.222
ˈɑː	ˈiː	0.222
ˈɑː	ˈaː	0.222
ˈeː	ˈeː	0.202
ˈɑ	ˈɔː	0.201
ˈøː	ˈuː	0.201
ˈøː	ˈeː	0.201
ˈɔ	ˈɔː	0.2
ˈɔ	-	0.2
ˈɑʊ̯	ˈɛɪ̯	0.2
ˈɒː	ˈɔː	0.198
ˈɒː	ˈɛɪ̯	0.197
k	k_ə	0.179
ˈæɪ̯	j_ˈoː	0.178
ˈæɪ̯	j	0.174
ˈoː	-	0.171
ˈoː	ˈoːu̯_d	0.162
ɡ	-	0.162
ˈʊ	ˈuː	0.16
ˈʊ	-	0.16
m	m_ə	0.145
ˈøː	ˈɔː	0.143
ˈɑ	ˈa	0.138
ɡ	j	0.136
ɐ	ə	0.136
ˈɑ	ˈɛ	0.131
ˈɑ	ˈaː	0.131
ˈɑ	-	0.131
ˈøː	ˈœː	0.126
ɣ̊	ɪ_x	0.121
ˈuː	ˈøː	0.097
ˈeː	ˈiːu̯	0.095
ˈeː	ˈeːu̯	0.095
v	-	0.088
ˈɪ	j_ˈʊ	0.086
ˈæɪ̯	ˈɛɪ̯	0.084
ˈæɪ̯	-	0.084
v	v_ˈiː	0.082
ˈɪ	ˈi	0.078
m	m_ˈɔː	0.077
m	ə_n	0.063
k	s	0.059
s	k	0.055
