Saterland Frisian	Swedish	probability
ˈɔːɪ̯	ˈɛ_ɡː	1.0
ˈœː	ˈɵ	1.0
ˈøː	ˈʉː	1.0
ˈyː	-	1.0
ˈuː_r	ˈuː_r	1.0
ˈu	-	1.0
ˈoːu̯_n	ˈa_n	1.0
ˈiːu̯	ˈeː	1.0
ˈeːu̯	ˈeː	1.0
ˈaːi̯	ˈɑː_ɡ	1.0
ˈaː	ˈɛ	1.0
ˈa	ˈa	1.0
ɪ	-	1.0
ɣ_j	jː	1.0
ŋ_k	kː	1.0
ŋ	ŋː	1.0
z	s	1.0
x_t	k_t	1.0
w	v	1.0
t_j	ɕ	1.0
s_v	s	1.0
s_k	ɧ	1.0
j_ˈuː	ˈyː	1.0
j_ə	a	1.0
i	ɔ	1.0
f	f	1.0
d_ˈuː	d_ˈʉː	1.0
d_ə	ɳ	1.0
b	b	1.0
r	r	0.961
v	v	0.909
ˈɪ	ˈɪ	0.884
h	h	0.881
l	l	0.869
k	k	0.863
s	s	0.818
d	d	0.792
n	n	0.76
m	m	0.71
ˈi	ˈiː	0.674
j	-	0.664
t	t	0.645
ˈɛː	-	0.633
ˈɔ	-	0.549
x	ɡː	0.542
ɣ	ɡ	0.523
p	p	0.514
ˈɛ	ˈɛ	0.5
ˈɛ	-	0.5
j_ˈoː	ˈʉː	0.5
j_ˈoː	ˈyː	0.5
ə	a	0.493
x	ŋ	0.458
ˈɔ	ˈa	0.451
ˈʊ	ˈɵ	0.449
ˈuː	ˈʉː	0.41
ˈɛː	ˈʏ	0.367
ˈoːu̯	ˈuː	0.365
p	pː	0.353
ˈeː	-	0.347
j	j	0.336
ˈoː	ˈʉː	0.327
ˈeː	ˈeː	0.319
ə	ɛ	0.315
ˈʊ	ˈʊ	0.307
ˈɛɪ̯	ˈøː	0.3
t	tː	0.29
m	mː	0.29
ˈoː	ˈøː	0.28
ˈɛɪ̯	-	0.277
ˈɔː	-	0.275
ˈɔː	ˈɑː	0.271
ˈʊ	-	0.244
ɣ	j	0.244
ˈiː	ˈɪ	0.241
ɣ	-	0.233
ˈoːu̯	ˈoː	0.231
ˈuː	ˈɔ	0.227
ˈiː	-	0.22
ˈɛɪ̯	ˈɑː	0.206
ˈiː	ˈoː	0.205
ˈi	-	0.203
ə	-	0.192
ˈoː	ˈa	0.189
ˈeː	ˈɛː	0.186
ˈiː	ˈiː	0.183
ˈɔː	ˈɛ	0.182
ˈuː	ˈɵ	0.182
ˈuː	ˈoː	0.181
s	ɧ	0.169
ˈoːu̯	-	0.167
ˈiː	ˈɛ	0.152
ˈeː	ˈɛ	0.148
ˈɔː	ˈa	0.139
k	kː	0.137
ˈoː	-	0.133
p	pʰ	0.133
ˈɔː	ˈɔ	0.132
ˈi	ˈɛː	0.123
h	j	0.119
ˈɪ	ˈɛ	0.116
ˈɛɪ̯	ˈæː	0.112
n	nː	0.112
ˈɛɪ̯	ˈoː	0.104
d	ɖ	0.101
v	-	0.091
l	lː	0.086
ˈoːu̯	ˈɔ	0.08
ˈoːu̯	ˈœ	0.08
ˈoːu̯	ˈɵ	0.078
ˈoː	ˈeː	0.071
n	ˈɵ_nː	0.065
n	-	0.063
d	-	0.058
