Latin	Latin	probability
ˈʊ_ɫ	ˈou̯_l	1.0
ˈɛ_k	ˈɛə̯	1.0
ˈɔ_n	ˈõũ̯	1.0
ˈɔ_k	ˈɔ	1.0
ˈyː	-	1.0
ˈoː_n	ˈõũ̯	1.0
ˈoe̯	ˈɛ	1.0
ˈĩː	ˈi	1.0
ˈiː_r	ˈi	1.0
ˈiː_lʲː	ˈɛ_l	1.0
ˈi	-	1.0
ˈe	ˈi	1.0
ˈaː_n	ˈʌ̃	1.0
ˈau̯	ˈɔə̯	1.0
ˈae̯	ˈi	1.0
ˈa_ɫ	ˈeə̯_l	1.0
ˈa_sː	ˈa_s	1.0
ˈa_n	ˈʌ̃	1.0
ˈa_k	ˈa	1.0
ʊ̃ː_#>	#>	1.0
ʊ̃ː	l	1.0
ʊ_s_#>	#>	1.0
ɫ_ˈa	j_ˈʌ̃	1.0
ɫ_ãː	ɐ	1.0
ɪ_n	n	1.0
ɡʷ	ɡ_v	1.0
ɡ_ɫ	ʤ	1.0
ɡ_n	ɲ	1.0
ɛ̃ː_#>	#>	1.0
ɛ̃ː	ɐ	1.0
ɛ̃	-	1.0
ɛ_#>	#>	1.0
ɛ	-	1.0
ɔ_r	ɐ_r	1.0
ŋ_n	ɲ	1.0
ŋ_k	n	1.0
uː	-	1.0
tː	t	1.0
tʰ	-	1.0
t_ʊ̃ː_#>	t_#>	1.0
t_i	θ	1.0
t_e	θ	1.0
t_ãː	d_ɐ	1.0
sː	s	1.0
rː	r	1.0
r_ɛ_#>	#>	1.0
r_k	r_k	1.0
p_ɛ	v	1.0
o	-	1.0
nː	-	1.0
n_i	ɲ	1.0
n_e	ɲ	1.0
mː	m_b	1.0
lʲː	l	1.0
lʲ_i	j	1.0
lʲ	l	1.0
kː	k	1.0
k_ʊ̃ː_#>	k_#>	1.0
k_ʊ̃ː	ɡ	1.0
k_ʊ	ʧ	1.0
k_ɫ	ʧ	1.0
k_i	θ	1.0
k_a	k_ɐ	1.0
iː_#>	#>	1.0
iː	i	1.0
h	-	1.0
f	f	1.0
eː	e	1.0
e	i	1.0
ãː_#>	#>	1.0
ãː	ɐ	1.0
aː	ɐ	1.0
ae̯	-	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈeə̯	1.0
<#_ɫ	<#_l	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_j	<#_ð	1.0
<#_d	<#_d	1.0
<#	<#_θ	1.0
#>	n_#>	1.0
m	m	0.943
r	r	0.882
s	s	0.87
w	v	0.828
n	n	0.825
p	p	0.795
b	b	0.786
i	-	0.778
ɪ	-	0.765
t	t	0.757
ˈaː	ˈeə̯	0.72
kʷ	k_v	0.714
ʊ	u	0.667
d	d	0.667
ɫ	l	0.654
ɔ	u	0.625
a	ɐ	0.615
ɛ_r	ɐ_r	0.6
ŋ	ŋ	0.6
s_#>	#>	0.6
ˈɪ	ˈɛ	0.579
ˈoː	ˈou̯	0.571
oː	-	0.571
k_ɛ̃ː	z	0.556
ˈʊ	ˈo	0.5
ˈa_r	ˈeə̯_r	0.5
ˈa_r	ˈeə̯	0.5
ʊ_ɫ	ʧ	0.5
ʊ_ɫ	j	0.5
ˈiː	ˈi	0.45
oː	u	0.429
ˈɛ	ˈɛə̯	0.421
ˈɔ	ˈɔə̯	0.407
ɛ_r	r	0.4
ŋ	n	0.4
s_#>	ˈeː_t_ɐ_r_#>	0.4
ˈa	ˈʌ̃	0.379
ˈuː	ˈo	0.375
ɡ	ð	0.375
ɔ	-	0.375
ˈɪ	-	0.368
ˈeː	ˈɛ	0.357
ˈeː	-	0.357
ˈʊ	ˈou̯	0.333
ʊ	-	0.333
d	-	0.333
ˈuː	ˈu	0.312
ˈeː	ˈeː	0.286
kʷ	-	0.286
k	ɡ	0.276
ˈiː	ˈẽ	0.25
ɡ	-	0.25
ˈa	ˈa	0.241
ɫ	j	0.231
a	a	0.231
ˈɔ	ˈo	0.222
k_ɛ̃ː	θ	0.222
k_ɛ̃ː	z_ɐ	0.222
i	j	0.222
ˈɛ	ˈɛ	0.211
ˈa	ˈeə̯	0.207
k	θ	0.207
k	-	0.207
ˈiː	ˈɛ	0.2
ˈaː	ˈʌ̃	0.2
ˈuː	-	0.188
ɡ	ʤ	0.188
ɡ	ɡ	0.188
ˈɔ	ˈɔ	0.185
w	-	0.172
k	k	0.172
ˈʊ	-	0.167
a	-	0.154
ˈoː	ˈo	0.143
ˈoː	u_j	0.143
ˈoː	-	0.143
b	v	0.143
t	d	0.135
ˈɛ	ˈeː	0.132
s	z	0.13
ˈuː	ˈou̯	0.125
ɪ	ɐ	0.118
ɪ	i	0.118
ɫ	-	0.115
p	v	0.114
ˈɔ	ˈu	0.111
t	-	0.108
ˈɛ	ˈi	0.105
ˈɛ	ˈẽ	0.105
ˈiː	j	0.1
p	-	0.091
ˈaː	-	0.08
n	j̃	0.075
ˈɔ	ˈou̯	0.074
b	-	0.071
ˈa	ɐ	0.069
ˈa	-	0.069
k	θ_ˈi	0.069
k	ˈɔ	0.069
m	-	0.057
ˈɪ	ˈe	0.053
