Neapolitan	Neapolitan	probability
ˈa_p	ˈa_β	1.0
ʧ	ˈe_θ	1.0
ʦː_ə	o	1.0
ʦ	-	1.0
ʤː	-	1.0
ʎː	ʎ	1.0
ʃ_ə_#>	θ_#>	1.0
ɾ_ə	ɾ_o	1.0
ə_n	e_n	1.0
ə_l	e_l	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z	s	1.0
w_ˈa	w_ˈa	1.0
v_ˈu	b_ˈo	1.0
v_ə	ˈe_w	1.0
t_ɾ	j	1.0
sː	-	1.0
s_u	z	1.0
s	s	1.0
rː	-	1.0
o	o	1.0
nː	ɲ	1.0
n_t	ˈe_n	1.0
n	n	1.0
m_ə	m_a	1.0
m	m	1.0
l	l	1.0
kː_ə	k_a	1.0
kː	ʎ	1.0
k_ɾ	k_ɾ	1.0
k_j	p_l	1.0
j_ˈɛ	ˈe	1.0
j_ə	o	1.0
i_#>	#>	1.0
fː	f	1.0
f	f	1.0
dː	-	1.0
b	b	1.0
a_j	a_ð	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈi	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_w	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
#>	ɾ_#>	1.0
p	p	0.909
a	a	0.867
k	k	0.854
ˈa	ˈa	0.846
d	d	0.833
ˈe	ˈe	0.824
w	w	0.8
u	o	0.778
ɾ	ɾ	0.773
ɲː	ɲ	0.75
e	e	0.714
ɡ	ɡ	0.7
lː	ʎ	0.7
ˈi	ˈi	0.667
v	b	0.667
mː	m_b	0.667
ʃ	θ	0.636
ˈu	ˈu	0.618
ˈɔ	ˈe	0.613
ˈɛ	ˈe	0.607
ˈo	ˈo	0.6
ʤ	ʧ	0.571
ʃː	ʃ	0.571
t	t	0.545
tː	t	0.538
r	ɾ	0.533
j	j	0.5
i	e	0.5
ʤ	-	0.429
ʃː	-	0.429
ə	o	0.42
t	ð	0.394
ə	a	0.378
v	β	0.333
r	r	0.333
mː	m	0.333
ˈu	ˈo	0.324
ɡ	ɣ	0.3
lː	l	0.3
ˈɛ	j_ˈe	0.286
e	-	0.286
ˈi	ˈe	0.278
ʃ	e_s	0.273
ɲː	-	0.25
i	ˈi	0.25
i	i	0.25
tː	j_t	0.231
tː	-	0.231
u	u	0.222
ˈo	w	0.2
ˈo	-	0.2
w	-	0.2
ˈɔ	w_ˈe	0.194
ˈe	-	0.176
d	-	0.167
j	l	0.15
j	-	0.15
k	ɣ	0.146
r	a_ɾ	0.133
a	a_θ	0.133
ˈɔ	ˈo	0.129
ɾ	-	0.114
ˈɛ	j	0.107
j	ˈe	0.1
j	ˈa	0.1
ˈa	a	0.096
ʃ	f_l	0.091
p	β	0.091
ə	e	0.077
ɾ	l	0.068
ˈɔ	w	0.065
t	ʝ	0.061
ˈu	u_s	0.059
ˈa	ˈe	0.058
ˈi	-	0.056
