Eastern Lombard	Piedmontese	probability
ˈɛ_t	ˈɛ_t	1.0
ˈu	ˈu	1.0
ˈo_n	ˈu_ŋ	1.0
ˈa_t	ˈa_t	1.0
ˈa_s	ˈa_z	1.0
ʤ	ʤ	1.0
ʋ	v	1.0
ɲ	ɲ	1.0
ŋ	ŋ	1.0
ø	ˈø	1.0
y	y	1.0
w	w	1.0
u	u	1.0
t_a	t_a	1.0
r_s	r_s	1.0
p	p	1.0
n_i	n	1.0
m	m	1.0
l_s	w_s	1.0
l	l	1.0
k	k	1.0
j_ˈø	ˈi_j	1.0
j	j	1.0
b	b	1.0
a_r	a_r	1.0
a	a	1.0
s	s	0.977
ˈa	ˈa	0.935
f	f	0.935
r	r	0.929
t	t	0.89
ˈy	ˈy	0.838
ˈɔ	ˈɔ	0.816
ɡ	-	0.682
o	u	0.663
ˈɛ	ˈɛ	0.652
ˈø	ˈy	0.635
ˈø_ʧ	j	0.615
ˈo	ˈɔ	0.577
d	d	0.568
ˈi	ˈi	0.546
i	i	0.526
n	n	0.501
n	ŋ	0.499
z	z	0.48
i	-	0.474
z	ʤ	0.456
e	e	0.441
ˈø_ʧ	ˈø_j	0.385
ʧ	-	0.376
ˈø	ˈø	0.365
o	-	0.337
ʧ	ʧ	0.336
ˈo	ˈu	0.335
ɡ	ɡ	0.318
ˈe	ˈɛ	0.307
d	-	0.304
ˈe	ˈe	0.299
ʧ	j_t	0.288
e	-	0.253
ˈe	ˈi	0.216
ˈɔ	ˈø	0.184
ˈy	ˈy_ŋ	0.162
ˈi	ˈe	0.151
e	ə	0.134
ˈɛ	ˈe	0.13
ˈi	ˈi_ŋ	0.113
t	d	0.11
ˈe	ˈɛ_j	0.101
d	r	0.096
e	j	0.089
ˈo	-	0.087
e	i	0.083
ˈi	v	0.082
ˈe	ˈɛ_ŋ	0.076
ˈɛ	-	0.072
r	-	0.071
ˈa	ˈa_ŋ	0.065
f	v	0.065
z	-	0.064
ˈɛ	ˈə	0.056
ˈi	ˈi_v	0.056
ˈɛ	ˈi	0.055
ˈi	e	0.053
