Provençal	Provençal	probability
ˈɛ_s	ˈɛ_ʃ	1.0
ˈɔ	-	1.0
ˈỹ_ŋ	ˈũ	1.0
ˈỹ	ˈu	1.0
ˈy	ˈu	1.0
ˈĩ_ŋ	ˈĩ	1.0
ˈĩ	ˈi	1.0
ˈe_ʧ	j_t	1.0
ˈe_s	s_u	1.0
ˈa_ɲ	ˈɐ_ɲ	1.0
ˈa_w	ˈo_w	1.0
ˈa_n_ɔ_#>	ˈɐ̃_#>	1.0
ɾ_ɔ	ɾ_ɐ	1.0
ɾ_e	ɾ_ɨ	1.0
ɲ	ɲ	1.0
ɥ_ˈe	ˈo	1.0
ɔ_#>	#>	1.0
ɔ	ɐ	1.0
ŋ_t	t	1.0
ŋ_k	ɡ	1.0
ŋ_#>	#>	1.0
y	u	1.0
w_ˈẽ	ˈõ	1.0
w_#>	#>	1.0
v_ˈu	v_ˈɔ	1.0
v	v	1.0
ũ	õ	1.0
s_t	ʃ_t	1.0
s_p	ʃ_p	1.0
s_k	ʃ_k	1.0
s_e	s_ɨ	1.0
s_#>	ʃ_#>	1.0
p_l	ʃ	1.0
p	p	1.0
n_ˈa	n_ɐ	1.0
mː	m	1.0
k_l	ʃ	1.0
j_ɔ	ʎ_ɐ	1.0
i	-	1.0
f_l	ʃ	1.0
f	f	1.0
ẽ_ŋ	ẽ	1.0
ẽ	ũ	1.0
e_#>	#>	1.0
d_ɔ	ð_ɐ	1.0
b_ɔ	v_ɐ	1.0
ã	ɐ̃	1.0
a_d	ɐ_ð	1.0
a	ɐ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_ʁ	1.0
<#_u	<#_ɔ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_l	<#_l	1.0
<#_e	<#_i	1.0
<#_d	<#_d	1.0
m	m	0.938
ˈa	ˈa	0.929
k	k	0.911
ʤ	ʒ	0.857
t	t	0.846
ˈi	ˈi	0.8
ˈẽ	ˈẽ	0.8
ˈã	ˈɐ̃	0.778
ɥ	ˈo	0.75
ʀ	ɾ	0.682
ˈɛ	ˈɛ	0.667
<#_a	<#_ɐ	0.667
ˈu	ˈo	0.652
ɾ	ɾ	0.647
u	u	0.643
d	ð	0.625
w_ˈe	ˈɔ	0.619
n	n	0.6
j_ˈe	ˈe	0.6
b	b	0.583
s	s	0.533
ˈe	ˈe	0.5
z	z	0.5
z	-	0.5
ɡ	ɡ	0.471
l	l	0.444
l	-	0.444
ɡ	ɣ	0.412
#>	u_#>	0.41
ˈũ	-	0.4
j_ˈe	ˈi	0.4
w_ˈe	ˈo	0.381
d	-	0.375
ŋ	w̃	0.367
b	β	0.333
<#_a	<#	0.333
j	-	0.303
ˈũ	ˈɐ̃	0.3
ˈũ	ˈõ	0.3
#>	ɾ_#>	0.289
u	-	0.286
e	u	0.281
ɥ	-	0.25
e	ɨ	0.25
w	ɫ	0.237
ˈẽ	ˈĩ	0.2
ŋ	t_u	0.2
s	ʃ	0.2
n	ɲ	0.2
n	-	0.2
ˈɛ	ˈɐ	0.185
j	j	0.182
#>	ɨ_#>	0.181
ˈu	ˈɔ	0.174
ˈu	ˈu	0.174
w	u	0.158
w	l_u	0.158
e	-	0.156
t	-	0.154
j	ˈɐ	0.152
j	ʎ	0.152
ˈɛ	-	0.148
ɾ	ˈe	0.147
ɾ	-	0.147
ˈe	ˈɐ_j	0.143
ˈe	j	0.143
ʤ	-	0.143
ʀ	ɾ_t	0.136
ŋ	t_ɨ	0.133
ŋ	-	0.133
s	s_ɨ	0.133
s	s_u	0.133
e	ɾ	0.125
ˈi	ɾ	0.12
ɡ	ɣ_w	0.118
ˈã	ˈɐ	0.111
ˈã	-	0.111
l	ɾ	0.111
ˈe	ɾ	0.107
ˈe	-	0.107
w	v_u	0.105
ŋ	u	0.1
ʀ	ʁ	0.091
ʀ	-	0.091
j	ʃ	0.091
k	ɣ_u	0.089
b	v	0.083
ˈi	-	0.08
w	ˈo	0.079
w	w	0.079
w	v_ɨ	0.079
#>	ʃ_#>	0.072
ˈa	ˈɐ	0.071
u	o	0.071
ŋ	ɲ_u	0.067
m	-	0.062
e	ˈe_ɾ	0.062
e	ˈe	0.062
e	ɐ̃_j̃	0.062
j	ˈe	0.061
j	u	0.061
ɾ	ɐ	0.059
w	ˈɔ	0.053
w	v	0.053
