Northern Low Saxon	Northern Low Saxon	probability
ˈɛː	d_ˈiː	1.0
ˈɛɪ̯	ˈɛː	1.0
ˈɛ_l	ˈɛ_d	1.0
ˈɔː	ˈaː_ɾ	1.0
ˈɔʏ̯_d	ˈiː_s	1.0
ˈœː	ˈɛ	1.0
ˈø	-	1.0
ˈyː	ˈaɪ̯	1.0
ˈaʊ̯_ɐ	ˈa	1.0
ˈa_d	ˈɔː_d̥	1.0
ʒ	j	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɡ_n	k_ə	1.0
ɐ_n	ɾ_ə	1.0
ɐ	ɑ	1.0
z̥	s	1.0
z_ˈøː	s	1.0
z	s	1.0
v̥	b̥	1.0
tʰ	ʦ	1.0
p	-	1.0
n_n	n_ə	1.0
n_#>	#>	1.0
l_d	l_d̥	1.0
l	l	1.0
kʰ	k	1.0
k	k	1.0
i	ɪ	1.0
h	h	1.0
d_n	s_ə	1.0
b_m	f_ə	1.0
aɪ̯_n	eː	1.0
<#	<#_ˈɛ	1.0
#>	d̥_#>	1.0
v	ʋ	0.933
r	ɾ	0.857
ˈiː	ˈaɪ̯	0.846
f	f	0.844
ˈa	ˈa	0.818
ˈɪ	ˈɪ	0.769
ˈʏ	ˈɪ	0.75
b	b	0.741
ˈuː	ˈaʊ̯	0.733
ŋ	ŋ	0.733
m	m	0.71
n	n	0.672
ˈʊ	ˈʊ	0.667
x	x	0.625
ˈøː	-	0.6
ˈɛ	-	0.571
ˈœ	ˈɛ	0.5
ˈœ	-	0.5
ˈeɪ̯	ˈeː	0.5
ˈeɪ̯	-	0.5
t	t	0.5
d	d	0.5
ˈaɪ̯	ˈiː	0.458
ˈaɪ̯	ˈeː	0.458
ˈɔ	ˈɔ	0.444
ˈeː	-	0.444
ˈɛ	ˈɛ	0.429
ˈøː	ˈɪ	0.4
ɡ	ɡ	0.4
x	ɡ̊	0.375
ˈʊ	ˈɔ	0.333
ˈɔʏ̯	ˈeː	0.333
ˈɔ	ˈʊ	0.333
ˈeː	ˈɛ	0.333
ˈaː	ˈɛː_ɾ	0.333
ˈaː	ˈaː	0.333
ˈaː	ˈa_l	0.333
ç	ç	0.333
t	-	0.3
s	ʃ_t	0.3
s	ʃ	0.3
ˈaʊ̯	ˈuː	0.296
d	d̥	0.289
ˈoː	ˈɔː	0.28
ˈoː	ˈoː	0.28
ŋ	ə	0.267
n	ə	0.262
ˈaʊ̯	ˈoː	0.259
ˈʏ	ˈʊ	0.25
ç	ɡ̊	0.25
ç	k	0.25
ɡ	ç	0.233
ˈɔʏ̯	ˈuː	0.222
ˈɔʏ̯	ˈiː	0.222
ˈɔʏ̯	-	0.222
ˈɔ	-	0.222
ˈeː	ˈeː	0.222
ˈoː	ˈa	0.2
t	ʦ	0.2
s	s	0.2
s	k_s	0.2
b	f	0.185
ɡ	x	0.167
ç	ç_t	0.167
m	m_ə	0.161
f	b̥	0.156
ˈɪ	ˈaɪ̯	0.154
ˈiː	ˈeː_ɑ	0.154
ˈaʊ̯	ˈɔː	0.148
d	s	0.145
ˈuː	ˈuː	0.133
ˈuː	-	0.133
ɡ	k	0.133
m	ʋ_ə	0.129
ˈaʊ̯	ˈa	0.111
ˈaʊ̯	-	0.111
ˈa	ˈaː	0.091
ˈa	-	0.091
ˈaɪ̯	-	0.083
ˈoː	ˈɛː	0.08
ˈoː	ˈɔ	0.08
ˈoː	-	0.08
ˈɪ	ˈa	0.077
ˈaʊ̯	ˈʊ	0.074
b	p	0.074
r	ɾ_ˈɔː	0.071
r	ɾ_ˈaɪ̯	0.071
ɡ	ɣ	0.067
v	-	0.067
