Campidanese	Campidanese	probability
β	β	1.0
ˈɛ_i	ˈɛ_i	1.0
ˈɛ	ˈɛ	1.0
ˈɔ_i	ˈɔ_i	1.0
ˈɔ	ˈɔ	1.0
ˈu	ˈu	1.0
ˈo	ˈo	1.0
ˈi	ˈi	1.0
ˈe	ˈe	1.0
ˈa_ɾ	ˈa_ɾ	1.0
ˈa_m	ˈa_m	1.0
ˈa	ˈa	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʤ	ʤ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɾ_ˈɔ	ɾ_ˈɔ	1.0
ɾ_ˈi	ɾ_ˈi	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_u	ɾ_u	1.0
ɾ_a	ɾ_a	1.0
ɾ	ɾ	1.0
ɲ	ɲ	1.0
ɭː	ɭː	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ɛ	ɛ	1.0
ɖː	ɖː	1.0
ɔ̆	ɔ̆	1.0
ɔ	ɔ	1.0
ŋ	ŋ	1.0
ð	ð	1.0
z	z	1.0
w	w	1.0
ŭ	ŭ	1.0
u	u	1.0
t_a	t_a	1.0
t	t	1.0
s	s	1.0
r	r	1.0
p_u	p_u	1.0
p	p	1.0
o	o	1.0
nː	nː	1.0
n_ˈi	n_ˈi	1.0
n_u	n_u	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k_u	k_u	1.0
k	k	1.0
j	j	1.0
ĭ	ĭ	1.0
i_ɾ	i_ɾ	1.0
i_n	i_n	1.0
i	i	1.0
f	f	1.0
e	e	1.0
d	d	1.0
b	b	1.0
ă	ă	1.0
a_s	a_s	1.0
a_n	a_n	1.0
a	a	1.0
