Upper Sorbian	Belarusian	probability
b	b	1.0
bʲ	bʲ	1.0
e	ˈe	1.0
kʲ	kʲ	1.0
m	m	1.0
mʲ	mʲ	1.0
n	n	1.0
p	p	1.0
pʲ	pʲ	1.0
x	x	1.0
xʲ	xʲ	1.0
ɥ	vʲ	1.0
ɲ	nʲ	1.0
ʀ	r	1.0
ʀʲ	r	1.0
ʒ	ʐ	1.0
ʤ	ʣʲ	1.0
ˈɪ	ˈɨ	1.0
β	v	1.0
i	ˈi	0.11
l	ʌ_ɫ	0.071
ˈi	ˈi	0.531
ˈu	ˈu	0.881
ɦ	-	0.202
ɪ	ˈɨ	0.062
ˈo	ˈo	0.912
a	ˈa	0.643
k	k	0.893
s	s	0.563
z	z	0.473
ɛ	e	0.223
ˈɛ	ˈe	0.533
j	j	0.164
t	ʦʲ	0.074
w	ɫ	0.764
ʃ	-	0.494
ʦ	ʧ	0.104
ʧ	ʧ	0.074
ʧ	ʦʲ	0.884
ˈa	a	0.144
ˈa	ˈa	0.34
d	ʣʲ	0.145
d	d	0.855
ˈa	æ	0.35
ˈɔ	a	0.335
j	-	0.836
t	t	0.926
ʃ	ʂ	0.506
ʦ	ʦ	0.896
ˈe	ˈo	0.166
ˈe	ˈe	0.756
ˈɛ	æ	0.296
a	a	0.357
k	k_a	0.107
s	sʲ	0.437
w	w	0.187
z	zʲ	0.527
ɛ	a	0.777
ɦ	ɣ	0.7
ˈa	ˈæ	0.167
ˈɔ	ˈo	0.527
ɦ	ɣ_ˈo	0.098
ɪ	ɨ	0.938
ˈe	æ	0.078
ˈo	a	0.088
ˈɔ	ˈɵ	0.138
i	i	0.89
l	lʲ	0.929
ɔ	ˈo	0.079
ɔ	a	0.879
ˈi	ɨ	0.179
ˈi	ˈɨ	0.29
ˈu	u	0.119
ˈɛ	ˈo	0.099
