Ripuarian	East Low German	probability
ˈɛː_ɐ	ˈaː	1.0
ˈøː	ˈɔʏ̯	1.0
ˈu	ˈɔ	1.0
ˈeɪ̯	ˈae̯	1.0
ˈaʊ̯	ˈuː	1.0
ʃ	ʃ	1.0
ɣ	ɡ	1.0
ɐ_#>	#>	1.0
ɐ	æ	1.0
ŋ_ɡ̊	n	1.0
ŋ_#>	#>	1.0
z	z	1.0
v̥	f	1.0
v_ə	m	1.0
v	v	1.0
t	t	1.0
s_ə	t_n	1.0
p	p	1.0
m_ə	m	1.0
m	m	1.0
l_t	l_d	1.0
l	l	1.0
k_ə	k_n	1.0
j_ə	ŋ	1.0
h	h	1.0
f_#>	p_#>	1.0
f	f	1.0
b	b	1.0
ʀ	r	0.933
n	n	0.886
ˈe	ˈɪ	0.857
ʋ	v	0.852
d	d	0.816
ˈɪ	ˈɪ	0.8
ˈeː	ˈae̯	0.8
#>	t_#>	0.8
ˈœ	ˈʏ	0.778
ˈo	ˈʊ	0.778
ˈiː	ˈiː	0.75
ˈa	ˈa	0.727
ˈaː	ˈa	0.7
x	x	0.7
k	kʰ	0.684
ˈɛː	ˈɛ	0.667
ə	n	0.667
ˈuː	ˈuː	0.643
j	ɡ	0.615
ɕ	ç	0.611
ˈyː	ˈyː	0.6
ɡ̊	d	0.6
s	s	0.583
ʦ	tʰ	0.562
ŋ	n	0.55
ˈoː	ˈaʊ̯	0.538
d̥	t	0.529
ŋ_ə	ŋ	0.5
ŋ_ə	n	0.5
d̥	d	0.471
ŋ	ŋ	0.45
ʦ	t	0.438
ˈɛ	ˈɛ	0.417
s	t	0.417
ˈyː	ˈɔʏ̯	0.4
ɕ	k	0.389
j	j	0.385
ˈɔ	ˈʊ	0.357
ˈɔ	ˈɔ	0.357
ˈuː	ˈaʊ̯	0.357
ˈɛː	ˈɛː	0.333
ˈaː	ˈɒː	0.3
x	k	0.3
ˈoː	ˈɒː	0.269
ˈɛ	ˈɛː	0.25
ˈiː	ˈeː	0.25
ˈœ	-	0.222
ˈo	ˈɔ	0.222
ˈɪ	ˈiː	0.2
ɡ̊	t	0.2
ɡ̊	k	0.2
#>	ç_#>	0.2
d	ɾ	0.184
ˈɛ	ˈɪ	0.167
ˈɛ	-	0.167
ə	-	0.167
k	ç	0.158
k	k	0.158
ʋ	w	0.148
ˈɔ	ˈɒː	0.143
ˈɔ	ˈuː	0.143
ˈe	ˈae̯	0.143
ˈoː	ˈuː	0.115
ˈeː	ˈɪ	0.1
ˈeː	ˈaɪ̯	0.1
ˈa	ˈɪ	0.091
ˈa	ˈɔ	0.091
ˈa	ˈaʊ̯	0.091
ə	ɪ	0.083
ə	m	0.083
ˈoː	ˈoː	0.077
n	æ_n	0.068
ʀ	æ	0.067
