Insular North Frisian	Insular North Frisian	probability
ˈʊ_n	ɑi̯	1.0
ˈɛː	ˈe	1.0
ˈɔa̯_l	ˈɑ_l	1.0
ˈiː_#>	ɣ_j_ɑ_n_ɑ̃_#>	1.0
ˈeː_d	ˈɑ_t	1.0
ˈaː	-	1.0
ʃ	s	1.0
ə_n	u_n	1.0
ə_m	m	1.0
ɐ_n	r_n	1.0
ç_t	x_t	1.0
z	-	1.0
tʲ	θ	1.0
tʰ	θ	1.0
t_#>	#>	1.0
s_l	s_l	1.0
r_ˈɛ	r_ˈu	1.0
r	r	1.0
p	p	1.0
nʲ	n_d	1.0
lʲ	θ_i	1.0
e	-	1.0
b	b	1.0
aɪ̯	e	1.0
<#_ˈɔː	<#_ˈɑ	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_pʰ	<#_p	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
s	s	0.933
m	m	0.913
h	x	0.9
k	k	0.885
ˈa	ˈɑ	0.875
ɡ	ɣ	0.846
l	l	0.833
f	ɸ	0.771
ˈɔː	ˈɑ	0.75
ˈɔa̯	ˈɑu̯	0.75
t	t	0.727
v	w	0.714
ɾ	ð	0.625
ç	ɣ	0.615
ˈøː	-	0.6
ˈyː	-	0.6
ˈaʊ̯	-	0.6
ɪ	ɑ	0.6
ˈɪ	ˈi	0.593
d	d	0.591
ɐ	r	0.571
ˈoː	ˈɑu̯	0.556
ˈɔ	ˈu	0.5
ˈœ	ˈu	0.5
ˈuː	ˈu	0.5
n	n	0.486
#>	ɑ_z_#>	0.463
<#	<#_x	0.462
x	x	0.444
ŋ	ŋ_ɡ	0.429
ˈʏ	ˈuː	0.417
ˈøː	ˈɔː	0.4
ˈyː	ˈuː	0.4
ˈaʊ̯	β	0.4
ˈaɪ̯	ˈɑ_ɣ	0.4
ˈaɪ̯	-	0.4
ɪ	ɣ	0.4
j	ˈɑi̯	0.4
j	-	0.4
ˈʏ	ˈu	0.333
d	θ	0.318
ˈœ	-	0.312
ə	i	0.308
<#	<#_w	0.308
ˈuː	ˈɑ	0.3
ŋ	ŋ	0.286
x	-	0.278
ˈeː	ˈɑi̯	0.267
ˈeː	-	0.267
ˈɔː	-	0.25
ˈɔa̯	-	0.25
ˈɔ	ˈɔː	0.25
ˈɔ	ˈe	0.25
ɾ	θ	0.25
ˈʊ	-	0.235
ˈɛ	-	0.233
ə	ɑ	0.231
ç	z	0.231
<#	<#_ˈɑ	0.231
ˈɪ	ˈiː	0.222
ˈoː	ˈɔː	0.222
ˈoː	-	0.222
ŋ	ɡ	0.214
ˈiː	ˈɑi̯	0.211
ˈiː	ˈe	0.211
ˈɛ	ˈu	0.2
ˈɛ	ˈe	0.2
ˈuː	ˈɛː	0.2
ˈeː	ˈɑ	0.2
ˈaɪ̯	jː	0.2
j	ˈeː	0.2
#>	z_#>	0.195
ˈœ	ˈɔː	0.188
ˈɪ	-	0.185
ɐ	ɛː	0.179
ˈʊ	ˈɔː	0.176
ˈʊ	ˈɑ	0.176
ˈʊ	ˈu_ŋ	0.176
ˈʊ	ˈu	0.176
f	β	0.171
ˈʏ	-	0.167
ˈɛ	ˈi	0.167
x	r	0.167
n	nː	0.162
n	n_d	0.162
ˈiː	ˈiː	0.158
ˈiː	ˈeu̯	0.158
ˈiː	j	0.158
ɡ	-	0.154
ə	β_ɑ	0.154
ə	ɑ̃	0.154
ə	u	0.154
ç	n	0.154
#>	ɑ_n_ɑ̃_#>	0.148
v	xʷ	0.143
ˈeː	ˈi	0.133
ˈeː	ˈeu̯	0.133
ˈa	ˈe	0.125
ɾ	n_θ	0.125
k	k_i	0.115
t	t_s	0.114
x	ɣ	0.111
ɐ	r_ɑ̃	0.107
ˈiː	ˈɛː	0.105
ˈɛ	ˈɔː	0.1
h	x_ˈɑu̯	0.1
t	ð_ɑ̃	0.091
d	t	0.091
m	m_b	0.087
ˈʏ	ˈiː	0.083
l	lː	0.083
l	l_ˈeu̯	0.083
n	n_i	0.081
ɐ	r_ɔː	0.071
ɐ	i	0.071
ŋ	ɡʷ	0.071
v	β	0.071
v	w_ˈi	0.071
t	tː	0.068
ˈɛ	ˈeu̯	0.067
ˈʊ	mː	0.059
f	z	0.057
n	u_n	0.054
n	d	0.054
