Italian	Italian	probability
ˈɛ_rː	ˈɛ_r	1.0
ˈɛ_n	ˈe_ŋ	1.0
ˈu_ŋ	ˈo_ŋ	1.0
ˈa_kː	ˈa_k	1.0
ˈa	ˈa	1.0
ʧː	θ	1.0
ʦ	θ	1.0
ʤː	-	1.0
ʣː	ð	1.0
ʎː	j	1.0
ʃː	s	1.0
ɲː	ɲ	1.0
ɡ_j	ʤ	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ˈɔ	ˈo	1.0
v_e	v_ˈe	1.0
u	-	1.0
tː	t	1.0
t_e_#>	t_#>	1.0
sː	s	1.0
s	s	1.0
r_ˈe	r_ˈe	1.0
r_o	r_o	1.0
p_r	v_r	1.0
o_t	o_d	1.0
o_r	o_r	1.0
nː	n	1.0
n_o_#>	ŋ_#>	1.0
mː	m	1.0
m_o	ŋ	1.0
m	m	1.0
lː	l	1.0
k_j	ʧ	1.0
j_o	o	1.0
i_k	e_ɡ	1.0
f	f	1.0
e_#>	#>	1.0
dː	t	1.0
d_r	r	1.0
b	b	1.0
a_t	a_d	1.0
a_p	a_v	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_a	<#	1.0
a	a	0.972
o_#>	#>	0.955
r	r	0.946
o	o	0.941
ˈi	ˈi	0.923
p	p	0.92
ˈo	ˈo	0.917
l	l	0.886
ˈe	ˈe	0.88
ɡ	ɡ	0.867
j	j	0.867
k	k	0.857
v	v	0.84
ˈɔ	ˈɔ	0.826
e_r	e_r	0.818
d	d	0.783
ˈɛ	ˈɛ	0.774
t	t	0.773
ˈu	ˈu	0.769
ʤ	ð	0.727
kː	ʧ	0.714
ʧ	θ	0.706
n	n	0.696
w	w	0.6
e	e	0.591
i	e	0.556
w	-	0.4
i	i	0.333
e	o	0.318
n	ŋ	0.304
ʧ	z	0.294
kː	k	0.286
ʤ	z	0.273
ˈu	-	0.231
e_r	r	0.182
ˈɔ	ˈo	0.174
ˈɛ	ˈe	0.161
v	-	0.16
k	ɡ	0.143
t	d	0.136
ɡ	-	0.133
j	-	0.133
d	-	0.13
ˈe	-	0.12
l	-	0.114
i	-	0.111
t	-	0.091
e	r	0.091
d	t	0.087
ˈo	-	0.083
p	-	0.08
ˈi	ˈe	0.077
ˈɛ	j_ˈe	0.065
o	l	0.059
r	e	0.054
