Asturian	Italian	probability
d	d	1.0
f	f	1.0
i	i	1.0
m	m	1.0
n	n	1.0
p	p	1.0
s	s	1.0
u	o	1.0
w	w	1.0
ɡ	ɡ	1.0
ʃ	ʤ	1.0
ʧ	tː	1.0
ˈa	ˈa	1.0
ˈi	ˈi	1.0
k	kː	0.101
l	-	0.201
ð	t	0.721
ɣ	k	0.131
ɾ	r_e	0.31
ɾ	r	0.521
e	-	0.062
l	lː	0.082
l	l_e	0.12
t	t	0.792
ŋ	ŋ	0.432
θ	-	0.292
θ	ʧ	0.472
ɾ	-	0.073
ʎ	lː	0.063
ʎ	j	0.203
b	b	0.274
o	o	0.84
r	e_#>	0.14
ʎ	l	0.734
ˈo	ˈɔ	0.274
ˈu	ˈo	0.084
b	v	0.705
e	o	0.075
j	-	0.205
j	j	0.795
ɲ	nː	0.125
ɲ	ɲː	0.875
β	v	0.45
o	-	0.16
r	r	0.86
ʝ	ʎː	0.216
ʝ	kː	0.216
ˈu	ˈu	0.916
β	b	0.056
β	p	0.336
θ	ʧ_e	0.236
a	-	0.067
e	i	0.067
e	e	0.707
l	l	0.597
ʝ	-	0.567
ˈe	ˈe	0.407
t	tː	0.208
ŋ	n_e	0.568
ˈe	ˈi	0.078
ˈo	ˈu	0.058
ˈo	ˈo	0.668
β	-	0.158
a	a	0.819
e	a	0.089
k	k	0.899
ð	d	0.279
ɣ	ɡ	0.869
ɾ	e_r	0.059
ˈe	ˈa	0.099
ˈe	ˈɛ	0.299
