Polish	Bulgarian	probability
ˈɨ	ˈi	1.0
ˈɔ_d	o_d	1.0
ˈi	ˈi	1.0
ʨ	t	1.0
ʦ	ʦ	1.0
ʥ_ˈɛ	d_ˈɛ	1.0
ʑ	z	1.0
ɲ_#>	n_#>	1.0
ɨ_#>	#>	1.0
ɡ	ɡ	1.0
ɛ_#>	ˈɛ_#>	1.0
ɕ	s	1.0
z	z	1.0
x	x	1.0
w̃	-	1.0
w_ˈɔ	ɫ_ˈa	1.0
w	ɫ	1.0
v	v	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r_ˈu	r_ˈa	1.0
r	r	1.0
p	p	1.0
n_ɨ	ɛ_n	1.0
n	n	1.0
m_p	p	1.0
m_j	mʲ	1.0
m	m	1.0
l_#>	ɫ_#>	1.0
j_ˈa	ˈa	1.0
j	ɛ	1.0
i_#>	#>	1.0
f	f	1.0
d	d	1.0
b	b	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
#>	ɐ_#>	1.0
k	k	0.92
ɛ	ɛ	0.818
ʐ	r	0.75
a_#>	ˈa_#>	0.722
ˈa	ˈa	0.688
ʈ͡ʂ	ʧ	0.667
ʂ	ʃ	0.667
ɲ	t	0.667
ʨ_#>	#>	0.636
ɔ_#>	o_#>	0.636
j_ˈɛ	ɛ	0.571
ˈu	ˈɔ	0.5
ɔ	ɐ	0.5
ɔ	o	0.5
v_j	vʲ	0.5
v_j	v	0.5
l	lʲ	0.455
j_ˈɛ	ˈɛ	0.429
ʨ_#>	t_#>	0.364
ɔ_#>	ˈɔ_#>	0.364
l	l	0.364
ʈ͡ʂ	t	0.333
ʂ	r	0.333
ɲ	n	0.333
j_ɛ	ˈɛ	0.333
j_ɛ	ɛ	0.333
j_ɛ	ɐ	0.333
ˈɛ	ˈɤ	0.294
ˈɛ	ˈa	0.294
a_#>	ɐ_#>	0.278
ˈu	ˈu	0.25
ˈu	u	0.25
ʐ	ʒ	0.25
ˈɔ	ˈɤ	0.231
ˈɔ	o	0.231
ˈɔ	ˈɔ	0.192
ˈa	ˈɛ	0.188
ɛ	ɐ	0.182
l	ɫ	0.182
ˈɛ	ɛ	0.176
ˈɔ	ˈɛ	0.154
ˈa	ˈɤ	0.125
ˈɛ	ˈɛ	0.118
ˈɛ	-	0.118
ˈɔ	ɛ	0.115
k	ʦ	0.08
ˈɔ	ˈa	0.077
