Mainland North Frisian	Swiss German	probability
ˈɛ_k	χː	1.0
ˈœi̯	-	1.0
ˈiː_nʲ	ˈæi̯	1.0
ˈai̯	-	1.0
ʀ_n	r_n	1.0
ʀ	r	1.0
ɣ̥	-	1.0
ɡ	ɡ̊	1.0
ɛi̯	æ	1.0
ç	ə	1.0
z̥	-	1.0
x	χ	1.0
w	ˈyː_ɡ̊	1.0
lʲ	l	1.0
l_ə	l	1.0
j_ə	ɡ̊	1.0
i	i	1.0
h	h	1.0
f	v̥	1.0
dʲ	t	1.0
d_ə	ə	1.0
b	b̥	1.0
l	l	0.975
m	m	0.857
d̥	t	0.822
n	n	0.806
v	ʋ	0.792
ə	ə	0.785
v_ə	b̥_ə	0.69
s	z̥	0.608
ˈɔ	ˈo	0.6
ˈɔu̯	-	0.586
ˈyː	-	0.582
ˈɛː	-	0.574
ŋ	ŋ	0.559
ˈɒ	ˈɒ	0.558
ˈɛi̯	-	0.55
p	f	0.548
ˈɛ	ˈi	0.531
ˈʏ	ˈuː	0.525
z	-	0.521
ˈʊ	ˈu	0.51
t	t	0.504
v̥	f	0.5
v̥	-	0.5
nʲ	ŋ	0.5
nʲ	-	0.5
ˈaː	ˈoː	0.485
z	sː	0.479
k	ɣ̊	0.478
ˈʏ	-	0.475
ˈɒː	-	0.471
ˈɛ	ˈyə̯	0.469
j	ɡ̊	0.465
ʃ	ʒ̊	0.463
j	-	0.463
ˈi	ˈiː	0.462
tʲ	z̥	0.457
ˈa	-	0.452
ˈuː	ˈau̯	0.447
ˈɒ	ˈæ	0.442
d	d̥	0.433
ˈɛː	ˈæ	0.426
t	ʦ	0.425
ˈyː	ˈoː	0.418
ˈɔu̯	ˈoː	0.414
ˈɔ	-	0.4
ˈœː	ˈuː	0.39
ˈœː	-	0.372
ʃ	ʃː	0.345
tʲ	sː	0.342
ˈœ	ˈɒ	0.332
ˈɔː	-	0.331
ˈi	ˈi	0.331
d	tː	0.324
ˈeː	ˈæ	0.319
ˈiː	ˈyː	0.31
v_ə	f	0.31
ˈuː	ˈoː	0.288
p	p͡f	0.265
ˈɒː	ˈɒː	0.264
ˈɒː	ˈɒ	0.264
ˈuː	ˈɒ	0.264
ˈa	ˈi	0.262
ˈaː	ˈu	0.257
ˈaː	-	0.257
ˈeː	ˈɒː	0.248
ˈeː	-	0.248
ˈɛi̯	ˈoː	0.246
ˈœ	-	0.246
d	sː	0.243
ŋ	ɡ̊	0.242
ˈʊ	-	0.239
ˈœː	ˈo	0.238
ˈœ	ˈuə̯	0.233
ˈɔː	ˈo	0.223
ˈa	ˈæ	0.222
ˈiː	ˈæi̯	0.217
ˈɔː	ˈɒː	0.216
v	-	0.208
s	ʒ̊	0.208
ˈi	-	0.207
ˈɛi̯	ˈɒː	0.204
tʲ	-	0.201
ˈiː	ˈeː	0.199
ŋ	ŋ_ɡ̊	0.199
n	-	0.194
ʃ	-	0.192
ˈœ	ˈo	0.188
p	fː	0.187
ˈeː	ˈy	0.185
k	χː	0.18
d̥	d̥_ə	0.178
ˈiː	ˈiə̯	0.176
k	k͡χ	0.144
m	-	0.143
s	ʃ	0.142
ˈɔː	ˈɒ	0.115
ˈɔː	ˈi	0.115
ˈʊ	ˈɒ	0.111
k	χ	0.11
ˈiː	-	0.098
ə	-	0.092
ə	d̥_ə	0.09
ˈʊ	ˈæ	0.087
k	χ_ə	0.087
j	j	0.071
t	sː	0.07
ˈa	ˈu	0.064
ˈʊ	ˈo	0.053
