Piedmontese	Piedmontese	probability
ˈɛ_t	ˈɛ_tː	1.0
ˈɛ_j_#>	ˈe_#>	1.0
ˈɔ_r	ˈɔ_l	1.0
ˈy	ˈu	1.0
ˈe_#>	ˈa_#>	1.0
ˈa	ˈa	1.0
ʧ	c	1.0
ɲ	ɲː	1.0
ə	-	1.0
ŋ_#>	n_u_#>	1.0
y	u	1.0
s_#>	sː_u_#>	1.0
r_b	l_b	1.0
r_#>	r_u_#>	1.0
p_#>	p_u_#>	1.0
p	p	1.0
n_#>	n_i_#>	1.0
l_a	ɖː_a	1.0
k	k	1.0
j_t	tː_i	1.0
i	i	1.0
dː	d	1.0
a_v	a_p	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_u	<#_a	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_i	<#_i	1.0
<#	<#_ʧ	1.0
a	a	0.954
b	b	0.882
f	f	0.864
d	d	0.857
u	u	0.846
ˈi	ˈi	0.815
m	m	0.812
e_#>	ˈi_#>	0.778
ŋ	n	0.774
ˈø	ˈɔ	0.765
t	t	0.757
l	l	0.708
n	n	0.688
z	ʧ	0.667
r	r	0.659
ˈɔ	ˈɔ	0.632
ʤ	ɟ	0.615
ɡ	ɡ	0.6
s	s	0.6
#>	u_#>	0.582
ˈɛ	ˈɛ	0.556
ˈe	ˈe	0.556
v	v	0.515
w	l	0.5
w	-	0.5
ɡ	k_u	0.4
ˈu	ˈo	0.387
#>	i_#>	0.363
e	i	0.357
e	-	0.357
j	j	0.344
ˈe	ˈɛ	0.333
ˈu	ˈu	0.323
ʤ	-	0.308
l	ɖː	0.292
ˈu	ˈɔ	0.29
t	tː	0.243
ŋ	ŋ	0.226
e_#>	#>	0.222
z	-	0.2
ˈɛ	ˈe	0.194
n	u	0.188
m	mː	0.188
j	u	0.188
ˈi	-	0.185
ˈɔ	ˈa	0.158
u	-	0.154
e	ˈe	0.143
e	e	0.143
d	t	0.143
ˈɛ	ˈi	0.139
z	z	0.133
n	-	0.125
j	-	0.125
r	rː	0.122
ˈø	ˈo	0.118
ˈø	-	0.118
b	-	0.118
ˈɛ	ˈa	0.111
ˈe	ˈi	0.111
s	ʃː	0.111
ˈɔ	ˈo	0.105
ˈɔ	i	0.105
j	ɖː_u	0.094
v	i	0.091
v	b	0.091
f	-	0.091
s	ʦ	0.089
ʤ	ʤ	0.077
r	u	0.073
r	l	0.073
r	-	0.073
s	u	0.067
j	ɖː	0.062
j	i	0.062
j	cː_u	0.062
j	cː	0.062
v	u	0.061
v	pː	0.061
v	p_a	0.061
v	a	0.061
v	-	0.061
#>	a_#>	0.055
