Bavarian	West Frisian	probability
a	ə	0.721
a	-	0.12
a	r	0.106
a	ˈuə̯	0.053
b̥	b	0.73
b̥	f	0.134
b̥	v	0.088
d	d	1.0
d̥	t	0.542
d̥	d	0.371
d̥	-	0.055
eɐ̯	ɪ	1.0
f	f	0.702
f	p	0.222
f	v	0.063
h	h	1.0
i	-	0.334
i	ɪ	0.334
i	ə	0.332
j	l	0.831
j	-	0.119
j	j	0.05
k	k	0.799
k	χ	0.13
k	-	0.071
kʰ	k	0.645
kʰ	ʦ	0.291
kʰ	-	0.064
l	l	0.943
l	-	0.057
m	m	0.818
m	-	0.173
n	n	0.613
n	ə	0.273
n	j_ə	0.069
p	p	0.799
p	-	0.201
p͡f	p	0.748
p͡f	t	0.252
r	r	0.825
r	-	0.102
r	z	0.064
s	s	0.632
s	t	0.325
t	t	0.688
t	d	0.203
t	-	0.11
x	k	0.51
x	χ	0.49
ç	k	1.0
ŋ	ŋ	0.618
ŋ	n	0.334
ɐ	r	0.925
ɐ	-	0.075
ə	ə	0.668
ə	j	0.332
ɡ̊	ɡ	0.343
ɡ̊	ɣ	0.308
ɡ̊	χ	0.179
ɡ̊	-	0.131
ɪ	ɪ	1.0
ʃ	s	1.0
ʋ	ʋ	0.698
ʋ	v	0.207
ʦ	t	0.961
ˈa	ˈɛ	0.259
ˈa	ˈa	0.145
ˈa	ˈiː	0.136
ˈa	ˈɛi̯	0.136
ˈa	ˈɪə̯	0.135
ˈa	ˈɛː	0.105
ˈa	ˈɔː	0.084
ˈai̯	ˈiː	0.19
ˈai̯	ˈi	0.181
ˈai̯	ˈɛ	0.159
ˈai̯	j	0.143
ˈai̯	ˈøə̯	0.108
ˈai̯	ˈuː	0.079
ˈau̯	ˈuː	0.735
ˈau̯	ˈyː	0.144
ˈau̯	ˈuə̯	0.101
ˈaː	ˈɪə̯	0.421
ˈaː	ˈɔ	0.295
ˈaː	ˈa	0.192
ˈaː	ˈaː	0.091
ˈe	ˈɪə̯	0.281
ˈe	ˈiə̯	0.158
ˈe	ˈɪ	0.143
ˈe	ˈɛ	0.125
ˈe	ˈɛː	0.112
ˈe	ˈɛi̯	0.076
ˈe	ˈaː	0.055
ˈe	ˈa	0.051
ˈeɐ̯	ˈoː	0.346
ˈeɐ̯	ˈɛ	0.346
ˈeɐ̯	ˈiə̯	0.307
ˈeː	ˈɛi̯	0.481
ˈeː	ˈɪə̯	0.216
ˈeː	ˈaː	0.087
ˈeː	ˈeː	0.085
ˈeː	ˈɪ	0.083
ˈi	ˈɪ	0.492
ˈi	ˈiː	0.162
ˈi	ˈi	0.115
ˈiɐ̯	j	0.442
ˈiɐ̯	ˈɪə̯	0.185
ˈiɐ̯	ˈiː	0.157
ˈiɐ̯	ˈu̯o	0.109
ˈiɐ̯	ˈɪ	0.068
ˈiː	ˈiə̯	0.495
ˈiː	ˈɔː	0.289
ˈiː	ˈɪ	0.216
ˈo	ˈɔ	0.394
ˈo	ˈɔː	0.225
ˈo	ˈa	0.122
ˈo	ˈɔu̯	0.071
ˈo	ˈɛ	0.055
ˈou̯	ˈɪə̯	0.554
ˈou̯	ˈeː	0.311
ˈou̯	ˈuː	0.136
ˈoɐ̯	ˈiə̯	0.328
ˈoɐ̯	ˈɪə̯	0.225
ˈoɐ̯	ˈoə̯	0.187
ˈoɐ̯	ˈaː	0.093
ˈoː	ˈoə̯	0.205
ˈoː	ˈa	0.196
ˈoː	ˈɛi̯	0.143
ˈoː	ˈɛː	0.143
ˈoː	ˈaː	0.103
ˈoː	ˈiə̯	0.074
ˈoː	ˈu	0.071
ˈoː	ˈuː	0.066
ˈu	ˈɔ	0.254
ˈu	ˈɪ	0.135
ˈu	ˈiə̯	0.133
ˈu	ˈu	0.124
ˈu	ˈoə̯	0.102
ˈu	ˈyː	0.079
ˈu	ˈɛː	0.069
ˈuɐ̯	ˈuə̯	0.68
ˈuɐ̯	ˈiə̯	0.085
ˈuɐ̯	ˈi	0.083
ˈuɐ̯	ˈoə̯	0.083
ˈuɐ̯	ˈoː	0.07
ˈy	ˈuə̯	1.0
ˈɑː	ˈiː	1.0
ˈɒ	ˈaː	0.47
ˈɒ	ˈa	0.386
ˈɒ	ˈɛ	0.144
ˈɒː	ˈa	0.666
ˈɒː	ˈiə̯	0.217
ˈɒː	ˈaː	0.118
ˈɔ	ˈɔː	0.27
ˈɔ	ˈaː	0.229
ˈɔ	ˈoə̯	0.17
ˈɔ	ˈa	0.158
ˈɔ	ˈɔ	0.124
ˈɛ	ˈɪ	0.259
ˈɛ	ˈy	0.186
ˈɛ	ˈi	0.129
ˈɛ	ˈø	0.118
ˈɛ	-	0.108
ˈɛ	ˈɛ	0.089
ˈɛ	ˈɪə̯	0.066
ˈɛː	ˈiə̯	0.849
ˈɛː	ˈeː	0.151
ˈʏ	ˈɪ	1.0
