Lengadocian	Lengadocian	probability
ˈɛ_l	ˈɛ_dː	1.0
ˈɛ_j	ˈe	1.0
ˈɔ_k	ɡː	1.0
ˈu_n	ˈɔ_n	1.0
ˈi_w	ˈi_u	1.0
ˈa_w	ˈɔ	1.0
ˈa_t	ˈa_i	1.0
ˈa_#>	ˈa_#>	1.0
ʀ_k	xː	1.0
ɲ	ɲː	1.0
ɔ_#>	#>	1.0
ŋ	ŋ	1.0
z_ˈa	j	1.0
y	u	1.0
u_l	u_r	1.0
s_p	pː	1.0
s_i	ʦ	1.0
s_a	s_a	1.0
p_l	p_j	1.0
p_a	p_a	1.0
p	p	1.0
nː	mː_i	1.0
m_u	m_u	1.0
m_b	mː	1.0
m_#>	mː_i_#>	1.0
l_s	ʦː	1.0
l_e	l_i	1.0
k_ɔ	kː_a	1.0
k_l	ʧ	1.0
k_#>	ɡ_u_#>	1.0
j_ˈɛ	ˈɛ	1.0
j_s	ʃː	1.0
j	-	1.0
i	-	1.0
f	f	1.0
e_s	i	1.0
a	a	1.0
<#_ˈa_w	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_ʦ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
ɔ	a	0.966
k	k	0.921
ʧ	tː	0.875
d	d	0.875
ˈɔ	ˈɔ	0.87
m	m	0.87
ˈy	ˈu	0.824
ˈi	ˈi	0.808
<#_e	<#_i	0.8
n	n	0.774
ˈa	ˈa	0.75
ʦ	ʦ_i	0.75
ð	dː	0.75
ˈɛ	ˈɛ	0.68
s_k	xː	0.667
e	i	0.652
ɣ	ɡ	0.636
e_#>	u_#>	0.632
ɾ	r	0.625
#>	u_#>	0.602
ɥ_ˈɛ	ˈɔ	0.6
ɥ	-	0.6
<#_a	<#_a	0.6
u	u	0.583
b	b	0.576
ʤ	ʤ	0.562
t	t	0.552
ˈe	ˈe	0.5
ˈa_s	ˈa_sː	0.5
ˈa_s	ˈa	0.5
ʎ	ʎː	0.5
ʎ	-	0.5
s_#>	j_#>	0.5
s_#>	#>	0.5
l	r	0.5
ˈu	ˈo	0.457
β	β	0.429
z	-	0.429
b	v	0.424
s	s	0.405
ɥ_ˈɛ	ˈo	0.4
ɥ	ˈɔ	0.4
<#_a	<#_ˈa	0.4
s_k	x	0.333
ˈɛ	ˈe	0.32
ʤ	-	0.312
β	bː	0.286
β	-	0.286
z	z	0.286
z	d	0.286
e	a	0.261
#>	i_#>	0.252
ʦ	ʦː_u	0.25
ʀ	rː	0.25
ʀ	r	0.25
ʀ	-	0.25
ð	d	0.25
u	o	0.25
t	dː	0.241
ˈe	ˈɛ	0.233
e_#>	#>	0.211
t	tː	0.207
ˈu	ˈu	0.2
ˈe	ˈi	0.2
<#_e	<#_u	0.2
w	β	0.19
w	-	0.19
ɣ	ɡː	0.182
ɣ	-	0.182
ˈy	-	0.176
ɾ	a_r	0.175
u	-	0.167
l	j	0.167
s	ɬ	0.162
e_#>	ˈi_#>	0.158
ʀ	ɬ	0.15
w	β_i	0.143
w	u	0.143
w	i	0.143
s	i	0.135
l	ʧː	0.133
l	dː	0.133
ˈɔ	ˈo	0.13
m	mː	0.13
n	nː	0.129
ʧ	ʣ	0.125
ʤ	ʤː	0.125
d	-	0.125
ˈi	ˈi_n	0.115
ˈu	ˈɔ	0.114
s	sː	0.108
ʀ	j	0.1
ɾ	-	0.1
n	-	0.097
w	ˈa_ɬ	0.095
w	j	0.095
e	-	0.087
ˈu	ˈo_r	0.086
ˈu	ˈo_n	0.086
ˈa	ˈa_n	0.083
s	ʦː	0.081
k	ɡː	0.079
ˈi	-	0.077
ˈe	-	0.067
l	lː	0.067
ˈa	w_ˈa	0.062
ˈa	j	0.062
ˈu	ˈɔ_n	0.057
s	ʦ	0.054
s	j	0.054
