Nynorsk Norwegian	Icelandic	probability
b	b̥	1.0
d	d̥	0.65
d	ð	0.278
d	θ	0.063
e	a	0.357
e	ɪ	0.317
e	ʏ	0.177
e	-	0.106
e	ɛː	0.03
f	f	0.946
f	d̥	0.054
h	h	0.852
h	ç	0.114
h	-	0.036
j	j	0.571
j	ɟ̊	0.309
j	ç	0.075
k	k	0.897
k	ʰk	0.103
kʰ	kʰ	0.878
kʰ	cʰ	0.057
kʰ	-	0.052
l	l	0.675
l	l̥	0.274
l	l_ʏ	0.044
lː	l̥_ʏ	0.359
lː	l_d̥	0.312
lː	t_l̥	0.182
lː	n	0.035
m	m	0.638
m	m_ʏ	0.256
m	p	0.096
mː	m	0.468
n	n	0.597
n	t_n̥	0.219
n	n̥	0.115
n	-	0.035
n	r̥	0.026
nː	nː	0.575
nː	n_d̥	0.235
nː	n	0.129
nː	ð	0.049
p	p	0.331
p	p_ʏ	0.331
p	ʰp	0.289
s	s	0.973
s	v	0.025
s	sː	0.024
sː	sː	1.0
t	t	0.651
t	t_ʏ	0.311
t	ʰt	0.039
tʰ	θ	0.499
tʰ	tʰ	0.497
v	v	0.468
ç	cʰ	0.386
ç	c	0.243
ç	θ	0.212
ç	j	0.14
çː	t	0.468
ŋ	ŋ_ɡ̊	1.0
ŋː	ŋ_ɡ̊	1.0
ɑ	a	0.956
ɑ	-	0.044
ə	a	0.407
ə	-	0.042
ɛ	ɪ	0.574
ɛ	ɛ	0.269
ɡ	ɡ̊	0.547
ɡ	ɣ_ʏ	0.116
ɡ	x	0.098
ɡ	ɣ	0.079
ɡ	-	0.071
ɡː	ɡ̊	0.85
ɡː	ɟ̊	0.066
ɪ	i	1.0
ɲ	ɲ	0.219
ɾ	r	0.468
ɾ	r̥	0.338
ɾ	r_ð	0.058
ɾ	r_j	0.047
ɾ	ɪ_r̥	0.041
ʃ	s_c	0.514
ʃ	s_j	0.398
ʃ	m	0.065
ʉ	ʏ	0.468
ʋ	v	0.869
ʋ	-	0.09
ʋ	ɛ	0.039
ʰkː	ʰk	1.0
ʰtː	ʰt	0.496
ʰtː	ʰt_ʏ	0.457
ˈeː	ˈɛː	0.508
ˈeː	ˈɪː	0.159
ˈeː	j	0.159
ˈeː	ˈaːi̯	0.091
ˈeː	ˈiː	0.068
ˈiː	ˈiː	0.506
ˈiː	ˈiː_j	0.126
ˈiː	ˈiː_ð	0.126
ˈiː	j	0.126
ˈiː	ˈɪː	0.096
ˈoː	ˈɑːu̯	0.512
ˈoː	ˈaːu̯	0.139
ˈoː	ˈɔː	0.08
ˈoː	ˈaːi̯	0.08
ˈoː	ˈi	0.064
ˈuː	ˈoːu̯	0.413
ˈuː	ˈoːu̯_ð	0.199
ˈuː	ˈɔ	0.169
ˈuː	ˈɔu̯	0.072
ˈuː	ˈœː	0.072
ˈyː	ˈiː	0.448
ˈyː	ˈuː	0.117
ˈyː	ʏ	0.099
ˈyː	ˈʏː	0.083
ˈyː	ˈoːu̯	0.068
ˈæ	ˈɛ	0.468
ˈæɪ̯	ˈɛːi̯	0.439
ˈæɪ̯	ˈɛi̯	0.307
ˈæɪ̯	ˈɛ	0.153
ˈæɪ̯	ˈeːi̯	0.068
ˈæʉ̯	ˈœːy̯	0.894
ˈæʉ̯	ˈɑːu̯	0.075
ˈæːɪ̯	ˈɛːi̯	0.468
ˈøː	ˈaːi̯	0.298
ˈøː	ˈoːu̯_r̥	0.144
ˈøː	ˈai̯	0.134
ˈøː	ˈœː	0.095
ˈøː	ˈœ	0.095
ˈœ	ˈɔu̯	0.269
ˈœ	ˈœ	0.269
ˈœʏ̯	ˈɛːi̯	0.683
ˈœʏ̯	ˈeːi̯	0.315
ˈɑ	ˈa	0.68
ˈɑ	ˈœ	0.132
ˈɑ	ˈɑu̯	0.106
ˈɑ	ˈɔu̯	0.044
ˈɑ	ˈaː	0.036
ˈɑː	ˈaː	0.749
ˈɑː	ˈɛː	0.161
ˈɑː	ˈa	0.077
ˈɔ	ˈɔ	0.496
ˈɔ	ˈɑu̯	0.184
ˈɔ	ˈou̯	0.096
ˈɔ	ˈɔu̯	0.096
ˈɔ	ˈɔː	0.066
ˈɛ	ˈɛ	0.691
ˈɛ	ˈa	0.134
ˈɛ	ˈɪ	0.06
ˈɛ	j_ˈɛ	0.06
ˈɛ	ˈai̯	0.037
ˈɛː	ˈɛː	0.309
ˈɛː	ˈɛ	0.309
ˈɪ	ˈɪ	0.36
ˈɪ	ˈi	0.306
ˈɪ	ˈɛ	0.12
ˈɪ	ˈɪː	0.083
ˈɪ	ˈɔ	0.059
ˈʉ	ˈʏ	0.676
ˈʉ	ˈu	0.221
ˈʉ	ˈʏ_t	0.088
ˈʉː	ˈuː	0.56
ˈʉː	ˈʏː	0.161
ˈʉː	ˈiː_r̥	0.119
ˈʉː	ˈœː	0.079
ˈʉː	j	0.061
ˈʊ	ˈɔ	0.226
ˈʊ	ˈu	0.226
ˈʊ	ˈɪ	0.149
ˈʊ	ˈa	0.13
ˈʊ	ˈʏ	0.115
ˈʏ	ˈɪ	0.388
ˈʏ	ˈi	0.2
ˈʏ	ˈʏ	0.132
ˈʏ	ˈoːu̯	0.132
ˈʏ	ˈai̯	0.132
