Eastern Lombard	Eastern Lombard	probability
ˈɛ_l	u_m	1.0
ˈy	ˈu	1.0
ŋ	-	1.0
w	-	1.0
s_i	ʧ_e	1.0
r_t	r_t	1.0
r_k	r_k	1.0
r_a	r_ˈa	1.0
m_#>	m_e_#>	1.0
m	m	1.0
k_r	k_r	1.0
k	k	1.0
f_#>	#>	1.0
e_r	r_u	1.0
a_#>	#>	1.0
<#_ˈɛ	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
<#_d	<#_d	1.0
<#_a	<#	1.0
r	r	0.95
p	p	0.926
n	n	0.917
f	f	0.857
b	b	0.833
t_#>	t_#>	0.75
l_#>	r_#>	0.75
a	ə	0.745
t	t	0.727
#>	e_#>	0.716
k_#>	k_#>	0.714
<#	<#_v	0.714
ˈu	ˈu	0.667
e	e	0.619
ɲ	n	0.6
i	i	0.6
l	l	0.588
z	ʤ	0.583
ˈo	ˈu	0.571
ˈa	ˈa	0.545
ˈø	ˈo	0.526
s	s	0.519
ʤ	ʤ	0.5
ʤ	-	0.5
ɡ	ɡ	0.5
o	u	0.5
j	l	0.5
j	-	0.5
ˈɔ	o̯ˈa	0.471
ˈɔ	ˈo	0.412
ʧ	kʲ	0.4
ɲ	m_n	0.4
i	e	0.4
ˈø	ˈu	0.368
ˈɛ	ˈe	0.36
d	t	0.353
ˈu	o̯ˈa	0.333
ˈe	ˈe	0.333
ʧ	-	0.3
l	r	0.294
d	z	0.294
ɡ	k	0.286
k_#>	#>	0.286
t	p_t	0.273
ˈi	ˈi_n	0.269
z	ʒ	0.25
t_#>	d_#>	0.25
o	o	0.25
o	-	0.25
l_#>	#>	0.25
ˈɛ	j_ˈe	0.24
d	d	0.235
ɡ	-	0.214
ˈa	ˈɨ	0.205
ˈa	ˈa_r	0.205
ˈe	ˈi	0.2
ʧ	p_t	0.2
ˈi	ˈi	0.192
e	i	0.19
e	-	0.19
s	ʧ	0.173
z	-	0.167
b	f_r	0.167
ˈɛ	ˈa	0.16
ˈi	ˈi_r	0.154
ˈo	ˈa	0.143
ˈo	o̯ˈa	0.143
ˈo	-	0.143
f	w	0.143
<#	<#_ˈa	0.143
<#	<#_j	0.143
ˈe	ˈi_n	0.133
ˈɔ	ˈu	0.118
l	-	0.118
d	-	0.118
ˈi	ˈe_r	0.115
ˈi	-	0.115
a	-	0.109
ˈø	-	0.105
ˈe	e̯ˈa	0.1
ˈe	-	0.1
ʧ	ʦʲ	0.1
#>	r_e_#>	0.095
a	a	0.091
n	ˈɨ_n	0.083
#>	ə_#>	0.081
ˈɛ	ˈi	0.08
ˈɛ	j	0.08
ˈɛ	-	0.08
ˈi	ˈe	0.077
ˈi	e	0.077
s	ʦ	0.077
s	ʃ_t	0.077
s	ʃ	0.077
s	-	0.077
p	-	0.074
ˈe	ˈə	0.067
ˈe	ˈu	0.067
a	k	0.055
#>	n_#>	0.054
