West Frisian	German	probability
<#_b	<#_b	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_j	<#_j	1.0
<#_k	<#_kʰ	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p͡f	1.0
<#_r	<#_ʁ	1.0
<#_ɕ	<#_z	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʋ	<#_v	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ˈiː	<#_ˈaɪ̯	1.0
d	d	1.0
j_ˈuə̯	ˈɔʏ̯	1.0
j_ˈɪ	ˈiː	1.0
k_#>	ç_#>	1.0
l	l	1.0
l_#>	l_#>	1.0
m	m	1.0
m_#>	m_#>	1.0
n_#>	n_#>	1.0
p_#>	f_#>	1.0
p_ə	f_n	1.0
r_#>	ɐ_#>	1.0
s	z	1.0
s_#>	s_#>	1.0
s_t	s_t	1.0
t_ə	s	1.0
ŋ	ŋ	1.0
ŋ_#>	ŋ_#>	1.0
ə_#>	n_#>	1.0
ə_n	ə_#>	1.0
ə_χ	ɪ_ç	1.0
ɣ	-	1.0
ɣ_j	ɡ	1.0
ɣ_ə	k_ə	1.0
ɪ_ŋ	ɪ_ç	1.0
ˈa_χ	ˈa_x	1.0
ˈeː	ˈeː	1.0
ˈi_#>	ˈiː_ɐ_#>	1.0
ˈiə̯_n	ˈaɪ̯_n	1.0
ˈiː	ˈaɪ̯	1.0
ˈiː_n	ˈɪ_n_d	1.0
ˈoː_#>	ˈuː_#>	1.0
ˈu_n	ˈʊ_n	1.0
ˈuə̯	ˈuː	1.0
ˈuː_n	ˈʊ_n_d̥	1.0
ˈy	ˈoː	1.0
ˈɔ_χ	ç	1.0
ˈɔː	ˈa_l	1.0
ˈɔː_n	ˈa_n_d̥_#>	1.0
ˈɛ_j	ˈaɪ̯_#>	1.0
ˈɛ_r	ˈɛ_ɐ	1.0
ˈɪ_n	ˈʏ_n	1.0
ˈɪə̯_#>	ˈoː_t	1.0
ˈɪə̯_l	ˈa_l_b̥_#>	1.0
χ_#>	k_n	1.0
t	ɐ_ʦ	0.091
t	tʰ	0.091
<#_d	<#_d	0.222
j	-	0.562
k	k	0.312
r	ɐ	0.182
ə	ə	0.2
ˈaː	ˈaɪ̯	0.2
ˈiə̯	ˈaː	0.312
ˈoə̯	ˈʊ_ɐ	0.2
ˈuː	ˈɔʏ̯	0.2
ˈɔ	ˈɔ	0.562
#>	ɐ_#>	0.333
f_#>	f_#>	0.333
t	s	0.273
v	-	0.143
v	v	0.643
ˈɛː	ˈɛ	0.333
ˈɛː	ˈa	0.333
ˈɛː	ˈʏ	0.333
ˈɪ	ˈɛ	0.143
ˈɪ	ˈaɪ̯	0.143
χ	ɡ̊	0.333
χ	ç	0.333
χ	x	0.333
<#_ʦ	<#_kʰ	0.4
d̥_#>	d̥_#>	0.4
k_ə	x_ə_#>	0.4
s_k	ʃ_#>	0.714
v	b	0.214
ˈaː	ˈa	0.4
ˈaː	ˈaː	0.4
ˈi	ˈɪ	0.444
ˈoə̯	ˈɔ_ɐ	0.4
ˈoə̯	ˈoː	0.4
<#_s	<#_z	0.425
<#_s	<#_ʃ	0.575
<#_t	<#_d	0.5
<#_t	<#_ʦ	0.5
d_ə	t_n	0.5
d_ə	t	0.5
j	ˈɔʏ̯	0.125
j	ˈɪ	0.125
k	x_#>	0.125
k	k_#>	0.125
l_ə	l_ə	0.5
l_ə	l_#>	0.5
n	n_d̥	0.25
n	n_ə	0.25
n	n	0.5
t_#>	t_#>	0.5
t_#>	s_#>	0.5
z	z	0.5
z	ɡ	0.5
ˈa	ˈaː	0.385
ˈa	ˈa	0.615
ˈiə̯	ˈɛ	0.125
ˈɔ	ˈaʊ̯	0.125
ˈɔ	ˈɪ	0.125
ˈɛ	ˈa	0.25
ˈɛ	-	0.25
ˈɛ	ˈɛ	0.5
ˈɛi̯	ɡ̊	0.5
ˈɛi̯	ɡ	0.5
ˈɪ	ˈiː	0.095
ˈɪə̯	ˈa	0.125
ˈɪə̯	ˈeː	0.125
ˈɪə̯	ˈøː	0.125
ˈɪə̯	ˈiː	0.125
ˈɪə̯	ˈaɪ̯	0.125
ˈɪə̯	ˈoː	0.125
ˈɪə̯	ˈaʊ̯	0.25
<#_ʦ	<#	0.6
d̥_#>	t_#>	0.6
k_ə	ç	0.6
s_k	ʃ	0.286
ˈi	ˈaɪ̯	0.556
#>	t_#>	0.667
f_#>	b̥_#>	0.667
t	ʦ	0.227
<#_d	<#_tʰ	0.778
j	ˈiː	0.188
k	-	0.438
r	ʁ	0.818
t	t	0.318
ə	-	0.8
ˈiə̯	ˈeː	0.188
ˈiə̯	ˈyː	0.188
ˈiə̯	ˈiː	0.188
ˈuː	ˈaʊ̯	0.8
ˈɔ	ˈʊ	0.188
ˈɪ	ˈɪ	0.619
