Logudorese	Logudorese	probability
β	-	1.0
ˈi_ʣ	ˈi	1.0
ˈa_ɾ	ˈe	1.0
ʣ_u	j	1.0
ʣ	ʒ	1.0
ɾ_ɛ_#>	#>	1.0
ɾ_u_#>	#>	1.0
ɾ_a	r_a	1.0
ɛ̆	-	1.0
ɛ_ɾ	e	1.0
ɛ_n_ɛ_#>	#>	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
ɔ̆	-	1.0
ŋ	-	1.0
ð_u	t	1.0
u_z_ŭ_#>	#>	1.0
u_l	o_l	1.0
s_k	ʃ	1.0
s	s	1.0
r	r	1.0
o	o	1.0
n_ʣ	ɲ	1.0
n_ɛ_#>	#>	1.0
m_i	m	1.0
l_ˈi	l_ˈe	1.0
k_ˈa	ʨ_ˈɛ	1.0
k_ɾ	k_l	1.0
j_z	s	1.0
i_s	ʃ	1.0
f_ɾ	f_l	1.0
f	f	1.0
d	-	1.0
b_ɛ	k	1.0
ă	-	1.0
a_z	e_s	1.0
<#_ˈo	<#_w	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
<#_i	<#	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
n	n	0.957
u_#>	#>	0.948
t	t	0.941
p	p	0.935
l	l	0.867
a	a	0.861
ˈe	ˈɛ	0.833
m	m	0.789
ɾ	r	0.708
ˈa	ˈa	0.673
nː	n	0.667
e	e	0.667
ɣ_ɛ	ʃ	0.6
ɣ_u	ˈɛ_k	0.6
ˈi	ˈi	0.59
z	-	0.556
ð	d	0.538
ʦ	ʦ	0.5
ʦ	-	0.5
k	k	0.487
ˈu	ˈo	0.484
ɣ	-	0.455
ɔ	-	0.455
ˈɛ	ˈɛ	0.444
ˈo	ˈɔ	0.438
k	ʨ	0.436
i	-	0.429
ɣ_ɛ	w_ʃ	0.4
ɣ_u	k	0.4
ˈɔ	ˈɔ	0.387
ˈu	ˈu	0.387
ɡ	ɡ	0.375
ɡ	-	0.375
b	v	0.375
ɔ	o	0.364
b	b	0.35
nː	-	0.333
j	-	0.333
e	-	0.333
ˈɔ	ˈo	0.323
ɛ	j	0.318
ˈo	w	0.312
i	i	0.286
i	e	0.286
ɛ	e	0.273
ˈi	ˈe	0.256
ˈo	ˈo	0.25
ɡ	d	0.25
j	j	0.25
j	d_l	0.25
ð	t	0.231
ð	-	0.231
z	ʒ	0.222
z	s	0.222
m	ŋ	0.211
ˈa	ˈɛ	0.204
u	ˈɛ_f	0.2
u	r	0.2
u	n	0.2
u	e	0.2
u	d_l	0.2
ˈɛ	ˈe_j	0.185
ɣ	ˈɛ	0.182
ɣ	ʥ	0.182
ɣ	ɡ	0.182
ɛ	-	0.182
ɔ	e	0.182
ˈe	ˈe	0.167
j	l	0.167
ˈɔ	w_ˈɛ	0.161
ˈɛ	j_ˈɛ	0.148
ɛ	ˈe	0.136
l	-	0.133
ˈu	-	0.129
ˈɛ	ˈe	0.111
ˈɛ	j	0.111
ɾ	w	0.104
ɾ	l	0.104
ˈi	-	0.103
b	ɡ	0.1
ɛ	r	0.091
a	-	0.083
ˈa	ˈe	0.082
k	ʧ	0.077
b	ʒ	0.075
ˈɔ	w	0.065
ˈɔ	o	0.065
p	-	0.065
t	-	0.059
a	e	0.056
u_#>	l_#>	0.052
ˈi	ˈe_j	0.051
