Luxembourgish	Swiss German	probability
b	b̥	1.0
d	t	0.504
d	d̥	0.461
e	i	0.239
f	f	0.819
f	b̥	0.072
h	h	1.0
j	j	1.0
k	k	0.366
k	ɡ̊ː	0.3
k	ɡ̊	0.179
k	-	0.065
k	χ	0.061
kʰ	χ	1.0
l	l	0.898
m	m	0.954
n	-	0.571
n	n	0.397
n_t	ŋ	1.0
p	p͡f	0.723
p	p	0.203
s	s	0.608
s	sː	0.39
t	t	0.684
t	d̥	0.208
v	ʋ	0.705
v	b̥_ə	0.12
v	b̥	0.088
v	f	0.069
w	ʋ	1.0
z	s	0.954
z	ʃ	0.051
ŋ	ŋ	0.756
ŋ	n	0.135
ŋ	-	0.102
ɐ	r	0.55
ɐ	ə_r	0.336
ɐ	r_ə	0.074
ɕ	χ	0.686
ɕ	ɡ̊	0.219
ɕ	-	0.073
ə	ə	0.614
ə	-	0.237
ə	i	0.12
ɡ	ɡ̊	1.0
ʀ	r	1.0
ʃ	ʃ	0.933
ʑ	ɡ̊	1.0
ʦ	ʦ	1.0
ˈaː	ˈɒ	0.288
ˈaː	ˈau̯	0.144
ˈaː	ˈa	0.128
ˈaː	ˈɒː	0.115
ˈaː	ˈou̯	0.081
ˈaː	ˈo	0.064
ˈaː	ˈɒ_r	0.055
ˈe	ˈi	0.29
ˈe	ˈu	0.29
ˈe	ˈæː	0.167
ˈe	ˈyə̯	0.117
ˈe	ˈyː	0.082
ˈeː	ˈæi̯	0.281
ˈeː	ˈɛi̯	0.181
ˈeː	ˈøi̯	0.131
ˈeː	ˈei̯	0.114
ˈeː	ˈæː	0.086
ˈeː	ˈe	0.062
ˈeː	ˈæ	0.062
ˈeː_n	ˈei̯	1.0
ˈi	ˈyː	0.335
ˈi	ˈy	0.168
ˈi	ˈæː	0.168
ˈi	ˈeː	0.113
ˈi	ˈi	0.082
ˈi	ˈøː	0.079
ˈiə̯	ˈæ	0.768
ˈiə̯	ˈø	0.223
ˈiː	ˈi	0.362
ˈiː	ˈiə̯	0.308
ˈiː	ˈæ	0.253
ˈo	ˈo	0.672
ˈo	ˈu	0.316
ˈoː	ˈɒː	0.544
ˈoː	ˈoː	0.149
ˈoː	ˈæ	0.146
ˈoː	ˈɒ	0.098
ˈu	ˈuə̯	0.372
ˈu	ˈo	0.221
ˈu	ˈɒː	0.221
ˈu	ˈu	0.113
ˈuə̯	ˈɒ	0.631
ˈuə̯	ˈoː	0.268
ˈuə̯	ˈɒː	0.064
ˈuː	ˈu	0.594
ˈuː	ˈoː	0.392
ˈæ	ˈæ	0.644
ˈæ	ˈɒ	0.239
ˈæɪ̯	ˈiː	1.0
ˈæːɪ̯	ˈiː	0.617
ˈæːɪ̯	ˈyː	0.26
ˈæːɪ̯	ˈei̯	0.105
ˈæːʊ̯	ˈuː	1.0
ˈɑ	ˈi	0.335
ˈɑ	ˈɒ	0.301
ˈɑ	ˈɒː	0.107
ˈɑ	ˈa	0.081
ˈɑ	ˈo	0.061
ˈɑ	ˈe	0.053
ˈɑ	ˈy	0.051
ˈɑɪ̯	ˈøi̯	0.352
ˈɑɪ̯	ˈyː	0.341
ˈɑɪ̯	ˈiə̯	0.176
ˈɑɪ̯	ˈiː	0.08
ˈɔ	ˈuː	0.574
ˈɔ	ˈu	0.281
ˈə	ˈi	0.399
ˈə	ˈy	0.314
ˈə	ˈø	0.133
ˈə	ˈæ	0.088
ˈə	ˈyː	0.054
ˈəɪ̯	ˈyː	0.189
ˈəɪ̯	ˈeː	0.168
ˈəɪ̯	ˈøː	0.168
ˈəɪ̯	ˈiə̯	0.115
ˈəɪ̯	ˈyə̯	0.115
ˈəɪ̯	ˈy	0.066
ˈəɪ̯	ˈɒː	0.066
ˈəɪ̯	ˈoː	0.055
ˈəʊ̯	ˈoː	0.587
ˈəʊ̯	ˈuə̯	0.251
ˈəʊ̯	ˈo	0.144
ˈɛ	ˈe	0.561
ˈɛ	ˈɛi̯	0.181
ˈɛ	ˈæ	0.11
ˈɛː	ˈæ	0.45
ˈɛː	ˈæː	0.297
ˈɛː	ˈe	0.181
ˈʊ	ˈuə̯	0.488
ˈʊ	ˈu	0.28
ˈʊ	ˈyə̯	0.171
ˈʊɪ̯	ˈo	0.489
χ	χ	0.813
χ	ɡ̊	0.144
