Spanish	Neapolitan	probability
θ_ˈe	ʃː	1.0
β_e	v_ə	1.0
ˈo_ð	ˈu_tː	1.0
ˈo_t	ˈu	1.0
ˈe_θ	ʧ	1.0
ˈe_ɣ	ˈɔ_k	1.0
ˈe_s	ˈɔ_sː	1.0
ˈe_j	ˈe	1.0
ˈa_ɾ	ˈa	1.0
ˈa_t	ˈa_tː	1.0
ˈa	ˈa	1.0
ʧ	tː	1.0
ʝ	lː	1.0
ɾ_o	ɾ_ə	1.0
ɾ_k	r_k	1.0
ɾ_e	ə	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ð	t	1.0
w_ˈe	ˈɔ	1.0
u	u	1.0
r	rː	1.0
p	p	1.0
o_s	j_ə	1.0
o_l	u_l	1.0
n_d	nː	1.0
n	n	1.0
m_b	mː	1.0
m_a	m_ə	1.0
j_ˈe	ˈɛ	1.0
e_s	ʃ	1.0
d	d	1.0
b_ˈo	v_ˈu	1.0
b_j	v_j	1.0
a_ʝ	a_j	1.0
a_ɾ	r	1.0
a_ð	a_t	1.0
w	w	0.921
ˈi	ˈi	0.833
ˈu	ˈu	0.829
t	t	0.826
k	k	0.824
f	f	0.796
b	v	0.796
o	ə	0.749
m	m	0.716
a	ə	0.711
ɣ	k	0.706
s	s	0.682
l	l	0.674
θ_a	ə	0.648
θ	ʃ	0.59
ɾ	ɾ	0.53
i	i	0.53
j	-	0.515
ɟ͡ʝ	k_j	0.5
e	ə	0.49
j	j	0.485
ɲ	ɲː	0.473
i	-	0.47
β	p	0.466
x	ʎː	0.461
ˈo	ˈu	0.436
x	-	0.361
β	v	0.357
θ_a	ʦ_ə	0.352
ɲ	nː	0.343
ˈe	ˈɛ	0.333
ˈo	ˈo	0.32
ɣ	ɡ	0.294
ɟ͡ʝ	j	0.282
ˈe	ˈe	0.257
s	-	0.256
l	-	0.249
θ	ʃː	0.227
ɟ͡ʝ	-	0.218
e	-	0.205
ˈo	ˈɔ	0.204
f	fː	0.204
b	b	0.204
ˈe	ˈɔ	0.201
ɾ	ɾ_ə	0.2
a	a	0.2
e	i	0.195
ɲ	-	0.184
x	kː	0.178
ˈe	ˈi	0.177
t	tː	0.174
ˈu	ˈo	0.171
m	mː	0.159
θ	ʤ	0.156
k	kː	0.136
m	-	0.126
ˈi	i	0.115
ɾ	r	0.112
e	e	0.11
β	-	0.109
ɾ	ə	0.094
o	-	0.09
a	ˈa	0.089
w	ˈo	0.079
l	lː	0.077
o	o	0.073
o	u	0.07
β	bː	0.068
s	z	0.062
ˈi	-	0.052
