Insular North Frisian	Old English	probability
ˈʊ_k	kː	1.0
ˈɛː	ˈeo̯	1.0
ˈøː	-	1.0
ˈiː_n	ˈɑː_n	1.0
ˈaʊ̯	ˈo_v	1.0
ʁ̥_t	r_d	1.0
ʁ̥	r	1.0
ɪ	i	1.0
ɐ_n	r_n	1.0
tʲ	θ_ˈi	1.0
tʰ	θ	1.0
nʲ	n_d	1.0
lʲ	ɫ_d	1.0
l_ə	ɫ	1.0
kʰ	k	1.0
j	j	1.0
h	h	1.0
e	-	1.0
d_ˈiː	d_ˈeːo̯	1.0
b	b	1.0
aɪ̯	iːy̯	1.0
m	m	0.979
s	s	0.923
f	f	0.923
v	w	0.843
s_k	ʃ	0.835
t	t	0.833
r	r	0.829
p	p	0.823
ɡ	ɡ	0.812
ɾ	d	0.755
ŋ	ŋ_ɡ	0.674
ˈɔa̯	ˈæːɑ̯	0.654
ʃ	ʃ	0.648
d	θ	0.632
k	ʧ	0.6
n	n	0.586
ˈyː	ˈuː	0.5
ˈyː	-	0.5
l	ɫ	0.475
ˈɪ	ˈi	0.471
ˈoː	ˈæːɑ̯	0.466
ə	-	0.466
ç	ɣ	0.465
l	l	0.456
x	ç	0.444
ˈœ	ˈu	0.435
ˈaɪ̯	j	0.429
ˈɛ	-	0.412
ɐ	r	0.41
k	k	0.4
ˈuː	ˈo	0.385
ˈɔ	ˈo	0.383
x	x	0.382
ˈʏ	ˈuː	0.373
d	t	0.368
ˈʊ	ˈu	0.366
ʃ	s	0.352
ˈɪ	ˈiː	0.347
ɐ	e_r	0.333
ˈuː	ˈoː	0.308
ˈuː	w	0.308
ˈoː	ˈoː	0.298
ˈa	ˈɑ	0.288
ˈaɪ̯	ˈæ_j	0.286
ˈaɪ̯	-	0.286
ˈiː	ˈiː	0.273
ˈiː	ˈiːy̯	0.262
ˈoː	-	0.235
ˈɔ	ˈoː	0.234
ˈɔː	ˈɑ	0.231
ˈɔ	ˈu	0.227
n	n_d	0.214
ˈa	ˈæ	0.209
ɐ	o	0.208
ç	ʤ	0.203
ç	j	0.203
n	nː	0.199
ə	o	0.195
ˈɛ	ˈe	0.189
ɡ	ʧː	0.188
ə	e	0.188
ˈʏ	ˈu	0.186
ɾ	ð	0.184
ˈʏ	-	0.181
ˈɔː	ˈæːɑ̯	0.181
ˈɔː	ˈæɑ̯	0.181
ˈɔa̯	ˈæɑ̯	0.18
ŋ	ŋ	0.179
p	pː	0.177
x	xː	0.174
ˈeː	ˈæː	0.173
ˈeː	ˈæ	0.173
ˈeː	ˈe	0.173
ˈʊ	ˈi	0.17
ˈɛ	ˈeːo̯	0.169
ˈɔa̯	-	0.166
s_k	ʃː	0.165
ˈœ	-	0.162
v	h_w	0.157
ˈɔ	ˈi	0.156
ˈa	-	0.148
ˈœ	ˈɑ	0.147
ˈa	ˈæɑ̯	0.147
ŋ	-	0.147
ˈœ	ˈoː	0.142
ˈɔː	ˈæː	0.139
ˈɔː	ˈæ	0.134
ˈɔː	-	0.134
ˈeː	ˈeːo̯	0.134
ç	x	0.13
ˈeː	ˈeː	0.129
ˈeː	-	0.129
ˈiː	ˈɑː	0.117
ˈiː	-	0.117
ˈiː	ˈæː	0.115
ˈiː	ˈeːo̯	0.115
ə	i	0.115
ˈœ	ˈy	0.114
ˈʊ	ˈɑ	0.113
ˈʏ	ˈy	0.109
t	d	0.108
ˈɛ	ˈi	0.107
ˈɪ	ˈeː	0.105
ˈa	ˈiy̯	0.104
ˈa	ˈi	0.104
r	r_ˈeːo̯	0.101
ˈʊ	ˈɑː	0.089
ˈʊ	ˈeː	0.089
ˈeː	ˈi	0.089
ˈʊ	ˈoː	0.087
ˈʊ	-	0.087
ˈɛ	ˈy	0.086
ˈɪ	ˈeːo̯	0.077
s	z	0.077
f	v	0.077
ˈʏ	ˈyː	0.075
ˈʏ	ˈeːo̯	0.075
r	h_r	0.07
l	ɫː	0.069
ɾ	dː	0.061
t	tː	0.059
