Franco-Provençal	Western Lombard	probability
b	b	1.0
d	d	1.0
f	f	1.0
i	a	1.0
k	k	1.0
m	m	1.0
n	n	1.0
o	u	1.0
p	p	1.0
z	z	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ˈa	ˈa	1.0
ˈaː	ˈa	1.0
ˈĩ	ˈĩː	1.0
ˈo	ˈy	1.0
ˈoː	ˈɔ	1.0
ˈɑː	ˈa	1.0
ˈɔ̃	ˈũː	1.0
ˈɛ	ˈɛ	1.0
ˈɛ̃	ˈẽː	1.0
s	s	0.671
ð	d	0.051
ə	e	0.341
j	-	0.482
l	l	0.852
v	-	0.12
w	-	0.712
ʃ	k	0.712
ʎ	ˈø	0.352
ʎ	-	0.392
a	a	0.923
t	t	0.873
ˈe	ˈɛ	0.263
ˈɑ̃	ˈa	0.143
ð	ʤ	0.094
ʁ	r	0.844
ˈi	ˈe	0.404
ˈɛː	ˈɛ	0.414
ð	r	0.795
ð	-	0.06
ˈe	ˈa	0.26
ˈi	ˈi	0.596
a	-	0.077
ʎ	ʤ	0.257
ˈe	ˈi	0.097
ˈɑ̃	ˈãː	0.857
ˈɛː	-	0.237
j	j	0.518
l	j	0.108
v	ʋ	0.88
w	ˈu	0.288
ʃ	s	0.288
s	ʧ	0.329
t	s_t	0.119
ə	a	0.659
ʁ	-	0.079
ˈe	-	0.349
ˈɛː	ˈe	0.349
