Gascon	Gascon	probability
ˈɛ_r	ˈɛ_r	1.0
ˈɛ_j	ˈa	1.0
ˈy_ŋ	ˈỹ	1.0
ˈu_ŋ	ˈũ	1.0
ˈu_n	ˈũ	1.0
ˈo	ˈyː_l	1.0
ˈi_ŋ	ˈĩ	1.0
ˈi_z	ˈi	1.0
ˈi_#>	ˈi_#>	1.0
ˈe_j	ˈɛ	1.0
ˈa_t	ˈɑː_t	1.0
ˈa_s	ˈɑː_s	1.0
ˈa_#>	ˈa_#>	1.0
ʦ	s	1.0
ʤ	d	1.0
ʃ	s	1.0
ɾ_e	e_r	1.0
ɲ	ɲ	1.0
ɣ	ɡ	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
ɔ	a	1.0
ð	d	1.0
y	y	1.0
t_ɔ	t_a	1.0
s_e	s_e	1.0
r_t	r_t	1.0
r_#>	r_n_#>	1.0
r	r	1.0
p	p	1.0
n_ˈa	n_ˈøː	1.0
n_#>	t_#>	1.0
n	n	1.0
mː	m	1.0
lː	z	1.0
k_ɾ	k_r	1.0
k_l	ʧ	1.0
k_#>	k_#>	1.0
k	k	1.0
j_t	t	1.0
h	f	1.0
f	f	1.0
e_#>	#>	1.0
d	d	1.0
a_w	u	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a_r	<#_r	1.0
<#_a	<#_a	1.0
m	m	0.9
t_#>	l_#>	0.818
t	t	0.81
s	s	0.804
ˈa_ŋ	ˈã	0.8
ɾ	r	0.792
ˈe_ŋ	ˈẽ	0.75
a	a	0.737
s_#>	#>	0.714
j	-	0.692
ˈy	ˈyː	0.684
ˈɛ	ˈɛ	0.667
ˈa_w	ˈoː	0.667
β	v	0.625
ˈɔ	ˈɔ	0.6
z	-	0.6
w_ˈe	ˈøː	0.6
b	b	0.517
ˈa	ˈɑː	0.5
ʒ	ʒ	0.5
u	u	0.5
b	v	0.483
w_#>	l_#>	0.467
l	j	0.429
i	-	0.429
w	l	0.417
ˈi	ˈiː	0.4
z	ʒ	0.4
w_ˈe	ˈœ	0.4
w_#>	f_#>	0.4
ʎ	j	0.385
l	l	0.381
e	-	0.366
ˈe	ˈeː	0.364
ˈa_w	ˈɔ	0.333
w	-	0.333
ˈu	ˈuː	0.32
ˈu	ˈu	0.32
ʎ	ʧ	0.308
ˈa	ˈa	0.3
ʒ	ʤ	0.3
s_#>	p_#>	0.286
i	ĩ	0.286
i	i	0.286
#>	r_#>	0.286
ˈɔ	ˈøː	0.267
a	-	0.263
β	b	0.25
ˈe_ŋ	ẽ	0.25
u	y	0.25
u	-	0.25
e	e	0.244
ˈe	ˈɛ	0.242
ˈy	-	0.211
ˈa_ŋ	ˈɑː_n	0.2
ʒ	-	0.2
ˈɛ	ˈeː	0.19
t	ʧ	0.19
ˈe	-	0.182
t_#>	#>	0.182
w	w	0.167
ˈu	-	0.16
s	ʧ	0.157
ʎ	ˈøː_l	0.154
ʎ	-	0.154
j	j	0.154
j	d_e	0.154
ˈi	ˈi	0.15
ˈi	-	0.15
e	e_r	0.146
ˈɛ	ˈe	0.143
#>	s_#>	0.143
#>	a_#>	0.143
ˈɔ	-	0.133
w_#>	#>	0.133
β	-	0.125
ɾ	-	0.125
e	i	0.122
ˈe	ˈẽ	0.121
ˈu	ˈɔ	0.12
#>	ʧ_#>	0.107
#>	l_#>	0.107
ˈy	ˈi	0.105
ˈi	ˈĩ	0.1
ˈi	ˈiː_n	0.1
ˈi	j	0.1
ˈa	ˈã	0.1
m	-	0.1
l	u_l	0.095
l	-	0.095
ˈe	ˈe	0.091
ɾ	ˈeː	0.083
w	ˈo	0.083
ˈu	ˈy	0.08
e	r	0.073
#>	ˈi_#>	0.071
#>	k_#>	0.071
#>	f_#>	0.071
