Romanian	Romanian	probability
ˈɨ_j	ˈa	1.0
ˈə	ˈe	1.0
ˈi_n	ˈe	1.0
ˈau̯	ˈo_ɾ	1.0
ʧ	θ	1.0
ʦʲ	ð_o	1.0
ʒ	ʝ	1.0
ɨ	-	1.0
ŋ	-	1.0
z_b	b	1.0
z	d	1.0
v	b	1.0
t_ə	ð_a	1.0
r_u	ɾ_o	1.0
r_k	ɾ_k	1.0
p_t	ʧ	1.0
p_l	ɟ͡ʝ	1.0
p_j	p	1.0
p_#>	β_o_#>	1.0
o	o	1.0
nʲ	o_s	1.0
n_ʧʲ	ŋ_k	1.0
n_e_#>	n_#>	1.0
n_#>	n_o_#>	1.0
l_t	ʧ	1.0
l_#>	ʝ_o_#>	1.0
kʲ	x_o	1.0
k_r	k_ɾ	1.0
k_#>	ɣ_o_#>	1.0
j_#>	s_#>	1.0
f_ˈi	ˈi	1.0
f_r	e	1.0
e̯ˈa	ˈe	1.0
e_#>	#>	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʒ	<#_x	1.0
<#_ʃ	<#_s	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_f	<#	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
m	m	0.895
r	ɾ	0.836
<#_ʧ	<#_θ	0.818
ˈe	ˈe	0.8
ə	a	0.768
ˈa	ˈa	0.75
ɡ	ɡ	0.75
p	p	0.733
n	n	0.719
t_e	t_e	0.714
s	s	0.697
ˈɨ	ˈa	0.692
k	k	0.686
ʃ	θ	0.667
r_#>	l_o_#>	0.667
#>	o_#>	0.636
b	b	0.615
ʦ	θ	0.6
ʤ	-	0.6
e_r	ɾ	0.6
a	a	0.6
d	d	0.588
l	l	0.556
u	o	0.55
ˈi	ˈi	0.548
j	j	0.533
m_n	ɲ_o	0.5
m_n	ɲ	0.5
f	f	0.5
f	-	0.5
ˈo	w_ˈe	0.476
t	ð	0.467
t	t	0.433
d	-	0.412
ʦ	-	0.4
e_r	ˈe_ɾ	0.4
a	e	0.4
o̯ˈa	ˈo	0.389
b	β	0.385
ˈu	ˈo	0.378
w	ˈe_β	0.375
w	o	0.375
i	i	0.375
i	-	0.375
e	e	0.364
ˈu	ˈu	0.351
ʃ	-	0.333
r_#>	o_#>	0.333
o̯ˈa	w_ˈe	0.333
t_e	ˈe	0.286
o̯ˈa	-	0.278
ˈi	ˈe	0.258
ɡ	ɣ	0.25
w	-	0.25
i	e	0.25
e	a	0.242
ˈo	ˈo	0.238
l	ʝ	0.222
l	ɟ͡ʝ	0.222
ʤ	θ	0.2
ʤ	ɟ͡ʝ	0.2
u	u	0.2
j	x	0.2
ˈo	w	0.19
s	e_s	0.182
<#_ʧ	<#	0.182
p	-	0.167
ˈɨ	ˈi	0.154
ˈɨ	-	0.154
u	-	0.15
#>	e_#>	0.145
k	ɣ	0.143
j	ˈo_t	0.133
j	-	0.133
ˈi	j_ˈe	0.129
n	ˈe_n	0.125
e	ɾ	0.121
e	-	0.121
ˈa	ˈe	0.114
#>	a_#>	0.109
ˈu	w_ˈe	0.108
ˈu	w	0.108
m	-	0.105
r	l	0.104
ˈe	j_ˈe	0.1
ˈe	-	0.1
u	ɾ	0.1
t	-	0.1
p	β	0.1
ˈo	o_s	0.095
n	ɲ	0.094
ˈa	a	0.091
e	b_ɾ	0.091
ə	e	0.089
#>	s_#>	0.073
ə	o	0.071
ˈi	-	0.065
n	ŋ	0.062
s	x	0.061
s	-	0.061
e	n	0.061
k	ɟ͡ʝ	0.057
k	x	0.057
k	k_a	0.057
ˈu	ˈi	0.054
