Phone1	Phone2	Surprisal
a	a	0.613
a	e	1.531
b	b	0.978
b	β	1.022
d	-	0.882
d	d	1.128
e	e	1.383
e	a	2.027
e	-	2.495
e	ɾ	2.953
e	b_ɾ	4.226
e	n	6.484
e_r	ɾ	0.673
e_r	ˈe_ɾ	1.423
e̯ˈa	ˈe	0.0
f	f	0.966
f	-	1.035
f_r	e	0.0
f_ˈi	ˈi	0.0
i	i	1.334
i	-	1.692
i	e	1.766
j	j	0.71
j	x	2.228
j	-	3.085
j	ˈo_t	4.127
k	k	0.769
k	ɣ	2.146
k	x	3.495
k	ɟ͡ʝ	4.149
k	k_a	4.569
k_r	k_ɾ	0.0
kʲ	x_o	0.0
l	l	0.755
l	ʝ	2.172
l	ɟ͡ʝ	2.43
l_t	ʧ	0.0
m	m	0.249
m	-	2.656
m_n	ɲ_o	0.755
m_n	ɲ	1.296
n	n	0.451
n	ɲ	2.773
n	ˈe_n	3.588
n	ŋ	4.671
n_ʧʲ	ŋ_k	0.0
nʲ	o_s	0.0
o	o	0.0
o̯ˈa	ˈo	1.395
o̯ˈa	w_ˈe	1.529
o̯ˈa	-	1.871
p	p	0.593
p	-	2.305
p	β	2.894
p_j	p	0.0
p_l	ɟ͡ʝ	0.0
p_t	ʧ	0.0
r	ɾ	0.149
r	l	3.487
r	r	7.771
r	ˈi	7.807
r_k	ɾ_k	0.0
r_u	ɾ_o	0.0
s	s	0.354
s	e_s	2.973
s	x	4.063
s	-	5.049
t	ð	0.897
t	t	1.476
t	-	3.272
t_e	t_e	0.567
t_e	ˈe	1.621
t_ə	ð_a	0.0
u	o	0.858
u	-	2.496
u	u	2.605
u	ɾ	3.23
v	b	0.0
w	o	1.336
w	ˈe_β	1.699
w	-	1.758
z	d	0.0
z_b	b	0.0
ŋ	-	0.0
ə	a	0.373
ə	e	3.303
ə	o	3.921
ə	-	4.986
ə	ɾ	5.119
ɡ	ɡ	0.812
ɡ	ɣ	1.216
ɨ	-	0.0
ʃ	θ	0.448
ʃ	-	1.906
ʒ	ʝ	0.0
ʤ	-	0.558
ʤ	θ	2.59
ʤ	ɟ͡ʝ	2.693
ʦ	θ	0.509
ʦ	-	1.749
ʦʲ	ð_o	0.0
ʧ	θ	0.0
ˈa	ˈa	0.441
ˈa	ˈe	2.573
ˈa	a	4.236
ˈa	j_ˈe	4.561
ˈau̯	ˈo_ɾ	0.0
ˈe	ˈe	0.215
ˈe	j_ˈe	3.771
ˈe	-	3.944
ˈi	ˈi	0.964
ˈi	ˈe	1.824
ˈi	j_ˈe	2.748
ˈi	-	4.157
ˈi_n	ˈe	0.0
ˈo	w_ˈe	1.015
ˈo	ˈo	2.17
ˈo	w	2.816
ˈo	o_s	2.827
ˈu	ˈo	1.341
ˈu	ˈu	1.565
ˈu	w	3.188
ˈu	w_ˈe	3.188
ˈu	ˈi	4.387
ˈə	ˈe	0.0
ˈɨ	ˈa	0.46
ˈɨ	-	2.715
ˈɨ	ˈi	3.047
ˈɨ_j	ˈa	0.0
