Bavarian	Bavarian	probability
β	v	1.0
ˈuɐ̯_#>	ˈuː_#>	1.0
ˈu_n	ˈɵ_n	1.0
ˈou̯	ˈøː	1.0
ˈeː_#>	ˈøː_#>	1.0
ˈau̯	ˈʉː	1.0
ˈa	ˈa	1.0
ʋ_ˈo	ˈɵ	1.0
ʃ_d̥	s_t	1.0
ɡ̊_a	ɡː	1.0
ɑ	-	1.0
ɐ_ʦ	ʈː	1.0
ɐ_ʃ	ʂ	1.0
ɐ_n	ɳ	1.0
ɐ_d̥	rː	1.0
ŋ_#>	#>	1.0
ç	k	1.0
x_d̥	tː	1.0
s_n	t_a	1.0
s_#>	s_#>	1.0
r	r	1.0
n_#>	#>	1.0
i	-	1.0
f_#>	pː_#>	1.0
eɐ̯	ɔ	1.0
d̥_n	d_a	1.0
d̥_a	r	1.0
b̥͡v̥	pʰ	1.0
b̥_#>	v_#>	1.0
b̥	b	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_ˈøː	1.0
h	h	0.905
ʋ	v	0.8
kʰ	kʰ	0.8
ˈuɐ̯	ˈuː	0.778
<#_d̥	<#_tʰ	0.769
d̥	d	0.76
m	m	0.75
j	l	0.722
ˈeː	-	0.7
ʦ	tʰ	0.7
f	f	0.679
x	k	0.636
ˈɑː	ˈɑː	0.6
ˈai̯	ˈiː	0.588
l	l	0.588
ʃ	s	0.579
ɡ̊_#>	ɡ_#>	0.571
ˈe	ˈɛ	0.556
n	n	0.536
a	a	0.514
ˈoː	ˈoː	0.5
ˈoː	-	0.5
ˈiː	ˈʉː	0.5
ˈiː	-	0.5
ˈiɐ̯	ˈʉː	0.5
ə	a	0.5
ə	-	0.5
ɐ	r	0.5
ŋ_ɡ̊	ŋ	0.5
ŋ_ɡ̊	kː	0.5
ŋ	ŋː	0.5
ˈi	ˈɪ	0.478
ˈoɐ̯	ˈeː	0.467
ˈɒː	ˈɑː	0.455
s	s	0.455
ˈɑ	ˈa	0.444
ɡ̊	ɡ	0.444
ɡ̊_#>	#>	0.429
ˈɑː	ˈa	0.4
ˈo	ˈa	0.4
#>	a_#>	0.348
ˈɑ	ˈoː	0.333
ˈoɐ̯	ˈɛ	0.333
ˈaː	ˈɵ	0.333
ˈaː	ˈœ	0.333
ˈaː	ˈøː	0.333
ɡ̊	k	0.333
ˈi	-	0.304
ˈeː	ˈøː	0.3
ʦ	tː	0.3
ɐ	ˈœː_r	0.3
ˈe	-	0.278
ˈɒː	ˈoː	0.273
a	ɛ_r	0.27
ʃ	ɧ	0.263
#>	ɛ_#>	0.261
ˈu	ˈʏ	0.25
ˈu	ˈɔ	0.25
ŋ	ɡ_a	0.25
ŋ	a	0.25
m	mː	0.25
s	t	0.242
<#_d̥	<#	0.231
ˈɑ	ˈɑː	0.222
ˈuɐ̯	ˈøː	0.222
ɡ̊	ɡː	0.222
ˈoɐ̯	-	0.2
ʋ	-	0.2
ɐ	ˈæː_r	0.2
kʰ	ɕ	0.2
ˈu	ˈʊ	0.188
ˈu	-	0.188
ˈɒː	ˈa	0.182
x	kː	0.182
x	-	0.182
n	nː	0.179
n	a	0.179
f	p	0.179
ˈai̯	ˈyː	0.176
l	j	0.176
#>	r_#>	0.174
ˈiɐ̯	ˈyː	0.167
ˈiɐ̯	j_ˈʉː	0.167
ˈiɐ̯	-	0.167
j	lː	0.167
a	r	0.162
ʃ	s_k	0.158
ˈo	ˈɔ	0.15
ˈo	-	0.15
f	v	0.143
ˈi	ˈɵ	0.13
#>	k_#>	0.13
ˈu	ˈœ	0.125
s	ɧ	0.121
s	tː	0.121
ˈai̯	ˈɛ	0.118
ˈai̯	-	0.118
l	ɛ_l	0.118
l	-	0.118
ˈe	ˈɛː	0.111
j	-	0.111
n	-	0.107
ˈo	ˈɵ	0.1
ˈo	ˈœ	0.1
ˈo	ˈuː	0.1
h	j	0.095
ˈɒː	jː	0.091
ˈi	ˈeː	0.087
#>	ɡ_#>	0.087
d̥	-	0.08
s	sː	0.061
d̥	t	0.06
ˈe	ˈæ	0.056
a	ɛ	0.054
