Standard German	Insular North Frisian	probability
ˈɛː	-	1.0
ˈœ	ˈɛ	1.0
ˈøː	-	1.0
ˈiː_ɐ	ˈɪ	1.0
ˈaɪ̯_#>	ˈiː_#>	1.0
ˈa_n	ˈœ	1.0
ˈa_l	ˈɔa̯_l	1.0
ɪ	ɪ	1.0
ɡ̊	-	1.0
ɡ_n	ç	1.0
ɐ_n	ɐ_n	1.0
ŋ	ŋ	1.0
z̥_#>	s_#>	1.0
tʰ	d	1.0
t_n	ɾ	1.0
s_t	s_t	1.0
p͡f	pʰ	1.0
p	-	1.0
n_ˈaː	n	1.0
n_d̥	nʲ	1.0
n_d	nʲ	1.0
l_ˈuː	l	1.0
l	l	1.0
kʰ	kʰ	1.0
k_ə	ç	1.0
j	j	1.0
h	h	1.0
f_n	p	1.0
f_#>	p_#>	1.0
f	f	1.0
b̥_#>	f_#>	1.0
<#_n	<#_n	1.0
ə	-	0.939
m	m	0.929
ʁ	r	0.926
n	n	0.892
z	s	0.889
v	v	0.839
n_#>	#>	0.812
ɐ	ɐ	0.789
b	b	0.783
s	t	0.722
ˈeː	-	0.625
ˈoː	-	0.615
k	k	0.6
ʦ	tʰ	0.583
ˈʏ	ˈɛ	0.571
ɡ	ɡ	0.55
x	x	0.545
t	t	0.528
ʃ	s	0.517
ˈyː	ˈɛ	0.5
ˈyː	ˈøː	0.5
ˈɪ	ˈɪ	0.478
ˈaʊ̯	ˈʏ	0.471
d	tʰ	0.471
ˈaː	ˈɔː	0.467
d̥	-	0.462
x	k	0.455
ˈɔʏ̯	-	0.444
ˈʏ	-	0.429
ʦ	t	0.417
ʃ	s_k	0.414
ˈɛ	ˈɛ	0.4
ˈa	ˈa	0.4
ç	k	0.4
ˈoː	ˈɔa̯	0.385
ˈʊ	-	0.375
ˈeː	ˈiː	0.375
ˈɔʏ̯	ˈyː	0.333
ˈiː	ˈiː	0.333
ˈiː	-	0.333
ˈaː	-	0.333
ˈaɪ̯	ˈɪ	0.333
ç	ç	0.333
t	ɾ	0.333
d̥	n	0.308
ˈuː	ˈʊ	0.3
ˈuː	ˈɔ	0.3
ɡ	-	0.3
ˈɔ	ˈuː	0.294
d	d	0.294
ˈa	ˈɔː	0.267
ˈɪ	ˈɛ	0.261
ˈʊ	ˈʊ	0.25
ˈɔ	ˈɔ	0.235
ˈaʊ̯	-	0.235
d	ɾ	0.235
d̥	ɾ	0.231
ˈɔʏ̯	ˈʏ	0.222
ˈaɪ̯	ˈiː	0.208
ˈɛ	-	0.2
ˈuː	ˈʏ	0.2
ˈuː	ˈœ	0.2
ˈaː	ˈiː	0.2
k	ç	0.2
k	-	0.2
ˈʊ	ˈʏ	0.188
ˈʊ	ˈœ	0.188
n_#>	ə_#>	0.188
ˈɔ	ˈʊ	0.176
ˈɔ	-	0.176
ˈaʊ̯	ˈoː	0.176
ˈɪ	ˈʊ	0.174
ˈiː	ˈɪ	0.167
ˈiː	ˈɛ	0.167
s	d	0.167
v	-	0.161
ɡ	ç	0.15
t	-	0.139
ˈɛ	ˈɛː	0.133
ˈɛ	ˈeː	0.133
ˈɛ	ˈa	0.133
ç	ŋ	0.133
ç	-	0.133
b	-	0.13
ˈaɪ̯	ˈɛ	0.125
ˈaɪ̯	ˈeː	0.125
ˈaɪ̯	-	0.125
ˈɔ	ˈœ	0.118
ˈaʊ̯	ˈyː	0.118
z	ʃ	0.111
s	s	0.111
n	-	0.108
ɐ	r_ə	0.105
ˈa	ˈuː	0.1
ˈa	ˈeː	0.1
ˈɪ	ˈeː	0.087
b	f	0.087
ˈaɪ̯	ˈaɪ̯	0.083
ʁ	-	0.074
m	ˈoː	0.071
ʃ	-	0.069
ˈa	ˈʊ	0.067
ˈa	-	0.067
ə	m	0.061
ɐ	ə	0.053
ɐ	x	0.053
