Spanish	Romanian	probability
f	f	1.0
i	i	1.0
p	p	1.0
r	r	1.0
w	-	1.0
ð	t	1.0
ŋ	n	1.0
ɟ͡ʝ	l	1.0
ɣ	k	1.0
ʝ	l	1.0
ʧ	p_t	1.0
ˈu	ˈu	1.0
d	d	0.531
e	i	0.061
e	-	0.061
ˈi	-	0.051
a	-	0.112
e	e	0.672
j	j	0.402
l	l	0.512
n	-	0.112
x	j	0.132
θ	ʧ	0.592
a	e	0.123
a	ə	0.603
b	b	0.283
l	r_e	0.063
n	n_e	0.083
ɡ	ɡ	0.763
β	p	0.283
k	-	0.084
o	u	0.314
ɾ	r	0.544
ˈa	ˈa	0.734
ˈe	e	0.104
a	ˈa	0.065
l	-	0.385
m	-	0.065
m	m	0.935
o	-	0.115
o	w	0.25
s	ʃ	0.055
ɲ	n	0.335
ɲ	m_n	0.665
ˈe	e̯ˈa	0.055
ˈe	ˈi	0.245
ˈo	ˈo	0.205
e	ə	0.206
k	k	0.916
n	n	0.736
o	e	0.06
ˈa	ˈɨ	0.266
θ	ʦ	0.066
a	a	0.097
b	v	0.717
o	ə	0.247
s	-	0.197
ɡ	-	0.237
ˈo	o̯ˈa	0.207
θ	ʃ	0.307
j	-	0.598
s	s	0.748
x	-	0.868
ɾ	-	0.138
ɾ	r_e	0.318
ˈe	ˈa	0.198
ˈe	ˈe	0.398
ˈo	ˈu	0.538
β	b	0.128
d	z	0.469
n	<#_f	0.069
t	t	0.959
ˈi	ˈi	0.949
β	-	0.589
