Asturian	Logudorese	probability
b	b	1.0
d	d	1.0
f	f	1.0
i	i	1.0
m	m	1.0
n	n	1.0
p	p	1.0
r	r	1.0
t	t	1.0
w	-	1.0
ð	ð	1.0
ɡ	ɡ	1.0
ɣ	ɣ	1.0
ʧ	t	1.0
ˈa	ˈa	1.0
ˈi	ˈi	1.0
ˈu	ˈu	1.0
l	l_e	0.11
s	z	0.231
ŋ	-	0.111
ŋ	n_e	0.561
ˈe	ˈe	0.41
ˈo	ˈa	0.061
θ	-	0.121
j	-	0.222
s	-	0.072
ʝ	-	0.622
β	-	0.472
θ	k	0.482
e	i	0.273
l	l	0.733
ˈe	e	0.173
ˈo	ˈo	0.673
θ	ɣ_e	0.313
ɲ	nː	0.404
ɾ	r	0.524
θ	ɣ	0.084
o	ˈo	0.275
ɾ	r_e	0.235
ʃ	-	0.335
ʃ	j	0.665
ʎ	ɖː	0.145
ʎ	r	0.275
e	a	0.066
o	o	0.636
u	u	0.886
ˈo	ˈu	0.266
a	ˈa	0.077
k	k	0.917
s	s	0.697
ɲ	ɲː	0.347
ɾ	-	0.127
ˈe	ˈi	0.417
a	a	0.808
e	u	0.068
j	j	0.778
l	-	0.138
ŋ	m	0.328
ɲ	n	0.248
ɾ	e_r	0.068
ʎ	l	0.58
ʝ	k_r	0.378
β	β	0.528
e	e	0.489
o	-	0.089
