Swedish	Swabian	probability
a	a	0.506
a	-	0.42
b	b	1.0
d	d	0.887
d	-	0.066
e	ʌ	1.0
f	f	0.954
f	ʃ	0.051
h	h	0.932
h	kʰ	0.068
j	-	0.363
j	ɡ	0.269
j	ˈi	0.248
j	ˈɛː	0.079
jː	ˈaː	0.241
k	ç	0.493
k	ɡ	0.45
kʰ	kʰ	0.76
kʰ	-	0.239
kː	ŋ_ɡ	1.0
l	l	1.0
lː	l	0.517
lː	e	0.292
m	m	1.0
mː	m	0.491
n	n	0.677
n	-	0.277
nː	-	0.496
nː	l	0.194
nː	n	0.194
nː	s	0.085
p	f	0.677
p	b̥͡f	0.295
pː	f	1.0
r	ʁ	0.452
r	-	0.307
r	ʕ	0.097
r	d_ʌ	0.076
r_a	ʕ	1.0
rː	ɡ	0.241
s	s	0.641
s	ʃ	0.334
s_k	ʃ	1.0
sː	s	1.0
t	s	0.563
t	d	0.337
t	ʦ	0.079
tʰ	d	0.484
tʰ	ʦ	0.409
tʰ	b	0.066
tː	x_d	0.451
tː	s	0.219
tː	ʦ	0.145
tː	ç	0.076
v	ʋ	0.476
v	b	0.243
v	f	0.21
v	p͡f	0.056
ŋ	ɡ	0.334
ŋ	a	0.253
ŋ	ŋ	0.253
ŋ	i	0.1
ŋː	ŋ	1.0
ɕ	d	0.561
ɕ	kʰ	0.197
ɕ	ʦ	0.111
ɖ	ʕ	0.491
ɛ	-	0.487
ɛ	ʌ	0.437
ɛ	ɐ	0.068
ɡ	ɡ	0.845
ɡ	-	0.109
ɡː	ɡ	0.733
ɡː	-	0.265
ɧ	ʃ	0.776
ɧ	s	0.172
ɪ	ɪ	1.0
ɳ	ʕ	1.0
ɳː	ʕ	1.0
ɵ	-	0.629
ɵ	ɪ	0.361
ʈː	ʦ	0.491
ʊ	n	0.26
ʊ	ˈeə̯	0.26
ʊ	-	0.147
ˈa	ˈa	0.768
ˈa	ˈɔː	0.107
ˈa	ˈɛ	0.107
ˈa_n	ˈaː	0.491
ˈeː	ˈɔe̯	0.336
ˈeː	ˈae̯	0.279
ˈeː	ˈeː	0.14
ˈeː	ˈi	0.101
ˈeː	ˈɛː	0.101
ˈeː_n	ˈɔe̯	1.0
ˈiː	ˈəi̯	0.8
ˈiː	-	0.094
ˈiː	ˈae̯	0.089
ˈoː	ˈoː	0.309
ˈoː	ˈɔː	0.262
ˈoː	ˈaː	0.16
ˈoː	ˈa	0.092
ˈoː	ˈɔe̯	0.092
ˈoː	ˈo	0.07
ˈuː	ˈuə̯	0.499
ˈuː	ˈu	0.121
ˈuː	ˈɔ	0.09
ˈuː	ˈuː	0.085
ˈuː	ˈɛ	0.085
ˈuː	ˈao̯	0.065
ˈyː	ˈəi̯	0.384
ˈyː	ˈi	0.247
ˈyː	ˈiə̯	0.247
ˈyː	ˈiː	0.063
ˈæ	ˈe	0.491
ˈæː	ˈɛ	1.0
ˈøː	ˈoː	0.33
ˈøː	ˈao̯	0.181
ˈøː	ˈeː	0.119
ˈøː	-	0.089
ˈøː	ˈiə̯	0.089
ˈøː	ˈɛ	0.068
ˈøː	ˈeə̯	0.066
ˈœ	ˈae̯	0.209
ˈœ	ˈɔ	0.158
ˈœ	-	0.111
ˈœ	ˈo	0.107
ˈœ	ˈu	0.081
ˈœ	ˈɪ	0.08
ˈœ	ˈao̯	0.078
ˈœ	ˈiə̯	0.075
ˈœː	ˈoː	0.574
ˈœː	ˈeː	0.282
ˈɑː	ˈa	0.582
ˈɑː	ˈaː	0.351
ˈɑː	-	0.061
ˈɔ	ˈi	0.242
ˈɔ	ˈɔ	0.195
ˈɔ	ˈo	0.164
ˈɔ	ˈa	0.157
ˈɔ	ˈe	0.062
ˈɛ	ˈɛ	0.363
ˈɛ	ˈa	0.126
ˈɛ	-	0.109
ˈɛ	ˈɔe̯	0.109
ˈɛ	ˈi	0.072
ˈɛ	ˈe	0.057
ˈɛː	ˈɛ	0.258
ˈɛː	ˈɛː	0.224
ˈɛː	ˈaː	0.148
ˈɛː	ˈɔː	0.148
ˈɛː	ˈɔe̯	0.104
ˈɛː	ˈoː	0.073
ˈɪ	ˈe	0.297
ˈɪ	ˈi	0.297
ˈɪ	ˈɪ	0.177
ˈɪ	-	0.116
ˈɪ	ˈeː	0.089
ˈɵ	ˈo	0.347
ˈɵ	ʋ_ˈo	0.12
ˈɵ	ˈae̯	0.113
ˈɵ	ˈao̯	0.113
ˈɵ	ˈoː	0.113
ˈɵ	ˈɪ	0.086
ˈɵ	ˈeː	0.062
ˈʉː	ˈao̯	0.474
ˈʉː	ˈɔ	0.133
ˈʉː	ˈiə̯	0.116
ˈʉː	ˈeə̯	0.088
ˈʉː	ˈuː	0.07
ˈʉː	ˈiː	0.055
ˈʉː	ˈa	0.054
ˈʊ	ˈo	0.644
ˈʊ	ˈɔə̯	0.24
ˈʏ	ˈu	0.463
ˈʏ	ˈɛ	0.15
ˈʏ	ˈəi̯	0.142
ˈʏ	ˈʌ	0.142
