Aromanian	Aromanian	probability
ˈɨ_n	ˈa	1.0
ˈə	-	1.0
ʧ	s	1.0
ʦ_i	ʦ	1.0
ʤ	ʤ	1.0
ʃ_t	j_s	1.0
ɨ	-	1.0
ə_m	mː	1.0
ə_#>	#>	1.0
ŋ	-	1.0
ç	f	1.0
z	-	1.0
v_r	w_ʀ	1.0
v	b	1.0
t_i_#>	#>	1.0
r_ˈa	ɾ_ˈa	1.0
r_u	ɾ_e	1.0
r_n	ʀ	1.0
r_i_#>	#>	1.0
r_#>	l_#>	1.0
p_t	ʧ	1.0
n_#>	#>	1.0
m_t_u_#>	n_#>	1.0
m_i	nː	1.0
l_t	t	1.0
k_ʎ	l	1.0
k_u	k_u	1.0
k_r	k_ɾ	1.0
k_#>	k_#>	1.0
j_#>	s_#>	1.0
i_r	ɾ	1.0
i_#>	#>	1.0
e̯a	-	1.0
e	-	1.0
d_e̯ˈa	j	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_s	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a_r	<#_ʀ	1.0
<#_a	<#	1.0
m	m	0.917
ˈa	ˈa	0.857
l	l	0.846
f	f	0.833
b	b	0.833
ʎ	l	0.812
ə	ɔ	0.792
n	n	0.781
s	s	0.778
ˈɨ	ˈa	0.75
ɡ	ɡ	0.75
k	k	0.727
e̯ˈa	ˈe	0.684
p	p	0.63
u	-	0.615
ˈu	ˈu	0.571
ɲ	m	0.571
d	d	0.562
j	b	0.556
ˈo	ˈɔ	0.55
ˈi	ˈi	0.545
ˈe	ˈɛ	0.533
i	e	0.521
ʃ	s	0.5
w	w	0.5
a	a	0.5
<#	<#_k	0.5
<#	<#_a	0.5
#>	w_#>	0.5
#>	s_#>	0.5
t	t	0.444
j	-	0.444
d	-	0.438
ɲ	-	0.429
r	ɾ	0.422
ʣ	d	0.417
ʦ	-	0.357
ˈe	ˈe	0.333
ʣ	ʤ	0.333
o̯ˈa	ˈɔ	0.333
o̯ˈa	ˈu	0.333
o̯ˈa	-	0.333
r	ʀ	0.311
a	-	0.3
ˈu	ˈy	0.286
ʦ	s	0.286
u	u	0.269
t	ð	0.259
p	-	0.259
ˈɨ	-	0.25
ʣ	-	0.25
ʃ	j	0.25
ʃ	-	0.25
ɡ	ɣ	0.25
w	ˈɔ_w	0.25
w	-	0.25
t	-	0.222
n	-	0.219
ʦ	k	0.214
e̯ˈa	ˈɛ	0.211
ˈo	ˈu	0.2
a	e	0.2
ʎ	ʎ	0.188
ˈi	ˈe	0.182
f	-	0.167
b	β	0.167
l	-	0.154
ˈi	ˈɛ	0.152
ˈo	ɥ	0.15
s	e_s	0.148
ˈa	ˈɛ	0.143
ʦ	z	0.143
ˈe	j_ˈɛ	0.133
ˈi	-	0.121
r	l	0.111
p	β	0.111
e̯ˈa	ˈa	0.105
ə	a	0.104
i	ɔ	0.104
i	-	0.104
ˈo	ɥ_ˈɔ	0.1
k	ˈɛ	0.091
ˈu	-	0.086
m	-	0.083
i	ˈɛ	0.083
i	ˈa	0.083
u	a_w	0.077
t	j_ɾ	0.074
s	-	0.074
r	s	0.067
ə	-	0.062
i	j	0.062
k	ɣ	0.061
k	p	0.061
k	-	0.061
ˈu	ˈi	0.057
