Ladin	Friulian	probability
a	e	0.706
a	a	0.156
a	-	0.121
b	b	1.0
d	d	0.797
d	-	0.135
d	ʧ	0.055
e	i	0.614
e	e	0.201
e	o	0.062
f	f	0.968
i	i	0.441
i	-	0.388
i	u	0.171
j	-	0.477
j	j	0.352
j	ˈeː	0.118
k	k	0.99
l	l	0.944
m	m	0.95
n	n	0.918
o	o	0.608
o	u	0.281
o	ˈuː	0.085
p	p	0.963
r	r	0.972
s	s	1.0
t	t	0.953
u	o	0.622
u	u	0.378
v	v	0.744
v	-	0.141
v	p	0.06
v	f	0.055
w	ˈuː	0.247
w	-	0.211
w	ˈɔ	0.17
w	l	0.14
w	w	0.136
w	a	0.055
z	z	1.0
ŋ	ŋ	0.862
ŋ	n	0.138
ɡ	ɡ	0.829
ɡ	-	0.113
ɲ	ɲ	0.825
ɲ	n	0.175
ʃ	s	0.892
ʃ	z	0.108
ʒ	ʤ	0.35
ʒ	z	0.28
ʒ	-	0.223
ʒ	ʧ	0.122
ʤ	ʤ	0.664
ʤ	ʧ	0.336
ʥ	ɟ	0.662
ʥ	-	0.211
ʥ	ɡ	0.127
ʦ	ʧ	0.953
ʧ	ʧ	1.0
ʨ	c	0.771
ʨ	ʧ	0.152
ˈa	ˈa	0.968
ˈe	ˈe	0.349
ˈe	ˈaː	0.282
ˈe	-	0.185
ˈe	ˈɛ	0.068
ˈe	ˈo	0.059
ˈi	ˈi	0.808
ˈi	ˈiː	0.162
ˈo	ˈo	0.539
ˈo	ˈoː	0.128
ˈo	w	0.078
ˈo	ˈu	0.073
ˈo	ˈɔ	0.073
ˈu	ˈu	0.625
ˈu	ˈuː	0.328
ˈɔ	w	0.672
ˈɔ	ˈɔ	0.273
ˈɛ	ˈɛ	0.32
ˈɛ	ˈi	0.181
ˈɛ	ˈa	0.152
ˈɛ	ˈaː	0.129
ˈɛ	-	0.113
ˈɛ	ˈɛː	0.056
