Saterland Frisian	Standard German	probability
ˈɔː_r	ɐ	1.0
ˈyː	ˈɔʏ̯	1.0
ˈuː_m	ˈɔ_m	1.0
ˈu	-	1.0
ˈoːu̯_n	ˈa_n	1.0
ˈoːu̯_d	ˈɔ	1.0
ˈoː_d	ˈoː_t	1.0
ˈiː_r	ɐ	1.0
ˈiː_n	ˈɪ_n	1.0
ˈi_n	ˈaɪ̯_n	1.0
ˈi_#>	ˈiː_ɐ_#>	1.0
ˈeː_#>	ˈeː_#>	1.0
ˈaːu̯	-	1.0
ˈaːi̯	-	1.0
ə_r	ɐ	1.0
ŋ	ŋ	1.0
z	z	1.0
w	-	1.0
t_ə	s_n	1.0
s_t	s_t	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
p_ə	f_n	1.0
p_#>	f_#>	1.0
p	p͡f	1.0
n_ˈɔː	n_ˈa	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
k_s	k_s	1.0
j_ˈʊ	ˈɪ	1.0
j_ˈuː	ˈɔʏ̯	1.0
j_ˈoː	ˈiː	1.0
j_ə	n	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
b	b	1.0
a	-	1.0
<#_t	<#_d	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#_d	<#_tʰ	1.0
<#	<#_tʰ	1.0
n	n	0.935
v	v	0.871
ˈɪ	ˈɪ	0.867
ɣ	ɡ	0.842
k_#>	ç_#>	0.75
n_ə	n_ə	0.667
ˈi	ˈaɪ̯	0.625
ˈʊ	ˈʊ	0.615
ˈa	ˈa	0.6
ɪ	ɪ	0.6
ə_n	ɐ_n	0.6
ˈɔ	ˈɔ	0.571
s	z	0.548
#>	n_#>	0.545
r	ʁ	0.538
ˈoːu̯	ˈuː	0.533
ˈeː	ˈaɪ̯	0.533
ə	ə	0.5
k	k	0.5
d_ə	t_n	0.5
d_ə	d	0.5
ˈuː	ˈaʊ̯	0.471
ˈiː	ˈɪ	0.444
ˈɔː	ˈa	0.438
ˈɔ	ˈa	0.429
ˈaː	ˈa	0.429
j	-	0.417
r	ɐ	0.41
ˈɛː	ˈʏ	0.4
ˈɛː	ˈa	0.4
ˈa	ˈɛ	0.4
ɪ	-	0.4
ə_n	n	0.4
s	ʃ	0.387
ˈi	ˈiː	0.375
t	t	0.372
d	t	0.366
d	d̥	0.366
ˈɛ	ˈɛ	0.364
x	ç	0.364
t	ʦ	0.349
ˈiː	ˈaɪ̯	0.333
n_ə	n	0.333
ˈɛɪ̯	-	0.294
ˈaː	ˈaɪ̯	0.286
ˈaː	-	0.286
t	s	0.279
ˈɛ	ˈaː	0.273
x	x	0.273
#>	b̥_#>	0.273
ˈɔː	ˈaː	0.25
k_#>	x_#>	0.25
k	ç	0.25
k	x	0.25
j	ˈiː	0.25
ˈoː	ˈaʊ̯	0.24
ˈɛɪ̯	ˈyː	0.235
ˈuː	ˈʊ	0.235
ˈʊ	ˈɔ	0.231
x	-	0.227
ˈiː	ˈɛ	0.222
d	d	0.22
ˈɛː	-	0.2
ˈoːu̯	ˈɔ	0.2
ˈoː	ˈa	0.2
ˈoː	-	0.2
ˈeː	ˈɛ	0.2
ə	n	0.2
ˈɔː	ˈʊ	0.188
ˈɛ	ˈaɪ̯	0.182
ˈɛ	-	0.182
#>	f_#>	0.182
ˈɛɪ̯	ˈaː	0.176
ˈɛɪ̯	ˈaɪ̯	0.176
ˈuː	ˈoː	0.176
j	ɡ	0.167
j	j	0.167
ˈoː	ˈoː	0.16
ə	ə_n	0.16
ɣ	-	0.158
ˈʊ	-	0.154
ə	-	0.14
x	k	0.136
ˈɪ	-	0.133
ˈoːu̯	ˈɔ_ɐ	0.133
ˈoːu̯	ˈoː	0.133
ˈeː	ˈøː	0.133
ˈeː	-	0.133
ˈɔː	-	0.125
ˈoː	ˈaː	0.12
ˈɛɪ̯	ˈɛ_ɐ	0.118
ˈuː	ˈɔʏ̯	0.118
ˈoː	ˈaɪ̯	0.08
v	b	0.065
v	-	0.065
s	-	0.065
n	-	0.065
r	t_ɐ	0.051
