Scots	Ripuarian	probability
b	b	0.965
d	d	0.447
d	t	0.327
d	k	0.102
d	-	0.054
e	ə	0.673
e	ɐ	0.327
f	f	1.0
h	h	0.967
i	ɐ	0.5
i	ɪ	0.5
iː	e	1.0
j	j	0.62
j	ˈaʊ̯	0.153
j	ˈɛː	0.102
j	-	0.089
k	ɕ	0.34
k	k	0.336
k	x	0.192
k	-	0.072
k	ɣ	0.06
kʰ	k	0.878
kʰ	f	0.122
l	l	0.965
m	m	0.974
n	n	0.727
n	ŋ	0.273
p	f	0.728
p	p	0.272
pʰ	p	0.568
pʰ	f	0.432
r	ɐ	0.466
r	ʀ	0.371
r	-	0.162
s	z	0.481
s	ʃ	0.27
s	s	0.169
t	s	0.604
t	t	0.233
t	ʦ	0.163
tʰ	ʦ	0.96
v	v	0.536
v	f	0.464
w	ʋ	0.884
w	-	0.08
x	ɕ	0.507
x	x	0.412
x	-	0.081
z	z	0.456
z	ʀ	0.43
z	s	0.114
ç	k	1.0
ð	d	1.0
ŋ	ŋ	1.0
ə	ɐ	0.841
ə	ə	0.096
ə	-	0.054
əi̯	ə	1.0
ɡ	j	0.685
ɡ	k	0.212
ɡ	-	0.102
ɪ	ɐ	0.848
ɪ	ə	0.152
ɫ	l	1.0
ɹ	ʀ	1.0
ʃ	ʃ	1.0
ʍ	ʋ	0.894
ʍ	v	0.106
ʧ	ɕ	0.813
ʧ	k	0.187
ˈa	ˈɛ	1.0
ˈaːɪ̯	ˈœ	0.673
ˈaːɪ̯	ˈuː	0.327
ˈe	ˈeː	0.331
ˈe	ˈaː	0.181
ˈe	ˈa	0.097
ˈe	ˈoː	0.075
ˈe	-	0.075
ˈe	ˈiː	0.053
ˈei̯	ˈaʊ̯	0.227
ˈei̯	ˈuː	0.185
ˈei̯	ˈyː	0.132
ˈei̯	ˈoː	0.098
ˈei̯	ˈøː	0.076
ˈei̯	ˈɛː	0.076
ˈei̯	ˈɛ	0.057
ˈei̯	ˈɪ	0.057
ˈeː	ˈoː	0.315
ˈeː	ˈaː	0.208
ˈeː	ˈiː	0.181
ˈeː	ˈo	0.181
ˈeː	ˈa	0.116
ˈi	ˈɛ	0.421
ˈi	ˈeː	0.381
ˈi	ˈiː	0.071
ˈi	ˈoː	0.065
ˈi	ˈøː	0.062
ˈiː	ˈeː	0.198
ˈiː	ˈøː	0.153
ˈiː	ˈoː	0.123
ˈiː	ˈɪ	0.113
ˈiː	ˈyː	0.1
ˈiː	ˈiː	0.068
ˈiː	ˈœ	0.058
ˈiː	ˈeɪ̯	0.055
ˈoe̯	ˈɛ	1.0
ˈø	ˈoː	0.609
ˈø	ˈa	0.136
ˈø	ˈo	0.096
ˈø	ˈɔ	0.093
ˈø	ˈe	0.067
ˈɑ	ˈa	0.865
ˈɑ	ˈɛ	0.107
ˈɑː	ˈa	0.655
ˈɑː	ˈaː	0.098
ˈɑː	ˈiː	0.089
ˈɑː	ˈeː	0.084
ˈɑː	ˈɪ	0.073
ˈɔ	ˈɔ	0.412
ˈɔ	ˈoː	0.277
ˈɔ	ˈo	0.171
ˈɔ	ˈyː	0.069
ˈəi̯	ˈɪ	0.293
ˈəi̯	ˈe	0.205
ˈəi̯	ˈiː	0.174
ˈəi̯	ˈʏ	0.125
ˈəi̯	ˈyː	0.12
ˈɛ	ˈɛ	0.293
ˈɛ	ˈɛː	0.202
ˈɛ	ˈeː	0.181
ˈɛ	ˈaː	0.1
ˈɛ	ˈoː	0.085
ˈɛ	ˈeɪ̯	0.062
ˈɛ	ˈa	0.057
ˈɪ	ˈe	0.197
ˈɪ	ˈɪ	0.175
ˈɪ	ˈa	0.088
ˈɪ	ˈœ	0.087
ˈɪ	ˈoː	0.082
ˈɪ	ˈʏ	0.051
ˈʉ	ˈuː	0.311
ˈʉ	ˈaʊ̯	0.172
ˈʉ	ə	0.104
ˈʉ	ˈo	0.101
ˈʉ	ˈɔ	0.079
ˈʉ	ˈoː	0.069
ˈʉ	ˈoʊ̯	0.056
ˈʉː	ˈuː	1.0
ˈʌ	ˈo	0.436
ˈʌ	ˈʊ	0.275
ˈʌ	ˈu	0.245
ˈʌʉ̯	ˈiː	0.488
ˈʌʉ̯	ˈo	0.243
ˈʌʉ̯	ˈʏ	0.186
ˈʌʉ̯	ˈɔ	0.083
θ	d	0.65
θ	t	0.286
