Čakavian	Belarusian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʐ	1.0
ʃ	ʂ	1.0
ɲ	nʲ	1.0
ɡ	ɣ	1.0
x	x	1.0
uː	u	1.0
r_e	r_a	1.0
r_#>	r_#>	1.0
ôː	ˈo	1.0
o	a	1.0
j	j	1.0
êː	ˈæ	1.0
ê	ˈe	1.0
eː	æ	1.0
b	b	1.0
ǎː	r_ˈo	1.0
aː	a	1.0
<#_r	<#_r	1.0
#>	ɨ_#>	0.818
n	n	0.75
k	k	0.708
r	r	0.692
â	ˈa	0.688
îː	ˈe	0.667
î	ˈe	0.667
d	d	0.667
p	p	0.636
i	-	0.6
ʋ	vʲ	0.579
t	ʦʲ	0.552
s	s	0.55
l	ɫ	0.545
ô	ˈo	0.538
m	m	0.538
z	zʲ	0.5
z	z	0.5
ûː	ˈu	0.5
ûː	ˈo_w	0.5
m	mʲ	0.462
l	lʲ	0.455
e	æ	0.455
s	sʲ	0.45
t	t	0.448
ʋ	v	0.421
i	ˈi	0.4
a	a	0.368
p	pʲ	0.364
e	a	0.364
îː	ˈɨ	0.333
î	ˈɨ	0.333
d	ʣʲ	0.333
n	nʲ	0.25
ô	v_ˈo	0.231
ô	a	0.231
a	ˈa	0.211
a	-	0.211
â	ˈo	0.188
e	e	0.182
#>	a_#>	0.182
k	i	0.167
r	r_a	0.154
r	a	0.154
k	x	0.125
â	ˈæ	0.125
a	kʲ	0.105
a	e	0.105
