Proto-Balto-Slavic	Proto-Balto-Slavic	probability
ʃ	ʃ	1.0
ɡ	ɡ	1.0
ɛ	ɛ	1.0
ŋˀ	ŋˀ	1.0
ŋ	ŋ	1.0
zʲ	zʲ	1.0
z	z	1.0
w	w	1.0
úːˀ	úːˀ	1.0
úː	úː	1.0
ú	ú	1.0
u	u	1.0
t	t	1.0
sʲ	sʲ	1.0
s	s	1.0
rˀ	rˀ	1.0
r	r	1.0
p	p	1.0
óːˀ	óːˀ	1.0
óː	óː	1.0
oːˀ	oːˀ	1.0
oː	oː	1.0
o	o	1.0
nˀ	nˀ	1.0
n_s	n_s	1.0
n	n	1.0
m	m	1.0
lˀ	lˀ	1.0
l	l	1.0
k	k	1.0
j	j	1.0
í	í	1.0
iːˀ	iːˀ	1.0
iː	iː	1.0
i	i	1.0
éː	éː	1.0
éi̯ˀ	éi̯ˀ	1.0
é	é	1.0
eːˀ	eːˀ	1.0
eː	eː	1.0
ei̯	ei̯	1.0
e	e	1.0
d	d	1.0
b	b	1.0
áːˀ	áːˀ	1.0
áu̯ˀ	áu̯ˀ	1.0
áu̯	áu̯	1.0
ái̯ˀ	ái̯ˀ	1.0
ái̯	ái̯	1.0
á	á	1.0
aːˀ	aːˀ	1.0
aː	aː	1.0
au̯	au̯	1.0
ai̯ˀ	ai̯ˀ	1.0
ai̯	ai̯	1.0
a	a	1.0
