Old English	Middle High German	probability
θ	d	1.0
ˈɑː_w	ˈeː	1.0
ˈɑː	ˈei̯	1.0
ˈɑ	ˈɑ	1.0
ˈæɑ̯	ˈɑ	1.0
ˈæ	ˈɑ	1.0
ˈoː_n	ˈɑː_n	1.0
ˈiː	ˈiː	1.0
ˈi_ç	ˈɑ_x	1.0
ˈeːo̯_w	ˈiə̯	1.0
ʧː	kː	1.0
ʤ	kː_ə	1.0
ʃ	ʃ	1.0
ɫː	lː	1.0
ɫ	l	1.0
ɣ̊	ɡ̊	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ɑ	ə	1.0
ŋ	ŋ	1.0
ð	d	1.0
z_e	s_ə	1.0
xː	xː	1.0
x	x	1.0
v	b	1.0
u	-	1.0
tː	ʦː	1.0
s_t	s_t	1.0
s_l	ʃ_l	1.0
rː	rː	1.0
r_ˈeːo̯	r	1.0
r_n	r_n	1.0
r_e	r_ə	1.0
pː	-	1.0
o	ə	1.0
nː	nː	1.0
n	n	1.0
mː	mː	1.0
m	m	1.0
l	l	1.0
kː	kː	1.0
iːy̯	ɛ_h	1.0
i_ɑ	ə	1.0
h_w	w	1.0
h_l	l	1.0
dː	tː	1.0
d_ɑ	d_ə	1.0
d_r	t_r	1.0
d_e	t_ə	1.0
bː	b	1.0
b	b	1.0
a	-	1.0
r	r	0.967
w	w	0.944
f	v	0.919
e	ə	0.91
ˈeo̯	ˈɛ	0.872
ˈi	ˈi	0.858
p	f	0.845
d	t	0.841
h	h	0.827
ˈoː	ˈuə̯	0.808
s	s	0.776
ˈuː	ˈuː	0.767
ˈo	ˈo	0.73
ˈy	ˈy	0.722
ʧ	xː	0.635
ˈu	ˈu	0.627
ˈeːo̯	ˈiə̯	0.61
i	ə	0.58
ˈyː	-	0.574
ˈæː	ˈɑː	0.546
ˈeː	ˈyə̯	0.509
ˈiy̯	ˈɑ	0.5
ˈiy̯	-	0.5
n_e	ə	0.5
n_e	n_ə	0.5
k	kʰ	0.497
ˈeː	-	0.491
ˈiːy̯	ˈøː	0.471
ˈyː	ˈyː	0.426
ˈe	ˈɛ	0.407
t	s̻	0.4
j	ɡ	0.386
ˈiːy̯	ˈyː	0.382
ˈe	ˈe	0.372
ˈæːɑ̯	ˈoː	0.365
ʧ	kʰ	0.365
ˈæːɑ̯	ˈou̯	0.308
ˈy	ˈu	0.278
ˈæː	ˈei̯	0.276
j	ɡ_ə	0.262
ˈu	ˈo	0.256
t	t	0.242
k	k	0.237
i	-	0.226
s	ʃ	0.224
ˈe	-	0.221
ˈæːɑ̯	ˈɑː	0.207
j	-	0.193
i	i	0.193
ˈoː	ˈɑ_n	0.192
t	s̻ː	0.189
ˈæː	-	0.178
h	-	0.173
t	ʦ	0.168
j	j	0.16
d	d̥	0.159
ˈo	-	0.155
ˈiːy̯	ˈæː	0.147
k	x	0.142
ˈeːo̯	ˈiː	0.138
ˈeːo̯	ˈyː	0.129
ˈeo̯	ˈi	0.128
ˈeːo̯	-	0.123
k	-	0.123
ˈuː	ˈu_n	0.118
ˈu	-	0.117
ˈuː	-	0.115
ˈo	ˈu	0.114
p	p	0.101
e	-	0.09
ˈi	ˈɛ	0.089
f	f	0.081
ˈæːɑ̯	ɑː	0.079
w	-	0.056
p	fː	0.055
ˈi	-	0.053
