Swiss German	Swiss German	probability
χː_#>	k_#>	1.0
ˈɒː_r	ˈiə̯_r	1.0
ˈɒ_l	ˈɔː	1.0
ˈøi̯	-	1.0
ˈø	-	1.0
ˈæː	-	1.0
ˈæi̯_#>	ˈiə̯_n_#>	1.0
ˈoː_d̥	ˈɪə̯	1.0
ˈo_r	ˈoə̯	1.0
ˈi_n	ˈiː_n	1.0
ˈei̯	ˈɛ_j	1.0
ʦ	t	1.0
ɣ̊	ʦ	1.0
ɡ̊_#>	#>	1.0
ə_r	r	1.0
ə_#>	#>	1.0
æ	ɪ_n	1.0
z̥_#>	s_#>	1.0
w	-	1.0
v̥	f	1.0
tː_#>	#>	1.0
sː_#>	s_#>	1.0
p͡f	p	1.0
m_#>	m_#>	1.0
m	m	1.0
l_#>	l_#>	1.0
j	j	1.0
i_ɡ̊	ə_χ	1.0
i	ɪ	1.0
h	h	1.0
fː_#>	f_#>	1.0
d̥_#>	#>	1.0
b̥_ə	v_ə	1.0
<#_ɣ̊	<#_k	1.0
<#_ɡ̊	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d̥	<#_t	1.0
<#	<#_j	1.0
ə	ə	0.931
l	l	0.929
b̥	b	0.905
sː	t	0.889
n	n	0.862
fː	p	0.818
z̥	s	0.81
ˈuə̯	ˈuə̯	0.8
r	r	0.792
ʃː	s	0.769
ˈæi̯	-	0.75
ˈyə̯	ˈiə̯	0.75
ʋ	ʋ	0.731
ˈau̯	ˈɪə̯	0.714
ʒ̊	s	0.7
ˈuː	ˈuː	0.667
ˈiə̯	j	0.667
ŋ	ŋ	0.636
kː	k	0.636
ˈi	ˈɪ	0.632
ˈe	-	0.6
b̥_#>	#>	0.571
ˈo	ˈɔ	0.545
ˈøː	ˈɪə̯	0.5
ˈøː	-	0.5
ˈy	ˈɪ	0.5
ˈeː	ˈiə̯	0.5
ˈeː	ˈeː	0.5
ɡ̊	ɡ	0.5
ˈiː	ˈiː	0.455
ˈæ	-	0.45
χː	χ	0.444
ˈoː	-	0.444
tː	t	0.444
b̥_#>	f_#>	0.429
ˈe	ˈɛ	0.4
d̥	d	0.381
ˈy	-	0.375
#>	ə_#>	0.371
#>	n_#>	0.371
ˈiː	ˈi	0.364
ŋ	n	0.364
ˈɒː	ˈa	0.357
tː	d	0.352
ˈɒ	ˈa	0.346
χː	k	0.333
ˈuː	-	0.333
ˈoː	ˈɪə̯	0.333
ˈiə̯	-	0.333
ʒ̊	s_k	0.3
ˈɒː	-	0.286
ˈau̯	-	0.286
d̥	-	0.286
ˈo	-	0.273
ʋ	v	0.269
ˈæi̯	ˈɪ	0.25
ˈæ	ˈɛ	0.25
ˈyə̯	ˈu̯o	0.25
ˈu	ˈɔ	0.25
ˈu	-	0.25
d̥	d̥	0.238
ˈyː	ˈiə̯	0.231
ˈyː	j	0.231
ˈyː	-	0.231
ʃː	s_k	0.231
ˈoː	ˈoə̯	0.222
ˈɒː	ˈaː	0.214
ˈi	ˈi	0.211
r	-	0.208
ˈæ	ˈɪ	0.2
ˈuə̯	ˈoː	0.2
ˈu	ˈu	0.2
ˈɒ	ˈaː	0.192
ˈo	ˈoə̯	0.182
ˈiː	j	0.182
kː	ɣ	0.182
kː	-	0.182
fː	v_ə	0.182
ɡ̊	-	0.167
tː	d̥	0.167
ˈi	ˈɔ	0.158
ˈɒ	-	0.154
ˈyː	ˈiː	0.154
ˈyː	j_ˈuə̯	0.154
ˈu	ˈɪ	0.15
ˈu	ˈoə̯	0.15
ˈɒː	ˈiə̯	0.143
#>	k_#>	0.143
ˈy	ˈøə̯	0.125
ɡ̊	χ	0.125
ɡ̊	ɣ	0.125
ˈɒ	ˈɪə̯	0.115
ˈɒ	ˈɔː	0.115
χː	ˈɔ_χ	0.111
χː	ˈiː_k	0.111
sː	ˈi_t	0.111
ˈæ	ˈɪə̯	0.1
z̥	ɕ	0.095
z̥	z	0.095
d̥	ʦ	0.095
b̥	-	0.095
ɡ̊	ɣ_j	0.083
ˈɒ	ˈɛ	0.077
l	-	0.071
ə	j_ə	0.069
n	ˈɪ_n	0.069
n	-	0.069
#>	χ_#>	0.057
#>	r_#>	0.057
